gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Lancer_tgt_chr	Lancer_tgt_start	Lancer_tgt_end	Lancer_tgt_strand	Lancer_tgt_midpoint	Lancer_coverage	Lancer_identity	segment
gene:TraesCS4A02G059000	Chr4A	54106535	54110051	-	54108293	Chr4A	67252533	67256049	+	67254291	1.0	0.998	rearrangement:Chr4A_block1
gene:TraesCS4A02G059100	Chr4A	54404601	54406169	-	54405385	Chr4A	66971759	66973327	+	66972543	1.0	0.999	rearrangement:Chr4A_block1
gene:TraesCS4A02G059200	Chr4A	55377186	55380060	-	55378623	Chr4A	65979707	65982577	+	65981142	1.0	0.996	rearrangement:Chr4A_block1
gene:TraesCS4A02G059300	Chr4A	55389614	55398958	-	55394286	Chr4A	65962549	65970778	+	65966663	1.0	0.999	rearrangement:Chr4A_block1
gene:TraesCS4A02G059400	Chr4A	55572600	55575346	+	55573973	Chr4A	65763601	65766342	-	65764971	1.0	0.996	rearrangement:Chr4A_block1
gene:TraesCS4A02G059500	Chr4A	55912521	55919370	+	55915945	Chr4A	65406063	65412912	-	65409487	1.0	1.0	rearrangement:Chr4A_block1
gene:TraesCS4A02G059600	Chr4A	56143732	56145991	+	56144861	Chr4A	65192893	65195126	-	65194009	0.985	0.982	rearrangement:Chr4A_block1
gene:TraesCS4A02G059700	Chr4A	56251413	56254420	-	56252916	Chr4A	65076879	65079885	+	65078382	0.999	0.995	rearrangement:Chr4A_block1
gene:TraesCS4A02G059800	Chr4A	56260273	56262853	+	56261563	Chr4A	65068418	65070996	-	65069707	0.998	0.996	rearrangement:Chr4A_block1
gene:TraesCS4A02G059900	Chr4A	56266262	56271389	-	56268825	Chr4A	65059882	65065008	+	65062445	0.999	0.998	rearrangement:Chr4A_block1
gene:TraesCS4A02G060000	Chr4A	56471847	56483645	-	56477746	Chr4A	64844333	64855805	+	64850069	1.0	0.997	rearrangement:Chr4A_block1
gene:TraesCS4A02G060100	Chr4A	56496985	56501161	-	56499073	Chr4A	64826984	64831169	+	64829076	1.0	1.0	rearrangement:Chr4A_block1
gene:TraesCS4A02G060200	Chr4A	56501607	56506002	-	56503804	Chr4A	64822144	64826538	+	64824341	0.999	0.997	rearrangement:Chr4A_block1
gene:TraesCS4A02G060300	Chr4A	56509445	56511293	-	56510369	Chr4A	64816853	64818701	+	64817777	1.0	0.998	rearrangement:Chr4A_block1
gene:TraesCS4A02G060400	Chr4A	57163130	57167196	+	57165163	Chr4A	64105155	64109221	-	64107188	1.0	1.0	rearrangement:Chr4A_block1
gene:TraesCS4A02G060500	Chr4A	57407998	57410036	+	57409017	Chr4A	63870777	63872814	-	63871795	1.0	0.997	rearrangement:Chr4A_block1
gene:TraesCS4A02G060600	Chr4A	57434580	57435348	+	57434964	Chr4A	63846026	63846794	-	63846410	1.0	1.0	rearrangement:Chr4A_block1
gene:TraesCS4A02G060700	Chr4A	57517094	57521065	+	57519079	Chr4A	63760249	63764221	-	63762235	1.0	0.999	rearrangement:Chr4A_block1
gene:TraesCS4A02G060800	Chr4A	57812929	57815478	+	57814203	Chr4A	63458137	63460686	-	63459411	1.0	0.997	rearrangement:Chr4A_block1
gene:TraesCS4A02G060900	Chr4A	58110287	58111967	-	58111127	Chr4A	63152356	63154036	+	63153196	1.0	0.997	rearrangement:Chr4A_block1
gene:TraesCS4A02G061000	Chr4A	58112129	58115919	-	58114024	Chr4A	63148404	63152194	+	63150299	1.0	0.998	rearrangement:Chr4A_block1
gene:TraesCS4A02G061100	Chr4A	58220342	58223438	-	58221890	Chr4A	63042629	63045725	+	63044177	1.0	0.998	rearrangement:Chr4A_block1
gene:TraesCS4A02G061200	Chr4A	58349284	58350161	-	58349722	Chr4A	62916646	62917523	+	62917084	1.0	1.0	rearrangement:Chr4A_block1
gene:TraesCS4A02G077200	Chr4A	76414777	76421682	+	76418229	Chr4A	69937905	69944810	-	69941357	1.0	0.998	rearrangement:Chr4A_block1
gene:TraesCS4A02G077300	Chr4A	76422920	76425286	-	76424103	Chr4A	69934301	69936667	+	69935484	1.0	1.0	rearrangement:Chr4A_block1
gene:TraesCS4A02G077400	Chr4A	76618575	76624664	+	76621619	Chr4A	69723009	69729117	-	69726063	1.0	0.992	rearrangement:Chr4A_block1
gene:TraesCS4A02G077500	Chr4A	76626034	76629001	+	76627517	Chr4A	69718662	69721625	-	69720143	0.998	0.996	rearrangement:Chr4A_block1
gene:TraesCS4A02G077600	Chr4A	76923441	76932515	+	76927978	Chr4A	69421308	69430374	-	69425841	1.0	0.998	rearrangement:Chr4A_block1
gene:TraesCS4A02G077700	Chr4A	76933420	76940843	+	76937131	Chr4A	69412732	69420181	-	69416456	1.0	0.998	rearrangement:Chr4A_block1
gene:TraesCS4A02G077800	Chr4A	76941203	76943861	-	76942532	Chr4A	69409714	69412372	+	69411043	1.0	0.996	rearrangement:Chr4A_block1
gene:TraesCS4A02G077900	Chr4A	77090945	77096307	+	77093626	Chr4A	69267809	69273171	-	69270490	1.0	0.99	rearrangement:Chr4A_block1
gene:TraesCS4A02G078000	Chr4A	77439580	77445885	+	77442732	Chr4A	68925314	68931607	-	68928460	1.0	0.998	rearrangement:Chr4A_block1
gene:TraesCS4A02G078100	Chr4A	78159723	78163317	-	78161520	Chr4A	68189905	68193498	+	68191701	1.0	0.998	rearrangement:Chr4A_block1
gene:TraesCS4A02G078200	Chr4A	78180029	78180412	-	78180220	Chr4A	68173038	68173421	+	68173229	1.0	1.0	rearrangement:Chr4A_block1
gene:TraesCS4A02G078300	Chr4A	78180576	78182459	-	78181517	Chr4A	68170991	68172874	+	68171932	1.0	0.996	rearrangement:Chr4A_block1
gene:TraesCS4A02G078400	Chr4A	78250259	78253335	+	78251797	Chr4A	68100482	68103557	-	68102019	0.998	0.996	rearrangement:Chr4A_block1
gene:TraesCS4A02G078500	Chr4A	78262384	78262876	+	78262630	Chr4A	68081131	68081623	-	68081377	1.0	1.0	rearrangement:Chr4A_block1
gene:TraesCS4A02G078600	Chr4A	78764433	78767174	+	78765803	Chr4A	67554092	67556833	-	67555462	1.0	0.998	rearrangement:Chr4A_block1
gene:TraesCS4A02G067300	Chr4A	64956484	64958633	+	64957558	Chr4A	81261837	81263986	-	81262911	1.0	0.998	rearrangement:Chr4A_block2
gene:TraesCS4A02G067400	Chr4A	65456768	65466040	+	65461404	Chr4A	80758519	80767793	-	80763156	0.999	0.998	rearrangement:Chr4A_block2
gene:TraesCS4A02G067500	Chr4A	65466129	65467525	+	65466827	Chr4A	80757034	80758430	-	80757732	1.0	0.999	rearrangement:Chr4A_block2
gene:TraesCS4A02G067600	Chr4A	65776911	65777572	+	65777241	Chr4A	80440085	80440746	-	80440415	1.0	0.995	rearrangement:Chr4A_block2
gene:TraesCS4A02G067700	Chr4A	66141610	66147352	+	66144481	Chr4A	80102039	80107771	-	80104905	1.0	0.999	rearrangement:Chr4A_block2
gene:TraesCS4A02G067800	Chr4A	66147706	66148263	-	66147984	Chr4A	80101128	80101685	+	80101406	1.0	1.0	rearrangement:Chr4A_block2
gene:TraesCS4A02G067900	Chr4A	66338112	66340516	+	66339314	Chr4A	79911149	79913553	-	79912351	1.0	0.997	rearrangement:Chr4A_block2
gene:TraesCS4A02G068100	Chr4A	66605211	66608413	+	66606812	Chr4A	79630233	79633748	-	79631990	1.0	0.998	rearrangement:Chr4A_block2
gene:TraesCS4A02G068200	Chr4A	66608835	66609979	-	66609407	Chr4A	79628667	79629811	+	79629239	1.0	0.996	rearrangement:Chr4A_block2
gene:TraesCS4A02G068300	Chr4A	66801452	66802555	-	66802003	Chr4A	79496685	79497791	+	79497238	0.989	0.936	rearrangement:Chr4A_block2
gene:TraesCS4A02G068400	Chr4A	66909705	66911330	+	66910517	Chr4A	79329788	79331413	-	79330600	1.0	0.999	rearrangement:Chr4A_block2
gene:TraesCS4A02G068500	Chr4A	66928370	66929657	+	66929013	Chr4A	79317411	79318698	-	79318054	1.0	0.999	rearrangement:Chr4A_block2
gene:TraesCS4A02G068600	Chr4A	66931184	66932387	+	66931785	Chr4A	79314656	79315816	-	79315236	0.964	0.957	rearrangement:Chr4A_block2
gene:TraesCS4A02G068700	Chr4A	66935027	66936119	+	66935573	Chr4A	79310914	79312009	-	79311461	1.0	0.996	rearrangement:Chr4A_block2
gene:TraesCS4A02G068900	Chr4A	67259908	67261208	+	67260558	Chr4A	78951059	78952359	-	78951709	1.0	0.998	rearrangement:Chr4A_block2
gene:TraesCS4A02G069000	Chr4A	67261276	67270137	-	67265706	Chr4A	78942060	78950991	+	78946525	1.0	0.998	rearrangement:Chr4A_block2
gene:TraesCS4A02G069100	Chr4A	67297696	67298518	+	67298107	Chr4A	78915287	78916109	-	78915698	1.0	0.996	rearrangement:Chr4A_block2
gene:TraesCS4A02G069200	Chr4A	67414651	67417093	+	67415872	Chr4A	78797277	78799719	-	78798498	1.0	0.999	rearrangement:Chr4A_block2
gene:TraesCS4A02G069300	Chr4A	67424351	67424671	-	67424511	Chr4A	78789701	78790020	+	78789860	0.996	0.981	rearrangement:Chr4A_block2
gene:TraesCS4A02G069700	Chr4A	67553381	67553908	-	67553644	Chr4A	78647795	78648322	+	78648058	1.0	0.988	rearrangement:Chr4A_block2
gene:TraesCS4A02G070300	Chr4A	67598532	67599436	-	67598984	Chr4A	78611741	78612573	+	78612157	1.0	0.978	rearrangement:Chr4A_block2
gene:TraesCS4A02G070400	Chr4A	67599638	67599868	+	67599753	Chr4A	78611309	78611539	-	78611424	1.0	0.982	rearrangement:Chr4A_block2
gene:TraesCS4A02G070500	Chr4A	67891133	67894905	-	67893019	Chr4A	78330872	78334642	+	78332757	1.0	0.998	rearrangement:Chr4A_block2
gene:TraesCS4A02G070600	Chr4A	67989337	67991245	+	67990291	Chr4A	78246849	78248757	-	78247803	1.0	0.998	rearrangement:Chr4A_block2
gene:TraesCS4A02G070700	Chr4A	68124254	68126251	-	68125252	Chr4A	78112720	78114717	+	78113718	1.0	0.996	rearrangement:Chr4A_block2
gene:TraesCS4A02G070800	Chr4A	68140967	68143747	+	68142357	Chr4A	78081215	78083995	-	78082605	1.0	0.999	rearrangement:Chr4A_block2
gene:TraesCS4A02G070900	Chr4A	68152624	68156905	-	68154764	Chr4A	78065714	78070050	+	78067882	1.0	1.0	rearrangement:Chr4A_block2
gene:TraesCS4A02G071000	Chr4A	68455101	68464028	-	68459564	Chr4A	77782710	77791632	+	77787171	1.0	0.99	rearrangement:Chr4A_block2
gene:TraesCS4A02G071100	Chr4A	68467158	68470498	-	68468828	Chr4A	77776242	77779582	+	77777912	1.0	0.999	rearrangement:Chr4A_block2
gene:TraesCS4A02G071200	Chr4A	68560885	68566464	-	68563674	Chr4A	77690386	77696030	+	77693208	1.0	0.956	rearrangement:Chr4A_block2
gene:TraesCS4A02G071300	Chr4A	68680979	68684907	+	68682943	Chr4A	77566428	77570356	-	77568392	1.0	0.999	rearrangement:Chr4A_block2
gene:TraesCS4A02G071400	Chr4A	68688963	68691716	+	68690339	Chr4A	77559580	77562353	-	77560966	0.999	0.982	rearrangement:Chr4A_block2
gene:TraesCS4A02G071500	Chr4A	68957374	68960342	+	68958858	Chr4A	77307449	77310417	-	77308933	1.0	0.999	rearrangement:Chr4A_block2
gene:TraesCS4A02G071600	Chr4A	69266252	69271410	-	69268831	Chr4A	76996521	77001688	+	76999104	1.0	0.995	rearrangement:Chr4A_block2
gene:TraesCS4A02G071700	Chr4A	69313960	69315574	+	69314767	Chr4A	76917734	76919350	-	76918542	1.0	0.997	rearrangement:Chr4A_block2
gene:TraesCS4A02G071800	Chr4A	69316944	69320433	-	69318688	Chr4A	76912877	76916364	+	76914620	0.999	0.997	rearrangement:Chr4A_block2
gene:TraesCS4A02G071900	Chr4A	69320812	69332434	-	69326623	Chr4A	76901426	76912489	+	76906957	1.0	1.0	rearrangement:Chr4A_block2
gene:TraesCS4A02G072000	Chr4A	69510154	69511094	-	69510624	Chr4A	76734417	76735357	+	76734887	1.0	0.995	rearrangement:Chr4A_block2
gene:TraesCS4A02G072100	Chr4A	69830835	69834881	+	69832858	Chr4A	76424365	76428411	-	76426388	1.0	0.999	rearrangement:Chr4A_block2
gene:TraesCS4A02G072200	Chr4A	69979509	69981866	+	69980687	Chr4A	76270915	76273272	-	76272093	1.0	1.0	rearrangement:Chr4A_block2
gene:TraesCS4A02G072300	Chr4A	70308291	70315265	+	70311778	Chr4A	76031782	76038741	-	76035261	0.997	0.995	rearrangement:Chr4A_block2
gene:TraesCS4A02G072400	Chr4A	70311304	70315262	-	70313283	Chr4A	76031785	76035728	+	76033756	0.996	0.995	rearrangement:Chr4A_block2
gene:TraesCS4A02G072500	Chr4A	70319223	70321545	-	70320384	Chr4A	76025503	76027825	+	76026664	1.0	1.0	rearrangement:Chr4A_block2
gene:TraesCS4A02G072600	Chr4A	70807962	70813736	-	70810849	Chr4A	75554948	75560722	+	75557835	1.0	0.999	rearrangement:Chr4A_block2
gene:TraesCS4A02G144700	Chr4A	246655723	246655953	-	246655838	Chr4A	253656402	253656632	-	253656517	1.0	1.0	rearrangement:Chr4A_block3
gene:TraesCS4A02G144800	Chr4A	246656930	246657726	-	246657328	Chr4A	253657609	253658405	-	253658007	1.0	1.0	rearrangement:Chr4A_block3
gene:TraesCS4A02G144900	Chr4A	246658023	246658460	+	246658241	Chr4A	253658702	253659139	+	253658920	1.0	1.0	rearrangement:Chr4A_block3
