cs_chr	cs_start	cs_end	Lancer_tgt_chr	Lancer_tgt_start	Lancer_tgt_end	n_anchors	mean_identity
Chr5B	18796	1750886	Chr5B	2673982	7905840	13	0.997
Chr5B	6219225	103577345	Chr5B	9024021	108732696	720	0.9959138888888889
Chr5B	105769556	149330732	Chr5B	108848189	151898771	238	0.9970084033613446
Chr5B	152509380	167292122	Chr5B	154079621	171533747	26	0.9976923076923078
Chr5B	177191485	182990957	Chr5B	180352166	186645840	9	0.9946666666666667
Chr5B	191960322	192381573	Chr5B	193720080	194147301	3	0.9993333333333334
Chr5B	203507929	208435332	Chr5B	205217507	210120074	11	0.9950909090909092
Chr5B	219089253	236283952	Chr5B	219810145	236963536	69	0.996391304347826
Chr5B	238316269	257532817	Chr5B	238768278	257241660	78	0.9991538461538462
Chr5B	259539413	341562322	Chr5B	259210571	341053681	496	0.997375
Chr5B	343826709	383208800	Chr5B	343270456	382504331	214	0.9972289719626167
Chr5B	386333053	412688052	Chr5B	382784079	408730870	199	0.9968492462311558
Chr5B	414828778	699730340	Chr5B	409179105	692204140	2792	0.9944498567335244
Chr5B	704074687	713118452	Chr5B	693507919	702397328	151	0.9941854304635761
