cs_chr	cs_start	cs_end	Lancer_tgt_chr	Lancer_tgt_start	Lancer_tgt_end	n_anchors	mean_identity
Chr5A	14293	4293928	Chr5A	3633026	8297173	61	0.9910819672131147
Chr5A	8059222	60528080	Chr5A	9590091	63506190	442	0.9958167420814479
Chr5A	63377052	151734470	Chr5A	66317059	154110286	399	0.9958646616541353
Chr5A	155555039	159534199	Chr5A	157857401	161742645	12	0.9998333333333335
Chr5A	161914114	170848678	Chr5A	164092432	172983497	23	0.9999130434782609
Chr5A	173117926	180994113	Chr5A	175232085	183212735	13	0.9999230769230769
Chr5A	183430057	185651119	Chr5A	185636380	187843234	4	1.0
Chr5A	191038029	199222973	Chr5A	193114017	201203096	16	0.99875
Chr5A	203479442	222599127	Chr5A	205464528	224526616	33	0.9999090909090909
Chr5A	224689467	237370335	Chr5A	226602259	238508214	28	0.9998214285714286
Chr5A	246826194	248536470	Chr5A	245360970	250338587	6	1.0
Chr5A	258775970	388640539	Chr5A	259945120	388839215	636	0.9988946540880502
Chr5A	394182240	398937003	Chr5A	392573887	397329888	58	0.9987068965517241
Chr5A	402540994	423746112	Chr5A	402524469	423090255	111	0.9971351351351352
Chr5A	426537435	699877272	Chr5A	423915703	693832332	3140	0.9960837579617834
Chr5A	702751577	707849001	Chr5A	696799789	701418117	66	0.9993484848484847
