cs_chr	cs_start	cs_end	Lancer_tgt_chr	Lancer_tgt_start	Lancer_tgt_end	n_anchors	mean_identity
Chr3A	16208	1926689	Chr3A	14747	3020327	34	0.9815882352941175
Chr3A	6895728	128718501	Chr3A	3125118	133681167	1276	0.9955023510971787
Chr3A	130835529	181088605	Chr3A	135771122	185350478	215	0.9985441860465116
Chr3A	184214632	251342423	Chr3A	188456097	255154301	205	0.9997853658536586
Chr3A	259064196	267056348	Chr3A	262772414	270710443	12	0.9980000000000001
Chr3A	269215500	273159995	Chr3A	272881355	276784203	6	1.0
Chr3A	275284207	283103162	Chr3A	278912255	286663319	7	0.9998571428571428
Chr3A	290432064	293589663	Chr3A	294491939	297644096	5	0.9994
Chr3A	295949198	314620161	Chr3A	299972894	318478234	24	0.9998333333333335
Chr3A	321109384	337881732	Chr3A	325747086	342891036	30	0.9996333333333334
Chr3A	340259729	343231466	Chr3A	345279253	348207315	8	0.987625
Chr3A	345871376	349014829	Chr3A	350838128	353946217	6	0.9998333333333335
Chr3A	351126951	528599904	Chr3A	356044079	532168163	864	0.9983101851851851
Chr3A	533624052	545153837	Chr3A	532285502	543973785	76	0.9919605263157895
Chr3A	556260652	750711436	Chr3A	549351410	745580728	2098	0.9962883698760723
Chr3A	529107092	530496965	Chr3A	546997769	548354589	15	0.9964666666666666
Chr3A	531078912	533129337	Chr3A	544517821	546525757	27	0.9916666666666666
Chr3A	545257989	547981226	Chr3A	101883222	104616553	30	0.9985666666666667
Chr3A	549266231	555661603	Chr3A	105884672	112130039	46	0.9949782608695652
