cs_chr	cs_start	cs_end	Stanley_tgt_chr	Stanley_tgt_start	Stanley_tgt_end	n_anchors	mean_identity
Chr7D	28338125	28884440	Chr7D	36057522	36964166	7	0.9998571428571429
Chr7D	210218	33811362	Chr7D	130823	35884333	544	0.9963768382352941
Chr7D	36448683	277735513	Chr7D	38176027	280977845	2066	0.9990053242981608
Chr7D	282874482	285683864	Chr7D	286100403	288956441	5	0.9853999999999999
Chr7D	287902401	307163278	Chr7D	291168335	313165744	41	0.9991951219512195
Chr7D	309504249	313709460	Chr7D	315508488	319708094	11	1.0
Chr7D	318812712	321972400	Chr7D	321849700	325027006	6	0.9994999999999999
Chr7D	324339077	340299388	Chr7D	327392121	343689678	19	0.9998421052631579
Chr7D	342405820	637695014	Chr7D	345901240	642540476	2466	0.9991407137064071
Chr7D	631685822	632782092	Chr7D	642569346	643661965	31	0.9978064516129033
Chr7D	638188034	638658655	Chr7D	636710881	637186806	15	0.9998666666666668
