cs_chr	cs_start	cs_end	Stanley_tgt_chr	Stanley_tgt_start	Stanley_tgt_end	n_anchors	mean_identity
Chr4B	234405	83143343	Chr4B	251109	83281985	755	0.9939377483443709
Chr4B	85363222	152088859	Chr4B	85507498	152725716	371	0.9959272237196763
Chr4B	154112314	161625531	Chr4B	154797672	162741782	12	0.9910833333333335
Chr4B	163837175	203850975	Chr4B	165235180	206650882	177	0.9970338983050847
Chr4B	206794132	221706715	Chr4B	209623231	224605802	39	0.9996666666666667
Chr4B	226512235	230010047	Chr4B	236697092	240197944	4	1.0
Chr4B	295046802	296948857	Chr4B	303771717	311893437	3	1.0
Chr4B	299559143	302859664	Chr4B	307067253	311379281	5	0.9964000000000001
Chr4B	370888954	429353205	Chr4B	390597546	448560083	296	0.995668918918919
Chr4B	431793129	673534850	Chr4B	451000637	696971288	1799	0.9959677598665926
