cs_chr	cs_start	cs_end	Stanley_tgt_chr	Stanley_tgt_start	Stanley_tgt_end	n_anchors	mean_identity
Chr5B	2561439	2884239	Chr5B	1472637	1791724	6	0.9998333333333335
Chr5B	170601200	174883564	Chr5B	192136143	196351772	5	0.9978
Chr5B	177191485	182471380	Chr5B	175685147	181312941	8	0.9909999999999999
Chr5B	196237920	198419112	Chr5B	219750062	222157310	6	0.9944999999999999
Chr5B	209290355	214936937	Chr5B	202250523	207915107	22	0.9992272727272726
Chr5B	215881778	218215007	Chr5B	198889317	201253349	11	0.9980909090909091
Chr5B	18796	1750886	Chr5B	2673994	7119853	10	0.9901
Chr5B	6219225	149330732	Chr5B	7761381	154862666	954	0.9961236897274632
Chr5B	152509380	167292122	Chr5B	157159549	172826012	26	0.9981538461538461
Chr5B	175705742	176792304	Chr5B	190232637	191324676	4	0.998
Chr5B	182990957	188797874	Chr5B	181854210	187681820	12	0.9911666666666666
Chr5B	191033902	192381573	Chr5B	189973009	198237953	4	0.9992500000000001
Chr5B	201287121	209205402	Chr5B	207995706	215174707	20	0.9964999999999999
Chr5B	219089253	236283952	Chr5B	229956097	247505884	69	0.9923333333333332
Chr5B	238316269	257532817	Chr5B	249334287	268165602	78	0.9992307692307693
Chr5B	259539413	341562322	Chr5B	270169247	353046856	497	0.9976941649899397
Chr5B	343826709	383208800	Chr5B	355305813	394807259	215	0.997646511627907
Chr5B	386333053	412688052	Chr5B	395064397	421436828	200	0.996055
Chr5B	414828778	700236718	Chr5B	423098130	706570243	2731	0.9917169534968876
Chr5B	703530173	710503163	Chr5B	700257625	713907374	114	0.9971315789473685
Chr5B	700333219	703858476	Chr5B	695692071	699225485	47	0.9865957446808512
