cs_chr	cs_start	cs_end	Stanley_tgt_chr	Stanley_tgt_start	Stanley_tgt_end	n_anchors	mean_identity
Chr1B	22454138	22714087	Chr1B	7952278	7991633	3	0.9386666666666666
Chr1B	30395529	30881192	Chr1B	25992230	26317842	9	0.9887777777777776
Chr1B	170911	22081098	Chr1B	168650	24910303	311	0.9882411575562702
Chr1B	24787180	29492353	Chr1B	26454380	32041843	44	0.9859772727272726
Chr1B	31858804	76138867	Chr1B	33325857	80266215	285	0.990119298245614
Chr1B	80845990	85441230	Chr1B	85359518	89913586	15	0.9866666666666666
Chr1B	87732453	218433567	Chr1B	92064633	222560399	581	0.9976901893287435
Chr1B	225799645	229303069	Chr1B	232747073	236237766	5	0.9937999999999999
Chr1B	236954041	243089038	Chr1B	241394023	250295522	11	0.999909090909091
Chr1B	245942911	289694136	Chr1B	257037677	302112865	129	0.9986511627906979
Chr1B	292342566	292422556	Chr1B	304727139	304813932	5	0.9945999999999999
Chr1B	294946215	314741626	Chr1B	307287044	330362191	67	0.9909402985074627
Chr1B	317013382	317917199	Chr1B	333281758	334282633	6	0.9623333333333334
Chr1B	322108938	682025360	Chr1B	335270933	705260241	2699	0.995144497962208
Chr1B	683265033	685778248	Chr1B	692275042	695642447	31	0.9958387096774192
Chr1B	688707404	688999168	Chr1B	694814456	695108465	3	0.9786666666666667
Chr1B	686683305	689851652	Chr1B	696386975	699130805	32	0.9837499999999999
