cs_chr	cs_start	cs_end	Stanley_tgt_chr	Stanley_tgt_start	Stanley_tgt_end	n_anchors	mean_identity
Chr3B	24749983	25417162	Chr3B	26757470	27428483	16	0.9949375
Chr3B	242461583	242887086	Chr3B	248479549	248915829	7	0.9921428571428571
Chr3B	243769237	244384989	Chr3B	246953031	247610843	5	0.9722
Chr3B	367678075	370933637	Chr3B	396553286	399650225	16	0.9905625
Chr3B	421612621	422311343	Chr3B	447750202	448448507	8	0.999625
Chr3B	213691	85340142	Chr3B	4686199	96796585	876	0.9900308219178083
Chr3B	87718232	191189469	Chr3B	99173062	204215076	596	0.9962147651006712
Chr3B	193609697	195100861	Chr3B	206723355	208266809	11	0.9982727272727273
Chr3B	197792489	207735313	Chr3B	211139214	221101714	80	0.99515
Chr3B	212297313	215012163	Chr3B	225861735	228345149	11	0.9937272727272728
Chr3B	219342949	230195021	Chr3B	231586235	242696395	49	0.9920816326530613
Chr3B	235855911	242211341	Chr3B	249150083	255649484	52	0.9979038461538461
Chr3B	244624609	277099960	Chr3B	257318221	290523184	125	0.9944160000000001
Chr3B	283596077	284678121	Chr3B	297423389	298562839	4	0.9935
Chr3B	292022415	296187942	Chr3B	304683498	309361417	4	0.9964999999999999
Chr3B	299132814	317625373	Chr3B	312902628	333283662	23	0.9961739130434784
Chr3B	322293448	338599491	Chr3B	338004288	355128893	24	0.9940833333333333
Chr3B	340796436	355438414	Chr3B	357340726	377319358	23	0.9951739130434782
Chr3B	361016338	367477711	Chr3B	378051327	384723993	15	0.9970666666666667
Chr3B	371978296	466686636	Chr3B	390653694	490092395	485	0.9961855670103092
Chr3B	469640104	514129864	Chr3B	494057445	537854260	249	0.9931646586345382
Chr3B	519052799	598995647	Chr3B	537929881	616466093	557	0.9946786355475764
Chr3B	602303142	830611341	Chr3B	616774312	855642957	2001	0.9941644177911044
Chr3B	822668680	823555655	Chr3B	855717500	856490760	20	0.9965999999999999
