cs_chr	cs_start	cs_end	Stanley_tgt_chr	Stanley_tgt_start	Stanley_tgt_end	n_anchors	mean_identity
Chr7B	34838	169470795	Chr7B	282512	183025139	1263	0.9964346793349167
Chr7B	172575428	259608478	Chr7B	185867647	272736182	380	0.9981789473684212
Chr7B	265431648	278933515	Chr7B	275626817	292489724	20	0.9985999999999999
Chr7B	281386105	287943968	Chr7B	294961025	301483041	11	0.9972727272727273
Chr7B	295082068	296338725	Chr7B	301677700	302982840	3	1.0
Chr7B	310413787	325987787	Chr7B	312896432	339849329	33	0.999848484848485
Chr7B	337929275	340640628	Chr7B	341077355	353688252	8	0.99375
Chr7B	347979925	389109218	Chr7B	342805048	392388758	146	0.9987054794520547
Chr7B	391956637	405970176	Chr7B	395212938	409273155	52	0.9994615384615385
Chr7B	408568404	419042240	Chr7B	411901932	422454174	44	0.9998636363636364
Chr7B	421064524	541167218	Chr7B	424497214	546694911	767	0.9969465449804431
Chr7B	543188151	693618919	Chr7B	548773371	699881701	1015	0.9926137931034482
Chr7B	699136898	736138668	Chr7B	699844051	736676557	351	0.9873846153846154
Chr7B	739384559	750590753	Chr7B	736764505	747367088	71	0.9575492957746482
