gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Stanley_tgt_chr	Stanley_tgt_start	Stanley_tgt_end	Stanley_tgt_strand	Stanley_tgt_midpoint	Stanley_coverage	Stanley_identity	segment
gene:TraesCS6A02G000100	Chr6A	56821	58390	+	57605	Chr6A	2937592	2939161	+	2938376	1.0	0.997	collinear
gene:TraesCS6A02G000200	Chr6A	103455	110107	+	106781	Chr6A	2983325	2989826	+	2986575	1.0	0.994	collinear
gene:TraesCS6A02G000300	Chr6A	286171	288047	+	287109	Chr6A	3176794	3178669	+	3177731	0.999	0.996	collinear
gene:TraesCS6A02G000400	Chr6A	288059	291030	+	289544	Chr6A	3178681	3181649	+	3180165	0.998	0.994	collinear
gene:TraesCS6A02G000600	Chr6A	610042	615530	+	612786	Chr6A	1267336	1273022	-	1270179	1.0	0.986	collinear
gene:TraesCS6A02G000700	Chr6A	616773	620979	-	618876	Chr6A	1262091	1266294	+	1264192	1.0	0.996	collinear
gene:TraesCS6A02G000800	Chr6A	629428	634290	+	631859	Chr6A	1230254	1235172	-	1232713	0.996	0.958	collinear
gene:TraesCS6A02G000900	Chr6A	634738	636233	+	635485	Chr6A	1228232	1229769	-	1229000	1.0	0.991	collinear
gene:TraesCS6A02G001000	Chr6A	637025	639371	+	638198	Chr6A	1225073	1227411	-	1226242	0.978	0.949	collinear
gene:TraesCS6A02G001100	Chr6A	637766	644465	-	641115	Chr6A	1220098	1226685	+	1223391	0.995	0.978	collinear
gene:TraesCS6A02G001200	Chr6A	734214	735473	-	734843	Chr6A	1095964	1096863	+	1096413	0.996	0.993	collinear
gene:TraesCS6A02G001400	Chr6A	771942	774641	-	773291	Chr6A	1053869	1056801	+	1055335	1.0	0.998	collinear
gene:TraesCS6A02G001500	Chr6A	786731	788315	+	787523	Chr6A	1041217	1042801	-	1042009	1.0	0.998	collinear
gene:TraesCS6A02G001600	Chr6A	795316	801602	-	798459	Chr6A	1027593	1033871	+	1030732	0.997	0.979	collinear
gene:TraesCS6A02G001700	Chr6A	811604	816032	+	813818	Chr6A	1013863	1018312	-	1016087	0.999	0.997	collinear
gene:TraesCS6A02G001800	Chr6A	818204	825117	-	821660	Chr6A	1000961	1007866	+	1004413	1.0	0.994	collinear
gene:TraesCS6A02G002000	Chr6A	914925	915899	-	915412	Chr6A	980022	980996	+	980509	0.987	0.959	collinear
gene:TraesCS6A02G002100	Chr6A	917908	918405	+	918156	Chr6A	977536	978033	-	977784	1.0	0.996	collinear
gene:TraesCS6A02G002200	Chr6A	925885	926272	-	926078	Chr6A	969751	970138	+	969944	1.0	1.0	collinear
