cs_chr	cs_start	cs_end	Stanley_tgt_chr	Stanley_tgt_start	Stanley_tgt_end	n_anchors	mean_identity
Chr3D	8248399	11816978	Chr3D	18426930	21984447	79	0.9984430379746835
Chr3D	21204309	116408326	Chr3D	28885244	127212377	964	0.9992313278008299
Chr3D	118542402	193596645	Chr3D	129348092	204644357	415	0.9989951807228915
Chr3D	196947044	200390459	Chr3D	207973668	211420418	5	0.9998000000000001
Chr3D	202614073	202651143	Chr3D	213751510	213788186	4	1.0
Chr3D	206979095	213997235	Chr3D	218062693	225069056	11	0.9990000000000001
Chr3D	216425033	219568689	Chr3D	227507828	230603299	6	0.9994999999999999
Chr3D	225525420	232470513	Chr3D	236688329	243631218	13	0.999
Chr3D	234603090	244292283	Chr3D	245757933	256468493	13	0.9997692307692307
Chr3D	246327705	257173258	Chr3D	257299806	269378015	28	0.9984642857142856
Chr3D	259434941	298593191	Chr3D	271627926	310770006	135	0.9983925925925927
Chr3D	309654306	313930346	Chr3D	321693249	325977042	33	0.9999393939393941
Chr3D	324387385	439680335	Chr3D	336760911	451827476	895	0.9991754189944134
Chr3D	472402394	477020107	Chr3D	484767751	489372721	37	0.9983783783783785
Chr3D	509685688	615474754	Chr3D	522124178	628016642	1419	0.9969309372797744
