cs_chr	Spelt_tgt_chr	n_anchors	Spelt_mean_anchor_gap_Mb	Spelt_interp_type	n_segments	Spelt_mean_anchor_fraction
Chr1A	Chr1A+Chr1A	4068	0.373	linear+linear	2	0.934
Chr1B	Chr1B	4141	0.169	linear	1	0.873
Chr1D	Chr1D	4356	0.114	linear	1	0.972
Chr2A	Chr2A+Chr2A+Chr2A	5187	1.14	linear+linear+linear	3	0.936
Chr2B	Chr2B	5307	0.153	linear	1	0.902
Chr2D	Chr2D	5626	0.116	linear	1	0.968
Chr3A	Chr3A+Chr3A+Chr3A+Chr3A+Chr3A+Chr3A	4926	0.129	linear+linear+linear+pchip_inverted+linear+linear	6	0.957
Chr3B	Chr3B	5289	0.161	linear	1	0.911
Chr3D	Chr3D+Chr3D	5050	0.096	linear+linear	2	0.974
Chr4A	Chr4A+Chr4A+Chr4A+Chr4A+Chr4A+Chr4A+Chr4A+Chr4A+Chr4A+Chr4A	4234	0.302	linear+pchip_inverted+linear+linear+linear+linear+linear+linear+linear+linear	10	0.827
Chr4B	Chr4B+Chr4B	3533	0.113	linear+linear	2	0.786
Chr4D	Chr4D	3517	0.146	linear	1	0.984
Chr5A	Chr5A+Chr5A+Chr5A	5146	0.132	linear+linear+linear	3	0.934
Chr5B	Chr5B+Chr5B+Chr5B+Chr5B+Chr5B	5085	0.123	linear+linear+linear+linear+linear	5	0.894
Chr5D	Chr5D+Chr5D	5413	0.071	linear+linear	2	0.979
Chr6A	Chr6A+Chr6A+Chr6A	3412	0.132	linear+linear+pchip	3	0.9
Chr6B	Chr6B+Chr6B+Chr6B+Chr6B+Chr6B	3907	0.199	linear+linear+pchip+pchip_inverted+pchip_inverted	5	0.8
Chr6D	Chr6D+Chr6D	3671	0.097	linear+linear	2	0.927
Chr7A	Chr7A+Chr7A+Chr7A+Chr7A	5033	0.108	linear+pchip_inverted+linear+linear	4	0.942
Chr7B	Chr7B+Chr7B	4141	0.339	linear+linear	2	0.852
Chr7D	Chr7D+Chr7D+Chr7D	5272	0.079	linear+linear+linear	3	0.976
