gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Spelt_tgt_chr	Spelt_tgt_start	Spelt_tgt_end	Spelt_tgt_strand	Spelt_tgt_midpoint	Spelt_coverage	Spelt_identity
gene:TraesCS7D03G0005900	Chr7D	1812284	1819521	+	1815902	Chr7D	6737069	6744302	-	6740685	1.0	1.0
gene:TraesCS7D03G0006000	Chr7D	1859225	1861790	-	1860507	Chr7D	6694811	6697376	+	6696093	1.0	1.0
gene:TraesCS7D03G0007000	Chr7D	2228806	2234143	+	2231474	Chr7D	6506031	6511368	-	6508699	1.0	1.0
gene:TraesCS7D03G0007200	Chr7D	2250873	2256744	+	2253808	Chr7D	6483699	6489570	-	6486634	1.0	1.0
gene:TraesCS7D03G0007300	Chr7D	2256864	2262070	-	2259467	Chr7D	6478373	6483579	+	6480976	1.0	1.0
gene:TraesCS7D03G0007400	Chr7D	2264975	2273161	+	2269068	Chr7D	6467282	6475468	-	6471375	1.0	0.999
gene:TraesCS7D03G0007600	Chr7D	2278478	2284668	-	2281573	Chr7D	6455852	6461965	+	6458908	1.0	1.0
gene:TraesCS7D03G0007800	Chr7D	2290415	2291827	-	2291121	Chr7D	6448790	6450202	+	6449496	1.0	1.0
gene:TraesCS7D03G0007900	Chr7D	2327893	2330761	-	2329327	Chr7D	6410051	6412951	+	6411501	1.0	0.988
gene:TraesCS7D03G0008100	Chr7D	2339553	2341226	-	2340389	Chr7D	6399837	6401510	+	6400673	1.0	1.0
gene:TraesCS7D03G0008300	Chr7D	2344023	2345195	+	2344609	Chr7D	6395868	6397040	-	6396454	1.0	1.0
gene:TraesCS7D03G0008400	Chr7D	2379429	2390488	-	2384958	Chr7D	6350750	6361601	+	6356175	1.0	1.0
gene:TraesCS7D03G0008800	Chr7D	2434315	2435737	+	2435026	Chr7D	6306423	6307845	-	6307134	1.0	1.0
gene:TraesCS7D03G0009200	Chr7D	2527421	2532947	-	2530184	Chr7D	6211941	6217467	+	6214704	1.0	0.999
gene:TraesCS7D03G0009300	Chr7D	2533886	2537181	-	2535533	Chr7D	6207707	6211002	+	6209354	1.0	1.0
gene:TraesCS7D03G0009400	Chr7D	2540503	2541469	+	2540986	Chr7D	6203492	6204458	-	6203975	1.0	1.0
gene:TraesCS7D03G0009500	Chr7D	2542055	2546243	-	2544149	Chr7D	6198718	6202906	+	6200812	1.0	1.0
gene:TraesCS7D03G0009700	Chr7D	2616995	2622421	+	2619708	Chr7D	6123165	6128591	-	6125878	1.0	1.0
gene:TraesCS7D03G0010000	Chr7D	2635314	2645413	+	2640363	Chr7D	6100176	6110272	-	6105224	0.999	0.999
gene:TraesCS7D03G0010100	Chr7D	2645699	2651710	-	2648704	Chr7D	6093879	6099890	+	6096884	1.0	1.0
gene:TraesCS7D03G0010300	Chr7D	2699940	2703571	+	2701755	Chr7D	6042620	6046273	-	6044446	1.0	0.993
gene:TraesCS7D03G0010400	Chr7D	2719052	2723210	+	2721131	Chr7D	6022827	6026985	-	6024906	1.0	0.999
gene:TraesCS7D03G0010500	Chr7D	2732001	2735374	-	2733687	Chr7D	6010789	6014162	+	6012475	1.0	0.999
gene:TraesCS7D03G0011000	Chr7D	2812476	2817119	-	2814797	Chr7D	5951353	5955996	+	5953674	1.0	1.0
gene:TraesCS7D03G0011100	Chr7D	2820284	2820931	-	2820607	Chr7D	5947539	5948186	+	5947862	1.0	0.983
gene:TraesCS7D03G0011300	Chr7D	2839717	2842723	-	2841220	Chr7D	5926295	5929301	+	5927798	1.0	1.0
gene:TraesCS7D03G0011700	Chr7D	2886179	2887647	-	2886913	Chr7D	5881787	5883255	+	5882521	1.0	1.0
gene:TraesCS7D03G0011900	Chr7D	2926331	2932062	-	2929196	Chr7D	5837436	5843167	+	5840301	1.0	0.999
