cs_chr	cs_start	cs_end	Spelt_tgt_chr	Spelt_tgt_start	Spelt_tgt_end	n_anchors	mean_identity
Chr5A	169368807	171230427	Chr5A	161888085	163745774	15	0.9980666666666665
Chr5A	625784	62409843	Chr5A	40409	62407295	536	0.9942276119402984
Chr5A	65256920	152899436	Chr5A	65185588	153162774	397	0.9960403022670025
Chr5A	156754150	160718182	Chr5A	157075816	160938002	13	0.9955384615384614
Chr5A	163313828	166480251	Chr5A	166653663	169782468	4	0.99625
Chr5A	171972235	182449906	Chr5A	172131953	182167993	15	0.9917333333333335
Chr5A	184871905	187078746	Chr5A	184583456	186834354	4	0.99875
Chr5A	192446609	200581324	Chr5A	192167170	200195501	16	0.9982500000000001
Chr5A	204816399	224020772	Chr5A	204424901	223856035	33	0.9976363636363638
Chr5A	226098410	238494644	Chr5A	226019731	238406355	28	0.9955714285714284
Chr5A	259606122	428812755	Chr5A	264886073	432237818	891	0.9975263748597083
Chr5A	431918117	711831644	Chr5A	432564617	711419832	3180	0.9944490566037736
Chr5A	712087615	713328361	Chr5A	704929324	705866010	11	0.9936363636363637
