gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Spelt_tgt_chr	Spelt_tgt_start	Spelt_tgt_end	Spelt_tgt_strand	Spelt_tgt_midpoint	Spelt_coverage	Spelt_identity	segment
gene:TraesCS3A03G0000100	Chr3A	26146	30400	+	28273	Chr3A	807238	810971	+	809104	0.999	0.975	rearrangement:Chr3A_block1
gene:TraesCS3A03G0000200	Chr3A	53676	57493	-	55584	Chr3A	843726	847486	-	845606	0.964	0.917	rearrangement:Chr3A_block1
gene:TraesCS3A03G0002600	Chr3A	730535	733253	-	731894	Chr3A	982075	984824	-	983449	1.0	0.958	rearrangement:Chr3A_block1
gene:TraesCS3A03G0002800	Chr3A	762529	765599	+	764064	Chr3A	1138524	1141596	+	1140060	1.0	0.991	rearrangement:Chr3A_block1
gene:TraesCS3A03G0003000	Chr3A	954676	957962	+	956319	Chr3A	1211592	1214878	+	1213235	1.0	0.995	rearrangement:Chr3A_block1
gene:TraesCS3A03G0003300	Chr3A	983733	985531	+	984632	Chr3A	1240436	1242699	+	1241567	0.998	0.972	rearrangement:Chr3A_block1
gene:TraesCS3A03G0003600	Chr3A	1030844	1033134	+	1031989	Chr3A	1284470	1286439	+	1285454	1.0	0.984	rearrangement:Chr3A_block1
gene:TraesCS3A03G0004600	Chr3A	1117240	1120441	+	1118840	Chr3A	1373641	1376840	+	1375240	1.0	0.988	rearrangement:Chr3A_block1
gene:TraesCS3A03G0004800	Chr3A	1608981	1609485	+	1609233	Chr3A	1937708	1938214	+	1937961	0.998	0.97	rearrangement:Chr3A_block2
gene:TraesCS3A03G0004900	Chr3A	1614046	1614462	+	1614254	Chr3A	1943652	1944068	+	1943860	1.0	0.995	rearrangement:Chr3A_block2
gene:TraesCS3A03G0005300	Chr3A	1686660	1687091	+	1686875	Chr3A	1846239	1846662	+	1846450	0.981	0.962	rearrangement:Chr3A_block2
gene:TraesCS3A03G0006800	Chr3A	1872412	1874269	+	1873340	Chr3A	2152565	2154422	+	2153493	1.0	0.979	rearrangement:Chr3A_block2
gene:TraesCS3A03G0007300	Chr3A	1881511	1881988	+	1881749	Chr3A	2171749	2172226	+	2171987	1.0	0.989	rearrangement:Chr3A_block2
gene:TraesCS3A03G0007800	Chr3A	1975660	1976366	+	1976013	Chr3A	2188957	2189663	+	2189310	1.0	0.981	rearrangement:Chr3A_block2
gene:TraesCS3A03G0007900	Chr3A	1986188	1988425	-	1987306	Chr3A	2205188	2207443	-	2206315	0.997	0.938	rearrangement:Chr3A_block2
