cs_chr	cs_start	cs_end	Spelt_tgt_chr	Spelt_tgt_start	Spelt_tgt_end	n_anchors	mean_identity
Chr3D	21214157	116955327	Chr3D	25144041	125470934	967	0.9991830403309204
Chr3D	119094314	145655212	Chr3D	127594621	154117763	160	0.99964375
Chr3D	147725835	194192900	Chr3D	156215421	202474517	262	0.9992557251908395
Chr3D	197544325	200969144	Chr3D	205807925	209191513	4	1.0
Chr3D	203187169	203224239	Chr3D	211640309	211676738	4	1.0
Chr3D	207531742	214535149	Chr3D	215973433	222941016	11	0.9990909090909091
Chr3D	216957444	220088873	Chr3D	225359747	228468956	6	1.0
Chr3D	226016244	232933791	Chr3D	234534896	241438117	13	0.9931538461538462
Chr3D	235055553	258632836	Chr3D	243547911	266947605	42	0.9997380952380953
Chr3D	260879965	492833467	Chr3D	269190804	499890595	1657	0.9991237175618587
Chr3D	495347019	619489515	Chr3D	502597720	623019681	1585	0.9979444794952681
