cs_chr	cs_start	cs_end	Spelt_tgt_chr	Spelt_tgt_start	Spelt_tgt_end	n_anchors	mean_identity
Chr4D	410644	141272747	Chr4D	63067	138476523	1399	0.999275911365261
Chr4D	143939177	159173700	Chr4D	141131470	156309724	18	0.9963888888888888
Chr4D	163710731	183649096	Chr4D	160790173	180638310	27	0.9997407407407408
Chr4D	188969484	192971731	Chr4D	187169168	191170462	6	0.9996666666666666
Chr4D	195239705	198785582	Chr4D	193433769	196962310	7	0.9997142857142858
Chr4D	201663396	212424003	Chr4D	200176213	210857862	27	0.9997777777777778
Chr4D	214566503	228344802	Chr4D	212986786	226719308	23	0.998826086956522
Chr4D	230503918	238850566	Chr4D	228905929	237230325	11	0.9995454545454546
Chr4D	241150325	249170093	Chr4D	239523598	247584005	18	0.999611111111111
Chr4D	251744642	256746015	Chr4D	250155367	255145217	7	0.9915714285714284
Chr4D	259082246	261473317	Chr4D	257459368	259839751	6	1.0
Chr4D	264155329	268258812	Chr4D	262517341	266601387	7	0.9977142857142856
Chr4D	270831155	284417863	Chr4D	269168910	282699022	19	0.996842105263158
Chr4D	286726699	329466878	Chr4D	284989402	327566168	223	0.9992869955156952
Chr4D	331779306	375686787	Chr4D	329874892	373781211	301	0.99965780730897
Chr4D	377775997	410310201	Chr4D	375847586	408600757	234	0.9989444444444444
Chr4D	412602740	512674874	Chr4D	411062511	512214746	1182	0.9989856175972928
