gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Spelt_tgt_chr	Spelt_tgt_start	Spelt_tgt_end	Spelt_tgt_strand	Spelt_tgt_midpoint	Spelt_coverage	Spelt_identity
gene:TraesCS3B03G0000300	Chr3B	73825	74249	-	74037	Chr3B	51377	51801	-	51589	1.0	0.995
gene:TraesCS3B03G0000600	Chr3B	239266	241105	+	240185	Chr3B	194893	196758	+	195825	0.994	0.974
gene:TraesCS3B03G0000700	Chr3B	244156	244849	+	244502	Chr3B	199801	200494	+	200147	1.0	0.989
gene:TraesCS3B03G0000800	Chr3B	246094	246695	-	246394	Chr3B	201728	202269	-	201998	1.0	0.973
gene:TraesCS3B03G0000900	Chr3B	268852	271443	-	270147	Chr3B	224392	226941	-	225666	0.972	0.945
gene:TraesCS3B03G0001000	Chr3B	375283	376618	+	375950	Chr3B	351982	353313	+	352647	0.997	0.994
gene:TraesCS3B03G0001100	Chr3B	388009	388991	+	388500	Chr3B	356015	357000	+	356507	1.0	0.991
gene:TraesCS3B03G0002800	Chr3B	855999	856555	+	856277	Chr3B	1050889	1051441	+	1051165	0.977	0.937
gene:TraesCS3B03G0003000	Chr3B	859122	864220	-	861671	Chr3B	1053976	1058926	-	1056451	0.977	0.925
gene:TraesCS3B03G0004000	Chr3B	1309880	1313738	-	1311809	Chr3B	1356829	1360759	-	1358794	0.999	0.982
gene:TraesCS3B03G0004300	Chr3B	1602640	1607005	+	1604822	Chr3B	1599296	1603662	+	1601479	0.994	0.99
gene:TraesCS3B03G0004400	Chr3B	1638604	1641896	-	1640250	Chr3B	1677793	1681087	-	1679440	0.998	0.994
gene:TraesCS3B03G0004600	Chr3B	1708407	1711540	-	1709973	Chr3B	1748529	1751662	-	1750095	1.0	0.998
gene:TraesCS3B03G0004800	Chr3B	1754066	1758349	-	1756207	Chr3B	1793394	1797677	-	1795535	1.0	0.996
gene:TraesCS3B03G0005100	Chr3B	2229591	2231019	+	2230305	Chr3B	2241410	2242838	+	2242124	1.0	0.999
