cs_chr	cs_start	cs_end	Spelt_tgt_chr	Spelt_tgt_start	Spelt_tgt_end	n_anchors	mean_identity
Chr3B	74037	6805777	Chr3B	51589	6779659	108	0.9902037037037038
Chr3B	10012714	35806565	Chr3B	4036929	34287269	316	0.9863829113924052
Chr3B	38137652	97070979	Chr3B	35807508	93228191	512	0.990384765625
Chr3B	99457041	202823600	Chr3B	95589932	196472186	575	0.9964417391304348
Chr3B	205225044	206704475	Chr3B	198790333	200273699	11	0.999818181818182
Chr3B	209383926	219278363	Chr3B	202957440	212747775	70	0.9984428571428572
Chr3B	223825022	227125651	Chr3B	217293984	220573198	13	0.9997692307692309
Chr3B	230843333	241641396	Chr3B	224283172	234969714	53	0.9968301886792454
Chr3B	247259756	288293953	Chr3B	240621583	282557100	195	0.9953435897435896
Chr3B	295003050	296080909	Chr3B	289388776	290507018	4	0.9985
Chr3B	301146877	307711148	Chr3B	290686053	301304505	7	0.9912857142857144
Chr3B	310640808	329207761	Chr3B	304781373	324825906	22	0.9969545454545454
Chr3B	333847811	350060262	Chr3B	329492305	346492179	24	0.993875
Chr3B	352247049	375781155	Chr3B	348679657	375815159	39	0.996307692307692
Chr3B	378145074	416556469	Chr3B	378143344	415866039	156	0.9956602564102564
Chr3B	418922290	479798592	Chr3B	416105755	478084070	358	0.9962877094972068
Chr3B	482733323	527781257	Chr3B	480972410	524934791	257	0.9949571984435798
Chr3B	534283586	614030010	Chr3B	524983339	603325102	575	0.9959304347826088
Chr3B	617317368	851872904	Chr3B	603634001	835503251	1988	0.992741448692153
