cs_chr	cs_start	cs_end	Spelt_tgt_chr	Spelt_tgt_start	Spelt_tgt_end	n_anchors	mean_identity
Chr1B	170123	31742754	Chr1B	167398	36391518	367	0.987376021798365
Chr1B	34084713	38402288	Chr1B	37316676	41638864	29	0.9930689655172414
Chr1B	40611674	81974218	Chr1B	42784762	83133916	257	0.9886459143968872
Chr1B	86500196	91210816	Chr1B	88121853	92832895	16	0.9869375
Chr1B	93460686	130136259	Chr1B	94973230	139246637	193	0.9908756476683938
Chr1B	135281367	208445324	Chr1B	139396146	211973281	319	0.9943949843260188
Chr1B	210835175	217687496	Chr1B	213819314	221574945	10	0.9962
Chr1B	219687544	224268457	Chr1B	223504291	228224288	12	0.992
Chr1B	246841035	249142619	Chr1B	238364915	240592010	6	0.9915
Chr1B	255242794	255631770	Chr1B	245098835	245467476	3	0.9966666666666666
Chr1B	258138533	272283175	Chr1B	245747407	259656497	39	0.9976666666666666
Chr1B	274419536	279385801	Chr1B	263443657	268380063	22	0.9981363636363636
Chr1B	281849601	296088628	Chr1B	270631947	284545830	50	0.9938
Chr1B	298738700	298817103	Chr1B	287196560	287269079	4	0.9995
Chr1B	301350787	324212763	Chr1B	289777243	317295191	86	0.986732558139535
Chr1B	328166615	352578955	Chr1B	317688655	342349670	154	0.9944675324675324
Chr1B	354656789	700379038	Chr1B	344352561	691212530	2574	0.9931620046620048
