gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Spelt_tgt_chr	Spelt_tgt_start	Spelt_tgt_end	Spelt_tgt_strand	Spelt_tgt_midpoint	Spelt_coverage	Spelt_identity
gene:TraesCS2D03G0000100	Chr2D	80423	88053	+	84238	Chr2D	78157	85794	+	81975	1.0	0.999
gene:TraesCS2D03G0000200	Chr2D	89594	93032	-	91313	Chr2D	87335	90773	-	89054	1.0	0.999
gene:TraesCS2D03G0000300	Chr2D	103714	104259	-	103986	Chr2D	101642	102187	-	101914	1.0	1.0
gene:TraesCS2D03G0000400	Chr2D	302821	307159	+	304990	Chr2D	300840	305178	+	303009	1.0	1.0
gene:TraesCS2D03G0000700	Chr2D	324320	325720	+	325020	Chr2D	322188	323588	+	322888	1.0	1.0
gene:TraesCS2D03G0000800	Chr2D	328026	333944	-	330985	Chr2D	325662	331581	-	328621	1.0	1.0
gene:TraesCS2D03G0000900	Chr2D	378562	379694	-	379128	Chr2D	346912	348044	-	347478	1.0	1.0
gene:TraesCS2D03G0001000	Chr2D	392241	395710	+	393975	Chr2D	361157	364626	+	362891	1.0	1.0
gene:TraesCS2D03G0001300	Chr2D	402281	404837	+	403559	Chr2D	371197	373753	+	372475	1.0	1.0
gene:TraesCS2D03G0001400	Chr2D	465877	484345	+	475111	Chr2D	435250	453735	+	444492	1.0	1.0
gene:TraesCS2D03G0001500	Chr2D	512185	513105	+	512645	Chr2D	481698	482618	+	482158	1.0	1.0
gene:TraesCS2D03G0001600	Chr2D	517999	519840	+	518919	Chr2D	487546	489387	+	488466	1.0	1.0
gene:TraesCS2D03G0001800	Chr2D	675239	678446	+	676842	Chr2D	644721	647928	+	646324	1.0	1.0
gene:TraesCS2D03G0001900	Chr2D	679143	683010	-	681076	Chr2D	648625	652492	-	650558	1.0	1.0
gene:TraesCS2D03G0002000	Chr2D	685135	687301	+	686218	Chr2D	654617	656783	+	655700	1.0	1.0
gene:TraesCS2D03G0002400	Chr2D	1649503	1653274	-	1651388	Chr2D	1586365	1590136	-	1588250	1.0	1.0
gene:TraesCS2D03G0002600	Chr2D	1713950	1716334	+	1715142	Chr2D	1648953	1651337	+	1650145	1.0	1.0
gene:TraesCS2D03G0002700	Chr2D	1727399	1735511	+	1731455	Chr2D	1662465	1672147	+	1667306	1.0	1.0
gene:TraesCS2D03G0002800	Chr2D	1746682	1747581	+	1747131	Chr2D	1683473	1684372	+	1683922	1.0	1.0
gene:TraesCS2D03G0003100	Chr2D	1762395	1762988	+	1762691	Chr2D	1699364	1699957	+	1699660	1.0	1.0
gene:TraesCS2D03G0003300	Chr2D	1783898	1784497	+	1784197	Chr2D	1720920	1721519	+	1721219	1.0	1.0
gene:TraesCS2D03G0004000	Chr2D	2035288	2045623	-	2040455	Chr2D	2644032	2654369	-	2649200	1.0	1.0
gene:TraesCS2D03G0004200	Chr2D	2080191	2084496	-	2082343	Chr2D	2689034	2693339	-	2691186	1.0	1.0
gene:TraesCS2D03G0004400	Chr2D	2112411	2114551	+	2113481	Chr2D	2721570	2723710	+	2722640	1.0	0.994
gene:TraesCS2D03G0004700	Chr2D	2134921	2136477	+	2135699	Chr2D	2744082	2745638	+	2744860	1.0	1.0
gene:TraesCS2D03G0004900	Chr2D	2166064	2169473	+	2167768	Chr2D	2775212	2778621	+	2776916	1.0	1.0
gene:TraesCS2D03G0005500	Chr2D	2236212	2236508	+	2236360	Chr2D	2841828	2842124	+	2841976	1.0	1.0
gene:TraesCS2D03G0005600	Chr2D	2258249	2265583	-	2261916	Chr2D	2863865	2871199	-	2867532	1.0	1.0
gene:TraesCS2D03G0005900	Chr2D	2317970	2318269	+	2318119	Chr2D	2923724	2924023	+	2923873	1.0	1.0
gene:TraesCS2D03G0006000	Chr2D	2342608	2342999	+	2342803	Chr2D	2948371	2948762	+	2948566	1.0	1.0
gene:TraesCS2D03G0006100	Chr2D	2357178	2357867	+	2357522	Chr2D	2962453	2963142	+	2962797	1.0	1.0
gene:TraesCS2D03G0006300	Chr2D	2377158	2383178	+	2380168	Chr2D	2981515	2987536	+	2984525	1.0	0.999
gene:TraesCS2D03G0006700	Chr2D	2441659	2447889	-	2444774	Chr2D	3032972	3039158	-	3036065	1.0	0.997
gene:TraesCS2D03G0006900	Chr2D	2460550	2464534	+	2462542	Chr2D	3051875	3055859	+	3053867	1.0	1.0
gene:TraesCS2D03G0007000	Chr2D	2476849	2478615	+	2477732	Chr2D	3067095	3068861	+	3067978	1.0	1.0
gene:TraesCS2D03G0007200	Chr2D	2481500	2482253	+	2481876	Chr2D	3071746	3072499	+	3072122	1.0	1.0
gene:TraesCS2D03G0007300	Chr2D	2551630	2555070	-	2553350	Chr2D	3141954	3145394	-	3143674	1.0	1.0
gene:TraesCS2D03G0007400	Chr2D	2560214	2564364	-	2562289	Chr2D	3150538	3154689	-	3152613	1.0	1.0
gene:TraesCS2D03G0007600	Chr2D	2581561	2586301	-	2583931	Chr2D	3171904	3176644	-	3174274	1.0	1.0
gene:TraesCS2D03G0007700	Chr2D	2586427	2592087	+	2589257	Chr2D	3176770	3182430	+	3179600	1.0	1.0
gene:TraesCS2D03G0007800	Chr2D	2603284	2607140	+	2605212	Chr2D	3193785	3197641	+	3195713	1.0	1.0
gene:TraesCS2D03G0007900	Chr2D	2621863	2623404	-	2622633	Chr2D	3212485	3214026	-	3213255	1.0	1.0
gene:TraesCS2D03G0008000	Chr2D	2626556	2626956	-	2626756	Chr2D	3217282	3217682	-	3217482	1.0	1.0
gene:TraesCS2D03G0008100	Chr2D	2648905	2654771	-	2651838	Chr2D	3239717	3245583	-	3242650	1.0	1.0
gene:TraesCS2D03G0008200	Chr2D	2658256	2661803	+	2660029	Chr2D	3249068	3252615	+	3250841	1.0	0.999
gene:TraesCS2D03G0008300	Chr2D	2724182	2725042	+	2724612	Chr2D	3315175	3316035	+	3315605	1.0	1.0
gene:TraesCS2D03G0008700	Chr2D	2752006	2762262	+	2757134	Chr2D	3343117	3353373	+	3348245	1.0	1.0
gene:TraesCS2D03G0008800	Chr2D	2786355	2790275	-	2788315	Chr2D	3379263	3383183	-	3381223	1.0	0.994
gene:TraesCS2D03G0008900	Chr2D	2802388	2806733	-	2804560	Chr2D	3395279	3399624	-	3397451	1.0	1.0
gene:TraesCS2D03G0009200	Chr2D	2859610	2869289	+	2864449	Chr2D	3454028	3463707	+	3458867	1.0	1.0
gene:TraesCS2D03G0009500	Chr2D	2918144	2920257	+	2919200	Chr2D	3512628	3514741	+	3513684	1.0	1.0
gene:TraesCS2D03G0009600	Chr2D	2923559	2927123	+	2925341	Chr2D	3518043	3521607	+	3519825	1.0	1.0
gene:TraesCS2D03G0009900	Chr2D	2982196	2984259	-	2983227	Chr2D	3576992	3579055	-	3578023	1.0	0.999
gene:TraesCS2D03G0010300	Chr2D	2997998	3002398	+	3000198	Chr2D	3592900	3597300	+	3595100	1.0	0.998
gene:TraesCS2D03G0010400	Chr2D	3010267	3011838	-	3011052	Chr2D	3605196	3606767	-	3605981	1.0	1.0
gene:TraesCS2D03G0010500	Chr2D	3016111	3017798	+	3016954	Chr2D	3611040	3612727	+	3611883	1.0	1.0
gene:TraesCS2D03G0010700	Chr2D	3037721	3039448	+	3038584	Chr2D	3632647	3634374	+	3633510	1.0	1.0
gene:TraesCS2D03G0010800	Chr2D	3041119	3041313	+	3041216	Chr2D	3636086	3636280	+	3636183	1.0	1.0
gene:TraesCS2D03G0011000	Chr2D	3054024	3055544	-	3054784	Chr2D	3648991	3650511	-	3649751	1.0	1.0
gene:TraesCS2D03G0011100	Chr2D	3074555	3074998	-	3074776	Chr2D	3662410	3662853	-	3662631	1.0	1.0
gene:TraesCS2D03G0011300	Chr2D	3118810	3119517	+	3119163	Chr2D	3706665	3707372	+	3707018	1.0	1.0
gene:TraesCS2D03G0011400	Chr2D	3126359	3126751	+	3126555	Chr2D	3714202	3714594	+	3714398	1.0	1.0
gene:TraesCS2D03G0011500	Chr2D	3130021	3133870	-	3131945	Chr2D	3717864	3721712	-	3719788	1.0	1.0
gene:TraesCS2D03G0011600	Chr2D	3147424	3149486	-	3148455	Chr2D	3735266	3737328	-	3736297	1.0	1.0
gene:TraesCS2D03G0011700	Chr2D	3193684	3196985	+	3195334	Chr2D	3779177	3782478	+	3780827	1.0	1.0
gene:TraesCS2D03G0011800	Chr2D	3197099	3201360	-	3199229	Chr2D	3782592	3786853	-	3784722	1.0	1.0
gene:TraesCS2D03G0011900	Chr2D	3232730	3235889	+	3234309	Chr2D	3818098	3821257	+	3819677	1.0	1.0
gene:TraesCS2D03G0012200	Chr2D	3369355	3371216	-	3370285	Chr2D	3955359	3957220	-	3956289	1.0	1.0
gene:TraesCS2D03G0012800	Chr2D	3895658	3906170	+	3900914	Chr2D	4490110	4500622	+	4495366	1.0	1.0
gene:TraesCS2D03G0013300	Chr2D	4109808	4114155	-	4111981	Chr2D	4700788	4705135	-	4702961	1.0	0.999
gene:TraesCS2D03G0013800	Chr2D	4166648	4170990	-	4168819	Chr2D	4757493	4761835	-	4759664	1.0	1.0
gene:TraesCS2D03G0013900	Chr2D	4172256	4174273	+	4173264	Chr2D	4763101	4765118	+	4764109	1.0	1.0
gene:TraesCS2D03G0014000	Chr2D	4179944	4184680	+	4182312	Chr2D	4719754	4724484	+	4722119	1.0	0.987
gene:TraesCS2D03G0014100	Chr2D	4243317	4245051	-	4244184	Chr2D	4831828	4833562	-	4832695	1.0	0.998
gene:TraesCS2D03G0014200	Chr2D	4250619	4254195	-	4252407	Chr2D	4839130	4842706	-	4840918	1.0	1.0
gene:TraesCS2D03G0014700	Chr2D	4492798	4494856	+	4493827	Chr2D	5083440	5085498	+	5084469	1.0	1.0
gene:TraesCS2D03G0015000	Chr2D	4524318	4526340	+	4525329	Chr2D	5113222	5115244	+	5114233	1.0	1.0
gene:TraesCS2D03G0015200	Chr2D	4596216	4598522	-	4597369	Chr2D	5182768	5185074	-	5183921	1.0	1.0
gene:TraesCS2D03G0015300	Chr2D	4599137	4603767	-	4601452	Chr2D	5185689	5190319	-	5188004	1.0	1.0
gene:TraesCS2D03G0015600	Chr2D	4734305	4735695	-	4735000	Chr2D	5303865	5305255	-	5304560	1.0	0.999
gene:TraesCS2D03G0016000	Chr2D	4809320	4809583	-	4809451	Chr2D	5378782	5379045	-	5378913	1.0	1.0
gene:TraesCS2D03G0016200	Chr2D	4823399	4823803	-	4823601	Chr2D	5392693	5393097	-	5392895	1.0	1.0
gene:TraesCS2D03G0016100	Chr2D	4823061	4829071	-	4826066	Chr2D	5392355	5398279	-	5395317	1.0	0.999
gene:TraesCS2D03G0016300	Chr2D	4843466	4849235	-	4846350	Chr2D	5412598	5418368	-	5415483	1.0	1.0
gene:TraesCS2D03G0016500	Chr2D	4911154	4954649	+	4932901	Chr2D	5479825	5522465	+	5501145	1.0	1.0
gene:TraesCS2D03G0016700	Chr2D	5299121	5301121	+	5300121	Chr2D	5809325	5811325	+	5810325	1.0	1.0
gene:TraesCS2D03G0016800	Chr2D	5306442	5309418	-	5307930	Chr2D	5816646	5819626	-	5818136	1.0	0.998
gene:TraesCS2D03G0017000	Chr2D	5317537	5320348	-	5318942	Chr2D	5827881	5830692	-	5829286	1.0	1.0
gene:TraesCS2D03G0017100	Chr2D	5336121	5337314	+	5336717	Chr2D	5846061	5847254	+	5846657	1.0	1.0
