gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Spelt_tgt_chr	Spelt_tgt_start	Spelt_tgt_end	Spelt_tgt_strand	Spelt_tgt_midpoint	Spelt_coverage	Spelt_identity	segment
gene:TraesCS6D03G0000300	Chr6D	43457	44110	-	43783	Chr6D	785131	785784	+	785457	1.0	0.996	rearrangement:Chr6D_block1
gene:TraesCS6D03G0000400	Chr6D	52444	52899	+	52671	Chr6D	776343	776798	-	776570	1.0	1.0	rearrangement:Chr6D_block1
gene:TraesCS6D03G0003800	Chr6D	598333	601573	-	599953	Chr6D	674822	678022	+	676422	0.981	0.979	rearrangement:Chr6D_block1
gene:TraesCS6D03G0004000	Chr6D	674763	675185	-	674974	Chr6D	611587	612009	+	611798	1.0	0.997	rearrangement:Chr6D_block1
gene:TraesCS6D03G0004600	Chr6D	797280	798536	+	797908	Chr6D	469192	470446	-	469819	1.0	0.996	rearrangement:Chr6D_block1
gene:TraesCS6D03G0004700	Chr6D	799214	801609	+	800411	Chr6D	466105	468505	-	467305	1.0	0.997	rearrangement:Chr6D_block1
gene:TraesCS6D03G0005600	Chr6D	959215	959478	+	959346	Chr6D	147843	148106	-	147974	1.0	0.992	rearrangement:Chr6D_block1
gene:TraesCS6D03G0006700	Chr6D	1060930	1063103	+	1062016	Chr6D	80165	82328	-	81246	1.0	0.996	rearrangement:Chr6D_block1
gene:TraesCS6D03G0006800	Chr6D	1364800	1366449	+	1365624	Chr6D	959434	961083	+	960258	1.0	0.999	rearrangement:Chr6D_block1
gene:TraesCS6D03G0007000	Chr6D	1403764	1407970	-	1405867	Chr6D	998405	1002588	-	1000496	0.994	0.993	rearrangement:Chr6D_block1
gene:TraesCS6D03G0007200	Chr6D	1411704	1421963	-	1416833	Chr6D	1006322	1016631	-	1011476	1.0	1.0	rearrangement:Chr6D_block1
gene:TraesCS6D03G0007300	Chr6D	1436172	1441156	+	1438664	Chr6D	1030840	1035824	+	1033332	1.0	1.0	rearrangement:Chr6D_block1
gene:TraesCS6D03G0007500	Chr6D	1479620	1482804	+	1481212	Chr6D	1074389	1077573	+	1075981	1.0	1.0	rearrangement:Chr6D_block1
gene:TraesCS6D03G0007600	Chr6D	1498848	1508542	-	1503695	Chr6D	1093671	1103366	-	1098518	1.0	1.0	rearrangement:Chr6D_block1
gene:TraesCS6D03G0007800	Chr6D	1529313	1530649	-	1529981	Chr6D	1124138	1125474	-	1124806	1.0	1.0	rearrangement:Chr6D_block1
gene:TraesCS6D03G0008200	Chr6D	1562254	1562682	-	1562468	Chr6D	1158400	1158828	-	1158614	1.0	1.0	rearrangement:Chr6D_block1
gene:TraesCS6D03G0008300	Chr6D	1576200	1578916	+	1577558	Chr6D	1172467	1175183	+	1173825	1.0	1.0	rearrangement:Chr6D_block1
gene:TraesCS6D03G0008600	Chr6D	1617253	1618208	+	1617730	Chr6D	1213523	1214478	+	1214000	1.0	1.0	rearrangement:Chr6D_block1
gene:TraesCS6D03G0008700	Chr6D	1625389	1626300	+	1625844	Chr6D	1221659	1222570	+	1222114	1.0	0.998	rearrangement:Chr6D_block1
gene:TraesCS6D03G0008900	Chr6D	1750151	1751236	+	1750693	Chr6D	1345157	1346242	+	1345699	1.0	1.0	rearrangement:Chr6D_block1
gene:TraesCS6D03G0009000	Chr6D	1759389	1764048	-	1761718	Chr6D	1354391	1359050	-	1356720	1.0	1.0	rearrangement:Chr6D_block1
gene:TraesCS6D03G0009100	Chr6D	1769252	1772936	+	1771094	Chr6D	1364384	1368068	+	1366226	1.0	1.0	rearrangement:Chr6D_block1
