gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Spelt_tgt_chr	Spelt_tgt_start	Spelt_tgt_end	Spelt_tgt_strand	Spelt_tgt_midpoint	Spelt_coverage	Spelt_identity
gene:TraesCS6A03G0311400	Chr6A	105878621	105887947	-	105883284	Chr6A	73988407	73997733	-	73993070	1.0	0.999
gene:TraesCS6A03G0311500	Chr6A	106132057	106133289	+	106132673	Chr6A	74239689	74240921	+	74240305	1.0	1.0
gene:TraesCS6A03G0311800	Chr6A	106148918	106150676	+	106149797	Chr6A	74256669	74258427	+	74257548	1.0	1.0
gene:TraesCS6A03G0312500	Chr6A	106636832	106637925	-	106637378	Chr6A	74739753	74740846	-	74740299	1.0	0.998
gene:TraesCS6A03G0312600	Chr6A	106638517	106642974	-	106640745	Chr6A	74741430	74745888	-	74743659	1.0	0.999
gene:TraesCS6A03G0312700	Chr6A	106831571	106837009	+	106834290	Chr6A	74962706	74968145	+	74965425	1.0	0.997
gene:TraesCS6A03G0312800	Chr6A	106850653	106854134	-	106852393	Chr6A	74981744	74985087	-	74983415	0.96	0.958
gene:TraesCS6A03G0312900	Chr6A	106926338	106930287	+	106928312	Chr6A	75057247	75061197	+	75059222	1.0	0.998
gene:TraesCS6A03G0313000	Chr6A	106929909	106935025	-	106932467	Chr6A	75060819	75065934	-	75063376	1.0	1.0
gene:TraesCS6A03G0313100	Chr6A	106957043	106989039	+	106973041	Chr6A	75087953	75124246	+	75106099	1.0	0.998
gene:TraesCS6A03G0313300	Chr6A	106990097	106991469	-	106990783	Chr6A	75125304	75126676	-	75125990	1.0	0.998
gene:TraesCS6A03G0313400	Chr6A	106992348	106996811	-	106994579	Chr6A	75127535	75131998	-	75129766	1.0	0.999
gene:TraesCS6A03G0313500	Chr6A	107001349	107001600	-	107001474	Chr6A	75136536	75136787	-	75136661	1.0	0.988
gene:TraesCS6A03G0313900	Chr6A	107284250	107286842	-	107285546	Chr6A	75431264	75433856	-	75432560	1.0	0.999
gene:TraesCS6A03G0314000	Chr6A	107287999	107290080	-	107289039	Chr6A	75435013	75437094	-	75436053	1.0	0.997
gene:TraesCS6A03G0314500	Chr6A	107320247	107324413	-	107322330	Chr6A	75380387	75384347	+	75382367	0.997	0.992
