cs_chr	cs_start	cs_end	Spelt_tgt_chr	Spelt_tgt_start	Spelt_tgt_end	n_anchors	mean_identity
Chr6B	920234	1554476	Chr6B	639091	1864632	4	0.96125
Chr6B	3849828	109698670	Chr6B	3473966	101830291	948	0.991301687763713
Chr6B	112200748	114854793	Chr6B	104343577	107000067	7	0.9995714285714286
Chr6B	117469105	244322078	Chr6B	109460228	236815074	742	0.9934245283018868
Chr6B	280387366	289129738	Chr6B	264267962	272763901	39	0.9957692307692306
Chr6B	292829101	297214023	Chr6B	276601663	280936970	20	0.99615
Chr6B	306358739	308701890	Chr6B	292496524	297634435	6	0.9995
Chr6B	323344757	327439454	Chr6B	306821836	310873803	11	0.9953636363636365
Chr6B	348550830	349949438	Chr6B	332464585	333825132	5	0.9942
Chr6B	376074235	381551074	Chr6B	359896227	365281979	9	0.998777777777778
Chr6B	410641112	432470595	Chr6B	392337208	413949619	55	0.9974545454545451
Chr6B	438515907	449326149	Chr6B	415046773	425597152	48	0.9983125
Chr6B	452819490	486984757	Chr6B	429094345	462667100	176	0.9967670454545452
Chr6B	501454366	506148568	Chr6B	480719082	485276671	26	0.9994615384615384
Chr6B	524252260	629148387	Chr6B	500040999	605424570	641	0.9965382215288612
Chr6B	631157333	635284956	Chr6B	607515874	611737026	33	0.9953030303030304
Chr6B	638657051	731065543	Chr6B	614238587	706688134	893	0.989562150055991
