cs_chr	cs_start	cs_end	Spelt_tgt_chr	Spelt_tgt_start	Spelt_tgt_end	n_anchors	mean_identity
Chr7A	150446304	160316989	Chr7A	165709861	176216969	72	0.9958333333333333
Chr7A	166120232	177718876	Chr7A	149283267	160526353	98	0.9952653061224489
Chr7A	239033	74955432	Chr7A	198120	73971477	863	0.9896662804171493
Chr7A	77011021	149795904	Chr7A	76517146	148579849	652	0.994383435582822
Chr7A	160757705	164867228	Chr7A	160540219	165272596	33	0.9907575757575757
Chr7A	176812931	285856637	Chr7A	176710866	283999839	567	0.9972927689594355
Chr7A	288578590	316231457	Chr7A	286776648	314342543	117	0.9983589743589742
Chr7A	318780197	364830171	Chr7A	316828691	362615362	85	0.9991764705882353
Chr7A	367537951	393376082	Chr7A	367060595	393239317	37	0.999810810810811
Chr7A	396497557	743840563	Chr7A	396354869	737438290	2492	0.9962664526484751
Chr7A	744133074	744483656	Chr7A	735341113	735683155	17	0.9945882352941178
