gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Spelt_tgt_chr	Spelt_tgt_start	Spelt_tgt_end	Spelt_tgt_strand	Spelt_tgt_midpoint	Spelt_coverage	Spelt_identity
gene:TraesCS2B03G0000100	Chr2B	28743	34135	+	31439	Chr2B	83020	88417	+	85718	1.0	1.0
gene:TraesCS2B03G0000200	Chr2B	39467	43757	-	41612	Chr2B	93749	98039	-	95894	1.0	0.999
gene:TraesCS2B03G0000300	Chr2B	99450	99932	-	99691	Chr2B	154000	154482	-	154241	1.0	1.0
gene:TraesCS2B03G0000400	Chr2B	106822	111948	+	109385	Chr2B	161145	166276	+	163710	1.0	0.999
gene:TraesCS2B03G0000700	Chr2B	125470	127186	+	126328	Chr2B	179837	181553	+	180695	1.0	1.0
gene:TraesCS2B03G0000800	Chr2B	129516	134301	-	131908	Chr2B	184044	188829	-	186436	1.0	1.0
gene:TraesCS2B03G0000900	Chr2B	248523	249650	-	249086	Chr2B	303131	304258	-	303694	1.0	1.0
gene:TraesCS2B03G0001000	Chr2B	255128	258501	+	256814	Chr2B	309486	312859	+	311172	1.0	1.0
gene:TraesCS2B03G0001100	Chr2B	277481	281508	+	279494	Chr2B	331667	335694	+	333680	1.0	0.993
gene:TraesCS2B03G0001900	Chr2B	359414	360259	+	359836	Chr2B	336138	336983	+	336560	1.0	0.992
gene:TraesCS2B03G0002000	Chr2B	374883	385010	+	379946	Chr2B	351554	361678	+	356616	1.0	1.0
gene:TraesCS2B03G0002400	Chr2B	401647	403609	+	402628	Chr2B	378318	380280	+	379299	1.0	1.0
gene:TraesCS2B03G0002500	Chr2B	404319	408371	-	406345	Chr2B	380990	385042	-	383016	1.0	1.0
gene:TraesCS2B03G0002600	Chr2B	410883	413197	+	412040	Chr2B	387554	389935	+	388744	1.0	1.0
gene:TraesCS2B03G0002800	Chr2B	416211	435790	-	426000	Chr2B	392980	412557	-	402768	1.0	0.999
gene:TraesCS2B03G0002900	Chr2B	459671	461718	-	460694	Chr2B	436053	438100	-	437076	1.0	1.0
gene:TraesCS2B03G0003100	Chr2B	463843	465375	-	464609	Chr2B	440225	441757	-	440991	1.0	1.0
gene:TraesCS2B03G0003300	Chr2B	517984	518190	-	518087	Chr2B	494911	495117	-	495014	1.0	1.0
gene:TraesCS2B03G0003600	Chr2B	568597	573759	-	571178	Chr2B	544782	549944	-	547363	1.0	0.999
gene:TraesCS2B03G0004000	Chr2B	587902	591459	-	589680	Chr2B	564928	568485	-	566706	1.0	1.0
gene:TraesCS2B03G0004100	Chr2B	593205	600260	+	596732	Chr2B	570326	577380	+	573853	1.0	1.0
gene:TraesCS2B03G0005000	Chr2B	794419	800602	-	797510	Chr2B	771165	777348	-	774256	1.0	0.999
gene:TraesCS2B03G0005300	Chr2B	815240	815533	-	815386	Chr2B	792102	792395	-	792248	1.0	1.0
gene:TraesCS2B03G0005500	Chr2B	823285	827294	-	825289	Chr2B	800199	804207	-	802203	1.0	1.0
gene:TraesCS2B03G0005700	Chr2B	963404	964372	+	963888	Chr2B	939534	940502	+	940018	1.0	1.0
gene:TraesCS2B03G0005800	Chr2B	976395	977051	+	976723	Chr2B	952524	953180	+	952852	1.0	1.0
gene:TraesCS2B03G0005900	Chr2B	993279	993881	+	993580	Chr2B	969689	970291	+	969990	1.0	1.0
gene:TraesCS2B03G0006000	Chr2B	1002722	1009665	+	1006193	Chr2B	979132	986075	+	982603	1.0	1.0
gene:TraesCS2B03G0006500	Chr2B	1091608	1092561	-	1092084	Chr2B	1068025	1068978	-	1068501	1.0	1.0
gene:TraesCS2B03G0006600	Chr2B	1094148	1094755	-	1094451	Chr2B	1070565	1071172	-	1070868	1.0	1.0
gene:TraesCS2B03G0006800	Chr2B	1102968	1104198	+	1103583	Chr2B	1079482	1080712	+	1080097	1.0	1.0
gene:TraesCS2B03G0006900	Chr2B	1108051	1109094	-	1108572	Chr2B	1084565	1085608	-	1085086	1.0	1.0
gene:TraesCS2B03G0007300	Chr2B	1288909	1292682	-	1290795	Chr2B	1264904	1268677	-	1266790	1.0	1.0
gene:TraesCS2B03G0007800	Chr2B	1510232	1513235	-	1511733	Chr2B	1392020	1395023	-	1393521	1.0	0.998
gene:TraesCS2B03G0007900	Chr2B	1846230	1850991	+	1848610	Chr2B	1736140	1740901	+	1738520	1.0	1.0
gene:TraesCS2B03G0008300	Chr2B	1951546	1953088	-	1952317	Chr2B	1848678	1850220	-	1849449	1.0	1.0
gene:TraesCS2B03G0008500	Chr2B	1958192	1967818	-	1963005	Chr2B	1855383	1865022	-	1860202	1.0	1.0
gene:TraesCS2B03G0009200	Chr2B	2344071	2344364	+	2344217	Chr2B	2217074	2217367	+	2217220	1.0	0.978
gene:TraesCS2B03G0009700	Chr2B	2520260	2520661	-	2520460	Chr2B	2403208	2403608	-	2403408	1.0	0.995
gene:TraesCS2B03G0009900	Chr2B	2672857	2674541	-	2673699	Chr2B	2560832	2562516	-	2561674	1.0	0.992
gene:TraesCS2B03G0010000	Chr2B	2678638	2681094	-	2679866	Chr2B	2566599	2569055	-	2567827	1.0	0.995
gene:TraesCS2B03G0010300	Chr2B	2698016	2703512	+	2700764	Chr2B	2592861	2598335	+	2595598	1.0	0.995
gene:TraesCS2B03G0010400	Chr2B	2717986	2718723	-	2718354	Chr2B	2612797	2613534	-	2613165	1.0	0.987
gene:TraesCS2B03G0010900	Chr2B	2892074	2894736	+	2893405	Chr2B	2801373	2804034	+	2802703	0.999	0.992
gene:TraesCS2B03G0011300	Chr2B	2962930	2963370	+	2963150	Chr2B	2924293	2924733	+	2924513	1.0	0.997
gene:TraesCS2B03G0011700	Chr2B	3194437	3195324	-	3194880	Chr2B	5284324	5285211	+	5284767	1.0	0.982
gene:TraesCS2B03G0011900	Chr2B	3212333	3217189	-	3214761	Chr2B	3679291	3684150	-	3681720	0.997	0.992
gene:TraesCS2B03G0012700	Chr2B	3630724	3631650	-	3631187	Chr2B	3803112	3804038	-	3803575	1.0	0.998
gene:TraesCS2B03G0012800	Chr2B	3632392	3635151	-	3633771	Chr2B	3804634	3807404	-	3806019	1.0	0.99
gene:TraesCS2B03G0012900	Chr2B	3685456	3686983	-	3686219	Chr2B	3883910	3885437	-	3884673	1.0	0.999
gene:TraesCS2B03G0013100	Chr2B	3855432	3862083	+	3858757	Chr2B	4062225	4069103	+	4065664	1.0	0.997
gene:TraesCS2B03G0013300	Chr2B	3877680	3878447	+	3878063	Chr2B	4084866	4085629	+	4085247	0.994	0.988
gene:TraesCS2B03G0013400	Chr2B	3880027	3880452	+	3880239	Chr2B	4087187	4087612	+	4087399	1.0	0.997
gene:TraesCS2B03G0015300	Chr2B	4921039	4922226	-	4921632	Chr2B	5065285	5066472	+	5065878	1.0	0.998
gene:TraesCS2B03G0015400	Chr2B	4921039	4925322	-	4923180	Chr2B	5185995	5190278	+	5188136	1.0	0.998
gene:TraesCS2B03G0016000	Chr2B	5016726	5020169	+	5018447	Chr2B	4967729	4971172	-	4969450	1.0	1.0
gene:TraesCS2B03G0016200	Chr2B	5031749	5033515	-	5032632	Chr2B	4948986	4950754	+	4949870	1.0	0.99
gene:TraesCS2B03G0016300	Chr2B	5034478	5034879	-	5034678	Chr2B	4947622	4948023	+	4947822	1.0	0.995
gene:TraesCS2B03G0016400	Chr2B	5035649	5037309	-	5036479	Chr2B	4941109	4942769	+	4941939	1.0	0.996
gene:TraesCS2B03G0016700	Chr2B	5058158	5060304	+	5059231	Chr2B	4918087	4920233	-	4919160	1.0	0.998
gene:TraesCS2B03G0018300	Chr2B	5465459	5467015	-	5466237	Chr2B	4865453	4866966	+	4866209	0.972	0.932
gene:TraesCS2B03G0018500	Chr2B	5500410	5504869	+	5502639	Chr2B	4902240	4906698	-	4904469	1.0	0.999
gene:TraesCS2B03G0018600	Chr2B	5525526	5527171	-	5526348	Chr2B	4879877	4881522	+	4880699	1.0	1.0
gene:TraesCS2B03G0018700	Chr2B	5530391	5532332	+	5531361	Chr2B	4874715	4876656	-	4875685	1.0	1.0
gene:TraesCS2B03G0018800	Chr2B	5613315	5614067	-	5613691	Chr2B	4792611	4793363	+	4792987	1.0	0.998
gene:TraesCS2B03G0018900	Chr2B	5619058	5620657	+	5619857	Chr2B	4786047	4787646	-	4786846	1.0	0.998
gene:TraesCS2B03G0019000	Chr2B	5640833	5641228	+	5641030	Chr2B	4765505	4765900	-	4765702	1.0	1.0
gene:TraesCS2B03G0019100	Chr2B	5644403	5648377	-	5646390	Chr2B	4758357	4762330	+	4760343	0.999	0.998
gene:TraesCS2B03G0019200	Chr2B	5654103	5657492	+	5655797	Chr2B	4749231	4752620	-	4750925	1.0	0.998
gene:TraesCS2B03G0019300	Chr2B	5657715	5659851	-	5658783	Chr2B	4746872	4749008	+	4747940	1.0	0.999
gene:TraesCS2B03G0019800	Chr2B	5722565	5736933	-	5729749	Chr2B	4669297	4683659	+	4676478	0.998	0.997
