gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Spelt_tgt_chr	Spelt_tgt_start	Spelt_tgt_end	Spelt_tgt_strand	Spelt_tgt_midpoint	Spelt_coverage	Spelt_identity
gene:TraesCS5B03G0000900	Chr5B	208601	214218	+	211409	Chr5B	597874	603478	-	600676	0.987	0.943
gene:TraesCS5B03G0001200	Chr5B	227704	231809	+	229756	Chr5B	533551	538088	-	535819	0.986	0.935
gene:TraesCS5B03G0001800	Chr5B	1110422	1112273	-	1111347	Chr5B	3261408	3263175	-	3262291	0.985	0.925
gene:TraesCS5B03G0001900	Chr5B	1209448	1212378	+	1210913	Chr5B	3287053	3289992	-	3288522	0.985	0.933
gene:TraesCS5B03G0002200	Chr5B	1420063	1425391	-	1422727	Chr5B	164262	169613	-	166937	0.97	0.937
gene:TraesCS5B03G0002900	Chr5B	2118597	2118959	-	2118778	Chr5B	2841748	2842110	+	2841929	1.0	0.975
gene:TraesCS5B03G0003200	Chr5B	2256442	2262369	+	2259405	Chr5B	2753130	2758969	-	2756049	0.988	0.94
gene:TraesCS5B03G0003500	Chr5B	2311597	2312335	+	2311966	Chr5B	2559488	2560232	-	2559860	1.0	0.953
gene:TraesCS5B03G0003700	Chr5B	2316821	2328979	+	2322900	Chr5B	2503888	2514081	-	2508984	0.993	0.917
gene:TraesCS5B03G0003800	Chr5B	2702541	2703727	-	2703134	Chr5B	2109937	2111149	-	2110543	1.0	0.951
gene:TraesCS5B03G0004500	Chr5B	3593228	3597197	-	3595212	Chr5B	2347270	2351259	-	2349264	1.0	0.973
gene:TraesCS5B03G0004700	Chr5B	3614607	3619532	+	3617069	Chr5B	1918970	1923455	-	1921212	0.981	0.94
gene:TraesCS5B03G0004800	Chr5B	4221282	4227412	-	4224347	Chr5B	1912190	1918283	+	1915236	0.971	0.941
gene:TraesCS5B03G0005300	Chr5B	4269528	4272513	-	4271020	Chr5B	1811148	1814120	+	1812634	0.991	0.96
gene:TraesCS5B03G0006500	Chr5B	4731523	4732017	+	4731770	Chr5B	1527112	1527606	-	1527359	1.0	0.983
gene:TraesCS5B03G0007900	Chr5B	5090409	5094657	+	5092533	Chr5B	3930320	3934542	+	3932431	0.963	0.916
gene:TraesCS5B03G0009600	Chr5B	6421687	6425565	-	6423626	Chr5B	5855142	5858792	-	5856967	0.965	0.911
gene:TraesCS5B03G0009700	Chr5B	6450124	6464864	+	6457494	Chr5B	5872460	5886762	+	5879611	0.999	0.98
gene:TraesCS5B03G0009900	Chr5B	6523497	6531811	+	6527654	Chr5B	5913351	5916927	+	5915139	0.99	0.972
gene:TraesCS5B03G0010600	Chr5B	6627478	6644259	+	6635868	Chr5B	6072474	6085191	+	6078832	0.999	0.972
gene:TraesCS5B03G0011300	Chr5B	6679420	6682699	+	6681059	Chr5B	6120793	6124072	+	6122432	1.0	1.0
gene:TraesCS5B03G0011400	Chr5B	6701850	6705413	+	6703631	Chr5B	6143077	6146640	+	6144858	1.0	1.0
gene:TraesCS5B03G0011500	Chr5B	6706639	6711139	+	6708889	Chr5B	6147666	6152166	+	6149916	1.0	1.0
gene:TraesCS5B03G0011800	Chr5B	6715953	6734079	+	6725016	Chr5B	6155999	6174094	+	6165046	0.997	0.992
gene:TraesCS5B03G0012000	Chr5B	6891065	6894289	-	6892677	Chr5B	6310877	6314099	-	6312488	0.999	0.991
gene:TraesCS5B03G0014000	Chr5B	7204960	7205447	-	7205203	Chr5B	6808176	6808663	-	6808419	1.0	0.994
gene:TraesCS5B03G0014100	Chr5B	7240428	7241179	-	7240803	Chr5B	6830190	6830942	-	6830566	0.998	0.987
gene:TraesCS5B03G0014300	Chr5B	7359600	7360287	-	7359943	Chr5B	6993685	6994372	-	6994028	1.0	0.988
gene:TraesCS5B03G0014400	Chr5B	7410008	7410495	-	7410251	Chr5B	4793601	4794087	+	4793844	1.0	0.971
gene:TraesCS5B03G0014500	Chr5B	7437158	7437645	-	7437401	Chr5B	7051244	7051738	-	7051491	1.0	0.989
gene:TraesCS5B03G0014600	Chr5B	7592627	7597126	-	7594876	Chr5B	7178737	7183195	-	7180966	0.977	0.974
gene:TraesCS5B03G0014800	Chr5B	7755553	7759308	-	7757430	Chr5B	7324449	7328204	-	7326326	1.0	0.995
gene:TraesCS5B03G0015100	Chr5B	7985700	7994441	-	7990070	Chr5B	7418429	7427422	-	7422925	1.0	0.996
gene:TraesCS5B03G0015300	Chr5B	8044868	8056936	-	8050902	Chr5B	7477488	7489556	-	7483522	1.0	1.0
gene:TraesCS5B03G0015500	Chr5B	8136091	8146344	+	8141217	Chr5B	7606008	7621866	+	7613937	0.993	0.984
gene:TraesCS5B03G0015900	Chr5B	8231890	8236662	+	8234276	Chr5B	7692780	7697504	+	7695142	0.978	0.976
gene:TraesCS5B03G0016100	Chr5B	8246419	8248728	-	8247573	Chr5B	7710346	7713044	-	7711695	1.0	0.998
gene:TraesCS5B03G0016300	Chr5B	8403122	8405146	+	8404134	Chr5B	7843685	7845698	+	7844691	0.989	0.963
gene:TraesCS5B03G0016400	Chr5B	8412291	8414400	+	8413345	Chr5B	7854749	7856828	+	7855788	0.987	0.975
gene:TraesCS5B03G0017000	Chr5B	8435064	8439898	-	8437481	Chr5B	7877546	7882381	-	7879963	1.0	0.99
gene:TraesCS5B03G0017600	Chr5B	8929166	8931564	-	8930365	Chr5B	8560096	8562527	-	8561311	1.0	1.0
gene:TraesCS5B03G0018000	Chr5B	8959192	8973203	-	8966197	Chr5B	8587486	8601389	-	8594437	0.943	0.928
gene:TraesCS5B03G0018200	Chr5B	8987169	8989682	-	8988425	Chr5B	8606978	8609778	-	8608378	0.954	0.916
gene:TraesCS5B03G0018300	Chr5B	8990141	8990908	-	8990524	Chr5B	8610198	8610965	-	8610581	1.0	0.97
gene:TraesCS5B03G0018500	Chr5B	8999069	8999971	-	8999520	Chr5B	8618837	8619730	-	8619283	0.99	0.981
gene:TraesCS5B03G0019100	Chr5B	9063135	9063958	+	9063546	Chr5B	8685932	8686755	+	8686343	1.0	0.998
gene:TraesCS5B03G0019200	Chr5B	9094473	9094694	+	9094583	Chr5B	8717260	8717481	+	8717370	1.0	1.0
gene:TraesCS5B03G0019300	Chr5B	9098241	9101504	+	9099872	Chr5B	8721028	8724289	+	8722658	1.0	1.0
gene:TraesCS5B03G0019500	Chr5B	9128880	9132494	+	9130687	Chr5B	8751742	8755417	+	8753579	1.0	1.0
gene:TraesCS5B03G0019600	Chr5B	9270520	9274061	-	9272290	Chr5B	8893395	8896936	-	8895165	1.0	0.999
gene:TraesCS5B03G0019700	Chr5B	9291833	9292246	+	9292039	Chr5B	8915043	8915456	+	8915249	1.0	1.0
gene:TraesCS5B03G0019900	Chr5B	9309126	9311271	+	9310198	Chr5B	8932335	8934480	+	8933407	1.0	1.0
gene:TraesCS5B03G0020000	Chr5B	9311350	9315370	-	9313360	Chr5B	8934559	8938579	-	8936569	1.0	1.0
gene:TraesCS5B03G0020200	Chr5B	9331528	9333209	+	9332368	Chr5B	8954757	8956438	+	8955597	1.0	1.0
gene:TraesCS5B03G0020300	Chr5B	9336604	9337029	+	9336816	Chr5B	8959833	8960258	+	8960045	1.0	1.0
gene:TraesCS5B03G0020400	Chr5B	9346778	9347669	+	9347223	Chr5B	8968996	8969887	+	8969441	1.0	1.0
gene:TraesCS5B03G0020500	Chr5B	9350147	9351646	+	9350896	Chr5B	8972365	8973864	+	8973114	1.0	1.0
gene:TraesCS5B03G0020600	Chr5B	9380809	9382659	-	9381734	Chr5B	9003241	9005091	-	9004166	1.0	1.0
gene:TraesCS5B03G0020700	Chr5B	9403400	9406313	+	9404856	Chr5B	9025972	9028885	+	9027428	1.0	1.0
gene:TraesCS5B03G0020800	Chr5B	9468227	9470148	+	9469187	Chr5B	9090795	9092716	+	9091755	1.0	1.0
gene:TraesCS5B03G0021000	Chr5B	9571961	9572791	-	9572376	Chr5B	9194456	9195286	-	9194871	1.0	1.0
gene:TraesCS5B03G0021200	Chr5B	9587651	9588520	+	9588085	Chr5B	9210146	9211015	+	9210580	1.0	1.0
gene:TraesCS5B03G0021800	Chr5B	9717192	9720543	-	9718867	Chr5B	9343677	9347028	-	9345352	1.0	1.0
gene:TraesCS5B03G0022000	Chr5B	9855474	9864520	+	9859997	Chr5B	9481786	9490952	+	9486369	1.0	1.0
gene:TraesCS5B03G0022200	Chr5B	10106300	10110457	-	10108378	Chr5B	9732848	9737029	-	9734938	1.0	0.999
gene:TraesCS5B03G0022600	Chr5B	10214304	10220355	-	10217329	Chr5B	9841068	9847120	-	9844094	1.0	1.0
gene:TraesCS5B03G0022700	Chr5B	10307002	10310651	-	10308826	Chr5B	9934162	9937811	-	9935986	1.0	1.0
gene:TraesCS5B03G0022900	Chr5B	10391195	10392453	+	10391824	Chr5B	10019826	10021084	+	10020455	1.0	1.0
gene:TraesCS5B03G0023200	Chr5B	10474262	10476974	+	10475618	Chr5B	10101943	10104655	+	10103299	1.0	1.0
