cs_chr	cs_start	cs_end	Spelt_tgt_chr	Spelt_tgt_start	Spelt_tgt_end	n_anchors	mean_identity
Chr3A	28273	1118840	Chr3A	809104	1375240	8	0.9724999999999999
Chr3A	1609233	2010649	Chr3A	1846450	2222127	8	0.97625
Chr3A	180118229	182932003	Chr3A	181048843	183675594	30	0.9951333333333334
Chr3A	188573544	192745740	Chr3A	171549124	175551457	17	0.9958235294117648
Chr3A	6969528	140281429	Chr3A	2354607	132208763	1331	0.9947911344853494
Chr3A	142385461	178436646	Chr3A	134280824	170330893	149	0.9962013422818794
Chr3A	183225623	187790158	Chr3A	176356791	180739045	16	0.994375
Chr3A	195861474	198956938	Chr3A	187173644	190309390	14	0.9940714285714286
Chr3A	201054804	263087799	Chr3A	192166405	254116064	186	0.9988924731182797
Chr3A	270762150	278734659	Chr3A	261730247	269689438	12	0.99775
Chr3A	280899243	284859700	Chr3A	271831041	275732227	6	0.9998333333333335
Chr3A	286968946	294756278	Chr3A	277853594	285623186	7	0.9997142857142858
Chr3A	302081152	305236714	Chr3A	291619425	294749932	5	0.9911999999999999
Chr3A	307569651	320851265	Chr3A	297092755	310340139	16	0.99975
Chr3A	323489039	328087198	Chr3A	312966102	317520086	9	0.9995555555555556
Chr3A	331805909	349096037	Chr3A	321566237	338705681	30	0.9985999999999999
Chr3A	351562540	354510700	Chr3A	341085313	344017636	8	0.9998750000000001
Chr3A	357146906	360275758	Chr3A	346663188	349791621	6	0.9998333333333335
Chr3A	362401176	754027567	Chr3A	351879903	743797360	3056	0.9963628926701571
Chr3A	728848948	729272609	Chr3A	722170911	722587660	10	0.9993000000000001
