cs_chr	cs_start	cs_end	Spelt_tgt_chr	Spelt_tgt_start	Spelt_tgt_end	n_anchors	mean_identity
Chr5B	211409	150623157	Chr5B	166937	152256363	937	0.9935667022411953
Chr5B	153027140	156551532	Chr5B	154571615	158740916	8	0.998875
Chr5B	158568371	169148558	Chr5B	160170800	172408300	18	0.9941666666666666
Chr5B	193712534	194129805	Chr5B	195078033	195507762	3	0.9986666666666667
Chr5B	206755345	210800536	Chr5B	206755652	210804219	9	0.9982222222222222
Chr5B	222313523	239465934	Chr5B	221784577	239242763	70	0.996342857142857
Chr5B	241488361	344742710	Chr5B	241038488	344062010	578	0.9970346020761245
Chr5B	346985936	386215007	Chr5B	346269782	385499740	216	0.9987268518518518
Chr5B	389314561	415604247	Chr5B	385757376	411909869	196	0.9964642857142858
Chr5B	417734794	702913650	Chr5B	412367712	698122566	2842	0.993433145672062
Chr5B	705657044	711054570	Chr5B	701531608	706086246	88	0.996090909090909
