gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Spelt_tgt_chr	Spelt_tgt_start	Spelt_tgt_end	Spelt_tgt_strand	Spelt_tgt_midpoint	Spelt_coverage	Spelt_identity
gene:TraesCS5D03G0000300	Chr5D	295745	301549	-	298647	Chr5D	397759	403559	-	400659	0.997	0.993
gene:TraesCS5D03G0000400	Chr5D	306801	310996	+	308898	Chr5D	408796	412991	+	410893	1.0	0.999
gene:TraesCS5D03G0000500	Chr5D	475881	477308	+	476594	Chr5D	577137	578564	+	577850	1.0	1.0
gene:TraesCS5D03G0000600	Chr5D	504194	504526	-	504360	Chr5D	858799	859131	-	858965	1.0	0.969
gene:TraesCS5D03G0000700	Chr5D	504194	504552	-	504373	Chr5D	858799	859157	-	858978	1.0	0.972
gene:TraesCS5D03G0000900	Chr5D	716462	716794	-	716628	Chr5D	605865	606197	-	606031	1.0	1.0
gene:TraesCS5D03G0001100	Chr5D	763156	767483	-	765319	Chr5D	866589	871258	-	868923	1.0	0.994
gene:TraesCS5D03G0001300	Chr5D	929486	932500	+	930993	Chr5D	1033634	1036648	+	1035141	1.0	1.0
gene:TraesCS5D03G0001500	Chr5D	932731	938642	-	935686	Chr5D	1036879	1042791	-	1039835	1.0	1.0
gene:TraesCS5D03G0001700	Chr5D	1529495	1530538	+	1530016	Chr5D	1631918	1632961	+	1632439	1.0	1.0
gene:TraesCS5D03G0001900	Chr5D	1537103	1539147	-	1538125	Chr5D	1639526	1641570	-	1640548	1.0	0.992
gene:TraesCS5D03G0002100	Chr5D	1605131	1610309	+	1607720	Chr5D	1708196	1713374	+	1710785	1.0	1.0
gene:TraesCS5D03G0002300	Chr5D	1705168	1712206	-	1708687	Chr5D	1808208	1815246	-	1811727	1.0	1.0
gene:TraesCS5D03G0002500	Chr5D	1803394	1806327	+	1804860	Chr5D	1907161	1910094	+	1908627	1.0	1.0
gene:TraesCS5D03G0002900	Chr5D	1887729	1890428	-	1889078	Chr5D	1991004	1993703	-	1992353	1.0	1.0
gene:TraesCS5D03G0003000	Chr5D	2120086	2120451	-	2120268	Chr5D	2223437	2223802	-	2223619	1.0	1.0
gene:TraesCS5D03G0003100	Chr5D	2121153	2121944	+	2121548	Chr5D	2224504	2225295	+	2224899	1.0	1.0
gene:TraesCS5D03G0003200	Chr5D	2135387	2142134	+	2138760	Chr5D	2238927	2245674	+	2242300	1.0	0.999
gene:TraesCS5D03G0003400	Chr5D	2251213	2252857	-	2252035	Chr5D	2354107	2355751	-	2354929	1.0	1.0
gene:TraesCS5D03G0003500	Chr5D	2286363	2288714	+	2287538	Chr5D	2389277	2391630	+	2390453	1.0	1.0
gene:TraesCS5D03G0003600	Chr5D	2291637	2302490	+	2297063	Chr5D	2394553	2405533	+	2400043	1.0	0.995
gene:TraesCS5D03G0003700	Chr5D	2517220	2518242	-	2517731	Chr5D	2613971	2614993	-	2614482	1.0	0.999
gene:TraesCS5D03G0004200	Chr5D	2615885	2618789	+	2617337	Chr5D	2712760	2715447	+	2714103	0.921	0.921
gene:TraesCS5D03G0004700	Chr5D	2665098	2671307	+	2668202	Chr5D	2761184	2767393	+	2764288	1.0	1.0
gene:TraesCS5D03G0004800	Chr5D	2672766	2677982	-	2675374	Chr5D	2768852	2774052	-	2771452	0.991	0.987
gene:TraesCS5D03G0004900	Chr5D	2679349	2683430	-	2681389	Chr5D	2775419	2779500	-	2777459	1.0	1.0
gene:TraesCS5D03G0005100	Chr5D	2688714	2693084	+	2690899	Chr5D	2784784	2789154	+	2786969	1.0	1.0
gene:TraesCS5D03G0005200	Chr5D	2696120	2701036	+	2698578	Chr5D	2792190	2797106	+	2794648	1.0	1.0
gene:TraesCS5D03G0005300	Chr5D	2814456	2815962	+	2815209	Chr5D	2912915	2914421	+	2913668	1.0	1.0
gene:TraesCS5D03G0005400	Chr5D	3027689	3029129	+	3028409	Chr5D	3125054	3126494	+	3125774	1.0	1.0
gene:TraesCS5D03G0005700	Chr5D	3085495	3086987	+	3086241	Chr5D	3183040	3184532	+	3183786	1.0	1.0
gene:TraesCS5D03G0006000	Chr5D	3150676	3151507	+	3151091	Chr5D	3248221	3249049	+	3248635	0.997	0.997
gene:TraesCS5D03G0007100	Chr5D	3285989	3291185	-	3288587	Chr5D	3383416	3387957	-	3385686	1.0	1.0
gene:TraesCS5D03G0007600	Chr5D	3553643	3558815	+	3556229	Chr5D	3650214	3655386	+	3652800	1.0	1.0
gene:TraesCS5D03G0007700	Chr5D	3560879	3562605	-	3561742	Chr5D	3657450	3659176	-	3658313	1.0	1.0
gene:TraesCS5D03G0007800	Chr5D	3566317	3566982	+	3566649	Chr5D	3662889	3663554	+	3663221	1.0	1.0
gene:TraesCS5D03G0007900	Chr5D	3568816	3570710	-	3569763	Chr5D	3665388	3667282	-	3666335	1.0	1.0
gene:TraesCS5D03G0008000	Chr5D	3579222	3582239	-	3580730	Chr5D	3675830	3678847	-	3677338	1.0	1.0
gene:TraesCS5D03G0008100	Chr5D	3584251	3584745	+	3584498	Chr5D	3680859	3681353	+	3681106	1.0	1.0
gene:TraesCS5D03G0008300	Chr5D	3604593	3605039	+	3604816	Chr5D	3701071	3701517	+	3701294	1.0	1.0
gene:TraesCS5D03G0008400	Chr5D	3608804	3611113	-	3609958	Chr5D	3705282	3707591	-	3706436	1.0	1.0
gene:TraesCS5D03G0008600	Chr5D	3622739	3623188	+	3622963	Chr5D	3719220	3719669	+	3719444	1.0	1.0
gene:TraesCS5D03G0009200	Chr5D	3649092	3650582	+	3649837	Chr5D	3744861	3746351	+	3745606	1.0	0.999
gene:TraesCS5D03G0009100	Chr5D	3649059	3653270	-	3651164	Chr5D	3744828	3749039	-	3746933	1.0	0.999
gene:TraesCS5D03G0009400	Chr5D	3672490	3674058	-	3673274	Chr5D	3768258	3769826	-	3769042	1.0	1.0
gene:TraesCS5D03G0009800	Chr5D	3763968	3767732	-	3765850	Chr5D	3859409	3863173	-	3861291	1.0	1.0
gene:TraesCS5D03G0009900	Chr5D	3777701	3780330	+	3779015	Chr5D	3873201	3875830	+	3874515	1.0	1.0
gene:TraesCS5D03G0010200	Chr5D	4128339	4134929	+	4131634	Chr5D	4206445	4213035	+	4209740	1.0	1.0
gene:TraesCS5D03G0010300	Chr5D	4138928	4139406	+	4139167	Chr5D	4217034	4217512	+	4217273	1.0	1.0
gene:TraesCS5D03G0010400	Chr5D	4139960	4143802	+	4141881	Chr5D	4218066	4221908	+	4219987	1.0	1.0
gene:TraesCS5D03G0010500	Chr5D	4143972	4149511	-	4146741	Chr5D	4222078	4227617	-	4224847	1.0	1.0
gene:TraesCS5D03G0010700	Chr5D	4214914	4215624	+	4215269	Chr5D	4293029	4293739	+	4293384	1.0	1.0
gene:TraesCS5D03G0010800	Chr5D	4236946	4237494	+	4237220	Chr5D	4315199	4315747	+	4315473	1.0	1.0
gene:TraesCS5D03G0010900	Chr5D	4321657	4325110	+	4323383	Chr5D	4400049	4403502	+	4401775	1.0	1.0
gene:TraesCS5D03G0011400	Chr5D	4601728	4604250	+	4602989	Chr5D	4684312	4686834	+	4685573	1.0	1.0
gene:TraesCS5D03G0011500	Chr5D	4657637	4660576	+	4659106	Chr5D	4740512	4743451	+	4741981	1.0	1.0
gene:TraesCS5D03G0011600	Chr5D	4661997	4662533	+	4662265	Chr5D	4744872	4745408	+	4745140	1.0	1.0
gene:TraesCS5D03G0011700	Chr5D	4662688	4663563	+	4663125	Chr5D	4745563	4746438	+	4746000	1.0	0.998
gene:TraesCS5D03G0011800	Chr5D	4685322	4688315	-	4686818	Chr5D	4768197	4771190	-	4769693	1.0	1.0
gene:TraesCS5D03G0012000	Chr5D	4692650	4697978	-	4695314	Chr5D	4775562	4780890	-	4778226	1.0	1.0
gene:TraesCS5D03G0012500	Chr5D	4781972	4785327	+	4783649	Chr5D	4866633	4869988	+	4868310	1.0	1.0
gene:TraesCS5D03G0016000	Chr5D	4919446	4920810	+	4920128	Chr5D	4971467	4972831	+	4972149	1.0	1.0
gene:TraesCS5D03G0016300	Chr5D	4925161	4925271	-	4925216	Chr5D	4973512	4973622	+	4973567	1.0	1.0
gene:TraesCS5D03G0016400	Chr5D	4925715	4926272	+	4925993	Chr5D	4973953	4974510	+	4974231	1.0	0.998
gene:TraesCS5D03G0016800	Chr5D	4929412	4929555	-	4929483	Chr5D	4977650	4977793	-	4977721	1.0	1.0
gene:TraesCS5D03G0016900	Chr5D	4929660	4929776	-	4929718	Chr5D	4977898	4978014	-	4977956	1.0	1.0
gene:TraesCS5D03G0017300	Chr5D	4931465	4931578	+	4931521	Chr5D	4979703	4979816	+	4979759	1.0	1.0
gene:TraesCS5D03G0017400	Chr5D	4932349	4932477	+	4932413	Chr5D	4980587	4980715	+	4980651	1.0	1.0
gene:TraesCS5D03G0017500	Chr5D	4932918	4933118	+	4933018	Chr5D	4981156	4981356	+	4981256	1.0	1.0
gene:TraesCS5D03G0018000	Chr5D	4935300	4936013	-	4935656	Chr5D	4983539	4984252	-	4983895	1.0	1.0
gene:TraesCS5D03G0018400	Chr5D	4938361	4938492	-	4938426	Chr5D	4986600	4986731	-	4986665	1.0	1.0
gene:TraesCS5D03G0018500	Chr5D	4938596	4938832	+	4938714	Chr5D	4986835	4987071	+	4986953	1.0	1.0
gene:TraesCS5D03G0018700	Chr5D	4939644	4939925	+	4939784	Chr5D	4987883	4988164	+	4988023	1.0	1.0
gene:TraesCS5D03G0019200	Chr5D	4943192	4945435	+	4944313	Chr5D	4991433	4993676	+	4992554	1.0	1.0
gene:TraesCS5D03G0019300	Chr5D	4945761	4945971	+	4945866	Chr5D	4994002	4994212	+	4994107	1.0	1.0
gene:TraesCS5D03G0019800	Chr5D	4948993	4949154	-	4949073	Chr5D	4997234	4997395	-	4997314	1.0	1.0
