gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Spelt_tgt_chr	Spelt_tgt_start	Spelt_tgt_end	Spelt_tgt_strand	Spelt_tgt_midpoint	Spelt_coverage	Spelt_identity
gene:TraesCS3D03G0028000	Chr3D	5150285	5152919	-	5151602	Chr3D	10650218	10652831	+	10651524	0.982	0.924
gene:TraesCS3D03G0095400	Chr3D	21213997	21214317	-	21214157	Chr3D	25143881	25144201	-	25144041	1.0	1.0
gene:TraesCS3D03G0095800	Chr3D	21260500	21261032	-	21260766	Chr3D	25190463	25190995	-	25190729	1.0	1.0
gene:TraesCS3D03G0096000	Chr3D	21336911	21337662	-	21337286	Chr3D	25266109	25266856	-	25266482	1.0	1.0
gene:TraesCS3D03G0096300	Chr3D	21772332	21773589	-	21772960	Chr3D	26208282	26209539	-	26208910	1.0	1.0
gene:TraesCS3D03G0096400	Chr3D	21796592	21798779	+	21797685	Chr3D	26232542	26234729	+	26233635	1.0	1.0
gene:TraesCS3D03G0096600	Chr3D	21891750	21892811	+	21892280	Chr3D	26325553	26326614	+	26326083	1.0	1.0
gene:TraesCS3D03G0096900	Chr3D	21897618	21898567	+	21898092	Chr3D	26331421	26332121	+	26331771	1.0	0.998
gene:TraesCS3D03G0097100	Chr3D	21899382	21899525	-	21899453	Chr3D	26332936	26333079	-	26333007	1.0	1.0
gene:TraesCS3D03G0097200	Chr3D	21899630	21899746	-	21899688	Chr3D	26333184	26333300	-	26333242	1.0	1.0
gene:TraesCS3D03G0097400	Chr3D	21899899	21900150	-	21900024	Chr3D	26333453	26333704	-	26333578	1.0	1.0
gene:TraesCS3D03G0097600	Chr3D	21901302	21901397	+	21901349	Chr3D	26334855	26334950	+	26334902	1.0	1.0
gene:TraesCS3D03G0097900	Chr3D	21903008	21903208	+	21903108	Chr3D	26336561	26336761	+	26336661	1.0	1.0
gene:TraesCS3D03G0098000	Chr3D	21903478	21903990	+	21903734	Chr3D	26337031	26337543	+	26337287	1.0	1.0
gene:TraesCS3D03G0098100	Chr3D	21904153	21904512	-	21904332	Chr3D	26337706	26338065	-	26337885	1.0	1.0
gene:TraesCS3D03G0098300	Chr3D	21905997	21906647	-	21906322	Chr3D	26339013	26339663	-	26339338	1.0	1.0
gene:TraesCS3D03G0098400	Chr3D	21907250	21908670	+	21907960	Chr3D	26340266	26341686	+	26340976	1.0	1.0
gene:TraesCS3D03G0098500	Chr3D	21908834	21908950	+	21908892	Chr3D	26341850	26341966	+	26341908	1.0	1.0
gene:TraesCS3D03G0098700	Chr3D	22049282	22054560	-	22051921	Chr3D	26482136	26487414	-	26484775	1.0	1.0
gene:TraesCS3D03G0098900	Chr3D	22086168	22094049	+	22090108	Chr3D	26519051	26526936	+	26522993	1.0	1.0
gene:TraesCS3D03G0099000	Chr3D	22130478	22130898	-	22130688	Chr3D	26563486	26563906	-	26563696	1.0	1.0
gene:TraesCS3D03G0099800	Chr3D	22223292	22224989	+	22224140	Chr3D	26656707	26658404	+	26657555	1.0	0.988
gene:TraesCS3D03G0100100	Chr3D	22271797	22273444	+	22272620	Chr3D	26705170	26706817	+	26705993	1.0	1.0
gene:TraesCS3D03G0100200	Chr3D	22275335	22279685	+	22277510	Chr3D	26708710	26713060	+	26710885	1.0	1.0
gene:TraesCS3D03G0100300	Chr3D	22279964	22284122	-	22282043	Chr3D	26713339	26717497	-	26715418	1.0	1.0
gene:TraesCS3D03G0100700	Chr3D	22326877	22330418	-	22328647	Chr3D	26760494	26764035	-	26762264	1.0	1.0
gene:TraesCS3D03G0100800	Chr3D	22362429	22367701	+	22365065	Chr3D	26796034	26801300	+	26798667	0.997	0.997
gene:TraesCS3D03G0100900	Chr3D	22365767	22366717	-	22366242	Chr3D	26799366	26800316	-	26799841	1.0	1.0
gene:TraesCS3D03G0101000	Chr3D	22367619	22372527	-	22370073	Chr3D	26801218	26806126	-	26803672	1.0	1.0
gene:TraesCS3D03G0101200	Chr3D	22373968	22376581	+	22375274	Chr3D	26807567	26810180	+	26808873	1.0	1.0
gene:TraesCS3D03G0101300	Chr3D	22381332	22385165	+	22383248	Chr3D	26814925	26818762	+	26816843	1.0	0.999
gene:TraesCS3D03G0101600	Chr3D	22674791	22677510	+	22676150	Chr3D	27108629	27111348	+	27109988	1.0	1.0
gene:TraesCS3D03G0101900	Chr3D	22723383	22724441	-	22723912	Chr3D	27157254	27158316	-	27157785	1.0	0.996
gene:TraesCS3D03G0102200	Chr3D	22924555	22925568	+	22925061	Chr3D	27359008	27359936	+	27359472	1.0	1.0
gene:TraesCS3D03G0102700	Chr3D	23049628	23052085	+	23050856	Chr3D	27483107	27485564	+	27484335	1.0	0.999
gene:TraesCS3D03G0102800	Chr3D	23053202	23056905	+	23055053	Chr3D	27486681	27490384	+	27488532	1.0	1.0
gene:TraesCS3D03G0102900	Chr3D	23057202	23060599	-	23058900	Chr3D	27490681	27494078	-	27492379	1.0	1.0
gene:TraesCS3D03G0103200	Chr3D	23071603	23072961	-	23072282	Chr3D	27504707	27506065	-	27505386	1.0	1.0
gene:TraesCS3D03G0103300	Chr3D	23077192	23081106	-	23079149	Chr3D	27510296	27514213	-	27512254	1.0	1.0
gene:TraesCS3D03G0103600	Chr3D	23087305	23088112	+	23087708	Chr3D	27520412	27521219	+	27520815	1.0	1.0
gene:TraesCS3D03G0103700	Chr3D	23138631	23139184	-	23138907	Chr3D	27571881	27572434	-	27572157	1.0	1.0
gene:TraesCS3D03G0103800	Chr3D	23141784	23154001	-	23147892	Chr3D	27575034	27587251	-	27581142	1.0	1.0
gene:TraesCS3D03G0104000	Chr3D	23167198	23169723	-	23168460	Chr3D	27600450	27602975	-	27601712	1.0	1.0
gene:TraesCS3D03G0104100	Chr3D	23188947	23191263	-	23190105	Chr3D	27622111	27624423	-	27623267	0.997	0.997
gene:TraesCS3D03G0104200	Chr3D	23222124	23223980	-	23223052	Chr3D	27655127	27656983	-	27656055	1.0	1.0
gene:TraesCS3D03G0105400	Chr3D	23604959	23609745	+	23607352	Chr3D	28038197	28042983	+	28040590	1.0	1.0
gene:TraesCS3D03G0105500	Chr3D	23658232	23661925	+	23660078	Chr3D	28091605	28095298	+	28093451	1.0	1.0
gene:TraesCS3D03G0105600	Chr3D	23665414	23669374	+	23667394	Chr3D	28098787	28102747	+	28100767	1.0	1.0
gene:TraesCS3D03G0105700	Chr3D	23721063	23723372	-	23722217	Chr3D	28153826	28156135	-	28154980	1.0	1.0
gene:TraesCS3D03G0105900	Chr3D	23735355	23736956	+	23736155	Chr3D	28168202	28169803	+	28169002	1.0	1.0
