cs_chr	Cadenza_v2_tgt_chr	n_anchors	Cadenza_v2_mean_anchor_gap_Mb	Cadenza_v2_interp_type	n_segments	Cadenza_v2_mean_anchor_fraction
Chr1A	Chr1A+Chr1A	3986	0.108	linear+linear	2	0.944
Chr1B	Chr1B+Chr1B+Chr1B+Chr1B+Chr1B+Chr1B	4243	0.246	linear+linear+linear+linear+linear+linear	6	0.918
Chr1D	Chr1D	4194	0.119	linear	1	0.953
Chr2A	Chr2A+Chr2A+Chr2A	5564	0.752	linear+linear+linear	3	0.965
Chr2B	Chr2B+Chr2B	5419	0.377	linear+linear	2	0.913
Chr2D	Chr2D+Chr2D	5459	0.082	linear+linear	2	0.949
Chr3A	Chr3A+Chr3A	5020	0.117	linear+linear	2	0.974
Chr3B	Chr3B+Chr3B	5416	0.114	linear+linear	2	0.928
Chr3D	Chr3D+Chr3D	5139	0.089	linear+linear	2	0.985
Chr4A	Chr4A+Chr4A+Chr4A+Chr4A	3552	0.392	linear+linear+pchip_inverted+linear	4	0.842
Chr4B	Chr4B	3628	0.186	linear	1	0.811
Chr4D	Chr4D	3554	0.145	linear	1	0.99
Chr5A	Chr5A+Chr5A+Chr5A	5250	0.189	linear+linear+linear	3	0.964
Chr5B	Chr5B+Chr5B+Chr5B+Chr5B	5163	0.119	linear+linear+linear+pchip	4	0.893
Chr5D	Chr5D	5423	0.105	linear	1	0.978
Chr6A	Chr6A	3924	0.159	linear	1	0.973
Chr6B	Chr6B+Chr6B+Chr6B	3945	0.197	linear+pchip_inverted+pchip_inverted	3	0.771
Chr6D	Chr6D	3868	0.128	linear	1	0.983
Chr7A	Chr7A+Chr7A+Chr7A	5122	0.136	linear+pchip_inverted+linear	3	0.955
Chr7B	Chr7B+Chr7B+Chr7B+Chr7B+Chr7B	4455	0.257	linear+linear+linear+linear+linear	5	0.921
Chr7D	Chr7D+Chr7D+Chr7D	5261	0.078	linear+linear+linear	3	0.976
