cs_chr	cs_start	cs_end	Cadenza_v2_tgt_chr	Cadenza_v2_tgt_start	Cadenza_v2_tgt_end	n_anchors	mean_identity
Chr2B	31439	131021009	Chr2B	2594920	133430776	1296	0.9917461419753085
Chr2B	137271666	211003478	Chr2B	134589150	206491310	558	0.9954211469534049
Chr2B	213718220	248272484	Chr2B	206590362	241295170	205	0.9977707317073171
Chr2B	250482935	283157104	Chr2B	243751049	276666642	143	0.996937062937063
Chr2B	285496966	304609294	Chr2B	279001652	305044294	28	0.9991785714285715
Chr2B	308444889	310240678	Chr2B	306703204	308496834	3	0.9996666666666667
Chr2B	318431746	331681179	Chr2B	311941207	325176390	17	0.9999411764705883
Chr2B	333809245	346552298	Chr2B	327398518	340194151	21	0.999904761904762
Chr2B	348999066	355740303	Chr2B	342639823	349284794	9	1.0
Chr2B	360072831	363706950	Chr2B	353000206	359426054	5	1.0
Chr2B	365734406	691805494	Chr2B	361361279	685737322	2079	0.9972784992784991
Chr2B	694081070	811043987	Chr2B	686144921	801080753	1050	0.9849285714285714
