gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Cadenza_v2_tgt_chr	Cadenza_v2_tgt_start	Cadenza_v2_tgt_end	Cadenza_v2_tgt_strand	Cadenza_v2_tgt_midpoint	Cadenza_v2_coverage	Cadenza_v2_identity
gene:TraesCS5D03G0000300	Chr5D	295745	301549	-	298647	Chr5D	566185	571985	-	569085	0.997	0.993
gene:TraesCS5D03G0000400	Chr5D	306801	310996	+	308898	Chr5D	577237	581432	+	579334	1.0	0.999
gene:TraesCS5D03G0000500	Chr5D	475881	477308	+	476594	Chr5D	745226	746653	+	745939	1.0	1.0
gene:TraesCS5D03G0000600	Chr5D	504194	504526	-	504360	Chr5D	773498	773830	-	773664	1.0	0.996
gene:TraesCS5D03G0000700	Chr5D	504194	504552	-	504373	Chr5D	773498	773856	-	773677	1.0	0.997
gene:TraesCS5D03G0000900	Chr5D	716462	716794	-	716628	Chr5D	986663	986995	-	986829	1.0	0.996
gene:TraesCS5D03G0001100	Chr5D	763156	767483	-	765319	Chr5D	1033363	1037719	-	1035541	1.0	1.0
gene:TraesCS5D03G0001300	Chr5D	929486	932500	+	930993	Chr5D	1199845	1202859	+	1201352	1.0	1.0
gene:TraesCS5D03G0001500	Chr5D	932731	938642	-	935686	Chr5D	1203090	1209005	-	1206047	1.0	1.0
gene:TraesCS5D03G0001700	Chr5D	1529495	1530538	+	1530016	Chr5D	1797376	1798419	+	1797897	1.0	1.0
gene:TraesCS5D03G0001900	Chr5D	1537103	1539147	-	1538125	Chr5D	1804984	1807028	-	1806006	1.0	0.992
gene:TraesCS5D03G0002100	Chr5D	1605131	1610309	+	1607720	Chr5D	1872975	1878153	+	1875564	1.0	1.0
gene:TraesCS5D03G0002300	Chr5D	1705168	1712206	-	1708687	Chr5D	1972765	1979803	-	1976284	1.0	1.0
gene:TraesCS5D03G0002500	Chr5D	1803394	1806327	+	1804860	Chr5D	2071002	2073935	+	2072468	1.0	0.999
gene:TraesCS5D03G0002700	Chr5D	1866423	1868501	+	1867462	Chr5D	2134192	2135902	+	2135047	1.0	1.0
gene:TraesCS5D03G0002900	Chr5D	1887729	1890428	-	1889078	Chr5D	2154461	2157160	-	2155810	1.0	0.997
gene:TraesCS5D03G0003000	Chr5D	2120086	2120451	-	2120268	Chr5D	2386731	2387096	-	2386913	1.0	1.0
gene:TraesCS5D03G0003100	Chr5D	2121153	2121944	+	2121548	Chr5D	2387798	2388589	+	2388193	1.0	1.0
gene:TraesCS5D03G0003200	Chr5D	2135387	2142134	+	2138760	Chr5D	2402046	2408793	+	2405419	1.0	1.0
gene:TraesCS5D03G0003400	Chr5D	2251213	2252857	-	2252035	Chr5D	2517924	2519568	-	2518746	1.0	1.0
gene:TraesCS5D03G0003500	Chr5D	2286363	2288714	+	2287538	Chr5D	2553094	2555447	+	2554270	1.0	1.0
gene:TraesCS5D03G0003600	Chr5D	2291637	2302490	+	2297063	Chr5D	2558370	2569229	+	2563799	1.0	0.995
gene:TraesCS5D03G0003700	Chr5D	2517220	2518242	-	2517731	Chr5D	2782077	2783099	-	2782588	1.0	0.999
gene:TraesCS5D03G0004200	Chr5D	2615885	2618789	+	2617337	Chr5D	2949586	2952490	+	2951038	1.0	0.999
gene:TraesCS5D03G0004700	Chr5D	2665098	2671307	+	2668202	Chr5D	2998895	3005104	+	3001999	1.0	1.0
gene:TraesCS5D03G0004800	Chr5D	2672766	2677982	-	2675374	Chr5D	3006563	3011763	-	3009163	0.991	0.987
gene:TraesCS5D03G0004900	Chr5D	2679349	2683430	-	2681389	Chr5D	3013130	3017211	-	3015170	1.0	1.0
gene:TraesCS5D03G0005100	Chr5D	2688714	2693084	+	2690899	Chr5D	3022495	3026865	+	3024680	1.0	1.0
gene:TraesCS5D03G0005200	Chr5D	2696120	2701036	+	2698578	Chr5D	3029901	3034817	+	3032359	1.0	1.0
gene:TraesCS5D03G0005300	Chr5D	2814456	2815962	+	2815209	Chr5D	3148279	3149785	+	3149032	1.0	1.0
gene:TraesCS5D03G0005400	Chr5D	3027689	3029129	+	3028409	Chr5D	3356259	3357699	+	3356979	1.0	1.0
gene:TraesCS5D03G0005700	Chr5D	3085495	3086987	+	3086241	Chr5D	3414012	3415504	+	3414758	1.0	0.998
gene:TraesCS5D03G0006000	Chr5D	3150676	3151507	+	3151091	Chr5D	3479351	3480180	+	3479765	0.997	0.995
gene:TraesCS5D03G0007100	Chr5D	3285989	3291185	-	3288587	Chr5D	3614682	3619883	-	3617282	1.0	1.0
gene:TraesCS5D03G0007600	Chr5D	3553643	3558815	+	3556229	Chr5D	3883708	3888880	+	3886294	1.0	1.0
gene:TraesCS5D03G0007700	Chr5D	3560879	3562605	-	3561742	Chr5D	3890944	3892670	-	3891807	1.0	1.0
gene:TraesCS5D03G0007800	Chr5D	3566317	3566982	+	3566649	Chr5D	3896382	3897047	+	3896714	1.0	1.0
gene:TraesCS5D03G0007900	Chr5D	3568816	3570710	-	3569763	Chr5D	3898881	3900775	-	3899828	1.0	1.0
gene:TraesCS5D03G0008000	Chr5D	3579222	3582239	-	3580730	Chr5D	3909286	3912303	-	3910794	1.0	1.0
gene:TraesCS5D03G0008100	Chr5D	3584251	3584745	+	3584498	Chr5D	3914315	3914809	+	3914562	1.0	1.0
gene:TraesCS5D03G0008300	Chr5D	3604593	3605039	+	3604816	Chr5D	3934661	3935107	+	3934884	1.0	1.0
gene:TraesCS5D03G0008400	Chr5D	3608804	3611113	-	3609958	Chr5D	3938872	3941181	-	3940026	1.0	1.0
gene:TraesCS5D03G0008600	Chr5D	3622739	3623188	+	3622963	Chr5D	3952807	3953256	+	3953031	1.0	0.997
gene:TraesCS5D03G0008900	Chr5D	3646131	3647699	+	3646915	Chr5D	3976170	3977738	+	3976954	1.0	0.998
gene:TraesCS5D03G0009200	Chr5D	3649092	3650582	+	3649837	Chr5D	3979131	3980621	+	3979876	1.0	1.0
gene:TraesCS5D03G0009100	Chr5D	3649059	3653270	-	3651164	Chr5D	3979098	3983309	-	3981203	1.0	1.0
gene:TraesCS5D03G0009400	Chr5D	3672490	3674058	-	3673274	Chr5D	4002530	4004098	-	4003314	1.0	0.999
gene:TraesCS5D03G0009800	Chr5D	3763968	3767732	-	3765850	Chr5D	4093874	4097638	-	4095756	1.0	1.0
gene:TraesCS5D03G0009900	Chr5D	3777701	3780330	+	3779015	Chr5D	4107607	4110236	+	4108921	1.0	1.0
gene:TraesCS5D03G0010200	Chr5D	4128339	4134929	+	4131634	Chr5D	4449311	4455901	+	4452606	1.0	1.0
gene:TraesCS5D03G0010300	Chr5D	4138928	4139406	+	4139167	Chr5D	4459900	4460378	+	4460139	1.0	1.0
gene:TraesCS5D03G0010400	Chr5D	4139960	4143802	+	4141881	Chr5D	4460932	4464774	+	4462853	1.0	1.0
gene:TraesCS5D03G0010500	Chr5D	4143972	4149511	-	4146741	Chr5D	4464944	4470483	-	4467713	1.0	1.0
gene:TraesCS5D03G0010700	Chr5D	4214914	4215624	+	4215269	Chr5D	4535886	4536596	+	4536241	1.0	1.0
gene:TraesCS5D03G0010800	Chr5D	4236946	4237494	+	4237220	Chr5D	4557937	4558485	+	4558211	1.0	1.0
gene:TraesCS5D03G0010900	Chr5D	4321657	4325110	+	4323383	Chr5D	4642639	4646092	+	4644365	1.0	1.0
gene:TraesCS5D03G0011400	Chr5D	4601728	4604250	+	4602989	Chr5D	4927114	4929636	+	4928375	1.0	1.0
gene:TraesCS5D03G0011500	Chr5D	4657637	4660576	+	4659106	Chr5D	4983020	4985959	+	4984489	1.0	1.0
gene:TraesCS5D03G0011600	Chr5D	4661997	4662533	+	4662265	Chr5D	4987372	4987908	+	4987640	1.0	1.0
