cs_chr	cs_start	cs_end	Cadenza_v2_tgt_chr	Cadenza_v2_tgt_start	Cadenza_v2_tgt_end	n_anchors	mean_identity
Chr7B	311571913	321770729	Chr7B	318116149	327898432	19	0.9998421052631581
Chr7B	324796789	326779654	Chr7B	315381985	317258004	5	0.9996
Chr7B	343118388	344172727	Chr7B	367787330	368826885	5	0.9975999999999999
Chr7B	34602	183070778	Chr7B	37880	183306168	1340	0.9960626865671641
Chr7B	185568431	293144785	Chr7B	185755235	293134923	410	0.9983292682926829
Chr7B	295582888	302102253	Chr7B	295553928	302066558	11	0.9997272727272729
Chr7B	304354198	309173262	Chr7B	304246270	309033067	8	0.999625
Chr7B	327149605	342648507	Chr7B	328855260	344476324	33	0.9998181818181818
Chr7B	362128535	366676555	Chr7B	362237252	366762822	8	1.0
Chr7B	368970531	393308791	Chr7B	369117573	394305993	123	0.9986097560975611
Chr7B	396179589	410599513	Chr7B	397170758	410557070	51	0.9997843137254903
Chr7B	413179671	423778078	Chr7B	413132719	423687567	45	0.9992
Chr7B	425791676	545780843	Chr7B	425669030	546998705	783	0.9993601532567049
Chr7B	547795684	758715791	Chr7B	548994643	762041742	1578	0.9938612167300381
Chr7B	762369186	763847696	Chr7B	764477758	766806500	23	0.9764782608695652
Chr7B	679329826	679703918	Chr7B	672585045	672977066	6	0.9996666666666667
Chr7B	756312970	756980467	Chr7B	760856803	761895328	7	0.9747142857142858
