cs_chr	cs_start	cs_end	Cadenza_v2_tgt_chr	Cadenza_v2_tgt_start	Cadenza_v2_tgt_end	n_anchors	mean_identity
Chr3A	28273	140281429	Chr3A	1059279	138875319	1407	0.9959466950959488
Chr3A	142385461	192745740	Chr3A	140974200	190857925	217	0.9984976958525346
Chr3A	195861474	263087799	Chr3A	193961485	261659936	205	0.999380487804878
Chr3A	270762150	278734659	Chr3A	269247612	277360910	12	0.9976666666666668
Chr3A	280899243	284859700	Chr3A	279528545	283436041	6	0.9996666666666667
Chr3A	286968946	294756278	Chr3A	285560830	293309686	7	0.9998571428571428
Chr3A	300173801	305236714	Chr3A	299390192	304409192	6	0.989
Chr3A	307569651	328087198	Chr3A	306748588	327177894	26	0.9995769230769231
Chr3A	331805909	349096037	Chr3A	334174366	351370463	30	0.9990666666666667
Chr3A	351562540	354510700	Chr3A	353769448	356703325	8	0.9995
Chr3A	357146906	360275758	Chr3A	359336934	362459479	6	0.9998333333333335
Chr3A	362401176	754027567	Chr3A	364564387	758287304	3076	0.9970952535760726
