cs_chr	cs_start	cs_end	Cadenza_v2_tgt_chr	Cadenza_v2_tgt_start	Cadenza_v2_tgt_end	n_anchors	mean_identity
Chr5A	238592814	240640429	Chr5A	261855346	263896466	14	0.9995714285714286
Chr5A	242380439	244024934	Chr5A	258462047	260114917	7	0.9995714285714286
Chr5A	216209	62409843	Chr5A	142355	66095987	539	0.9945992578849723
Chr5A	65256920	152899436	Chr5A	68946434	156990652	399	0.9967919799498748
Chr5A	156754150	160718182	Chr5A	160840898	164974856	13	0.9996923076923075
Chr5A	163084098	182449906	Chr5A	167325810	186374268	37	0.9998378378378379
Chr5A	184871905	187078746	Chr5A	188789671	190989713	4	1.0
Chr5A	192446609	200581324	Chr5A	196295810	204399754	16	0.998875
Chr5A	204816399	224020772	Chr5A	208658661	227821997	33	0.9996969696969698
Chr5A	226098410	238494644	Chr5A	229896542	243186130	28	0.9998214285714286
Chr5A	247013515	251028605	Chr5A	249818636	255503106	9	1.0
Chr5A	259606122	428812755	Chr5A	264463281	432922310	899	0.9984338153503894
Chr5A	431918117	713328361	Chr5A	433217364	717027898	3251	0.9965127653029837
