cs_chr	cs_start	cs_end	Cadenza_v2_tgt_chr	Cadenza_v2_tgt_start	Cadenza_v2_tgt_end	n_anchors	mean_identity
Chr2A	254644	245450318	Chr2A	257800	244699641	2147	0.9960512342803912
Chr2A	253743190	256655987	Chr2A	252989449	255882066	6	0.9996666666666667
Chr2A	260439994	262863052	Chr2A	259668569	262113548	8	0.9998750000000001
Chr2A	265047681	267066623	Chr2A	264290543	266304151	7	0.9997142857142858
Chr2A	269745498	277781081	Chr2A	268954183	277390361	16	0.9991875
Chr2A	279829079	286214975	Chr2A	279418341	285773149	23	0.999608695652174
Chr2A	288400047	290885926	Chr2A	287940977	290424378	5	0.999
Chr2A	309258986	310989480	Chr2A	313696486	315414515	5	0.9994
Chr2A	334562095	339023104	Chr2A	335579718	339999084	9	0.9993333333333333
Chr2A	344692562	366697851	Chr2A	347112301	369518079	34	0.9997058823529412
Chr2A	368718225	399870506	Chr2A	371508388	401990872	101	0.9969702970297029
Chr2A	404353227	404860525	Chr2A	406484024	406962117	4	0.99525
Chr2A	409607272	490304153	Chr2A	411704559	492696889	272	0.9971691176470588
Chr2A	492634434	551591979	Chr2A	495004904	553589539	315	0.9966507936507937
Chr2A	553651491	787195035	Chr2A	555650021	794730463	2550	0.9958376470588235
