gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Cadenza_v2_tgt_chr	Cadenza_v2_tgt_start	Cadenza_v2_tgt_end	Cadenza_v2_tgt_strand	Cadenza_v2_tgt_midpoint	Cadenza_v2_coverage	Cadenza_v2_identity
gene:TraesCS1A03G0000200	Chr1A	40098	70338	-	55218	Chr1A	22284	64896	-	43590	0.999	0.976
gene:TraesCS1A03G0000400	Chr1A	70239	89245	+	79742	Chr1A	64797	83762	+	74279	1.0	1.0
gene:TraesCS1A03G0000600	Chr1A	95906	104903	+	100404	Chr1A	90202	99127	+	94664	1.0	1.0
gene:TraesCS1A03G0001000	Chr1A	149490	154559	-	152024	Chr1A	142821	147890	-	145355	1.0	1.0
gene:TraesCS1A03G0001200	Chr1A	162313	162609	+	162461	Chr1A	155644	155940	+	155792	1.0	1.0
gene:TraesCS1A03G0001300	Chr1A	169592	169969	-	169780	Chr1A	162367	162744	-	162555	1.0	0.996
gene:TraesCS1A03G0001400	Chr1A	180175	180552	-	180363	Chr1A	172612	172989	-	172800	1.0	0.997
gene:TraesCS1A03G0001500	Chr1A	233818	245051	+	239434	Chr1A	224874	235864	+	230369	1.0	0.999
gene:TraesCS1A03G0001800	Chr1A	270605	272936	-	271770	Chr1A	260146	262477	-	261311	1.0	0.999
gene:TraesCS1A03G0001700	Chr1A	269472	289602	-	279537	Chr1A	259013	278899	-	268956	1.0	0.998
gene:TraesCS1A03G0002100	Chr1A	287697	287957	+	287827	Chr1A	276994	277254	+	277124	1.0	1.0
gene:TraesCS1A03G0002400	Chr1A	297266	297652	+	297459	Chr1A	286414	286800	+	286607	1.0	1.0
gene:TraesCS1A03G0002200	Chr1A	294611	305428	-	300019	Chr1A	22432	33157	+	27794	0.992	0.961
gene:TraesCS1A03G0002800	Chr1A	326099	326518	+	326308	Chr1A	313345	313764	+	313554	1.0	1.0
gene:TraesCS1A03G0002900	Chr1A	337960	338256	+	338108	Chr1A	325115	325411	+	325263	1.0	1.0
gene:TraesCS1A03G0003200	Chr1A	403455	403751	+	403603	Chr1A	395720	396016	+	395868	1.0	0.996
gene:TraesCS1A03G0004000	Chr1A	1142826	1144427	+	1143626	Chr1A	1132035	1133652	+	1132843	1.0	1.0
gene:TraesCS1A03G0004200	Chr1A	1157430	1161066	-	1159248	Chr1A	1146661	1150297	-	1148479	1.0	1.0
gene:TraesCS1A03G0004300	Chr1A	1161721	1166114	-	1163917	Chr1A	1150952	1155345	-	1153148	1.0	1.0
gene:TraesCS1A03G0004400	Chr1A	1168201	1175228	+	1171714	Chr1A	1157434	1164461	+	1160947	1.0	1.0
gene:TraesCS1A03G0004500	Chr1A	1186689	1188709	+	1187699	Chr1A	1175648	1177668	+	1176658	1.0	1.0
gene:TraesCS1A03G0004900	Chr1A	1207566	1210657	-	1209111	Chr1A	1195945	1199036	-	1197490	1.0	1.0
