gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Cadenza_v2_tgt_chr	Cadenza_v2_tgt_start	Cadenza_v2_tgt_end	Cadenza_v2_tgt_strand	Cadenza_v2_tgt_midpoint	Cadenza_v2_coverage	Cadenza_v2_identity	segment
gene:TraesCS5B03G0002900	Chr5B	2118597	2118959	-	2118778	Chr5B	2201656	2202018	-	2201837	1.0	1.0	rearrangement:Chr5B_block1
gene:TraesCS5B03G0003000	Chr5B	2119731	2120270	+	2120000	Chr5B	2202790	2203329	+	2203059	1.0	1.0	rearrangement:Chr5B_block1
gene:TraesCS5B03G0003200	Chr5B	2256442	2262369	+	2259405	Chr5B	2339471	2345398	+	2342434	1.0	1.0	rearrangement:Chr5B_block1
gene:TraesCS5B03G0003500	Chr5B	2311597	2312335	+	2311966	Chr5B	2394620	2395358	+	2394989	1.0	1.0	rearrangement:Chr5B_block1
gene:TraesCS5B03G0003700	Chr5B	2316821	2328979	+	2322900	Chr5B	2414786	2426938	+	2420862	1.0	1.0	rearrangement:Chr5B_block1
gene:TraesCS5B03G0003800	Chr5B	2702541	2703727	-	2703134	Chr5B	2799276	2800462	-	2799869	1.0	1.0	rearrangement:Chr5B_block1
gene:TraesCS5B03G0003900	Chr5B	2728736	2729284	+	2729010	Chr5B	2825485	2826033	+	2825759	1.0	1.0	rearrangement:Chr5B_block1
gene:TraesCS5B03G0004100	Chr5B	3293517	3295022	-	3294269	Chr5B	3418205	3419710	-	3418957	1.0	1.0	rearrangement:Chr5B_block1
gene:TraesCS5B03G0004200	Chr5B	3371571	3373018	-	3372294	Chr5B	3495411	3496858	-	3496134	1.0	1.0	rearrangement:Chr5B_block1
gene:TraesCS5B03G0004400	Chr5B	3564118	3565596	+	3564857	Chr5B	3687537	3689015	+	3688276	1.0	1.0	rearrangement:Chr5B_block1
gene:TraesCS5B03G0004500	Chr5B	3593228	3597197	-	3595212	Chr5B	3716322	3720291	-	3718306	1.0	1.0	rearrangement:Chr5B_block1
gene:TraesCS5B03G0004600	Chr5B	3603885	3607681	+	3605783	Chr5B	3726981	3730777	+	3728879	1.0	1.0	rearrangement:Chr5B_block1
gene:TraesCS5B03G0004700	Chr5B	3614607	3619532	+	3617069	Chr5B	3737703	3742456	+	3740079	1.0	0.999	rearrangement:Chr5B_block1
gene:TraesCS5B03G0004800	Chr5B	4221282	4227412	-	4224347	Chr5B	5153795	5159934	-	5156864	1.0	1.0	rearrangement:Chr5B_block2
gene:TraesCS5B03G0005300	Chr5B	4269528	4272513	-	4271020	Chr5B	5202059	5205044	-	5203551	1.0	1.0	rearrangement:Chr5B_block2
gene:TraesCS5B03G0005500	Chr5B	4505697	4508188	+	4506942	Chr5B	5614265	5616756	+	5615510	1.0	0.999	rearrangement:Chr5B_block2
