cs_chr	cs_start	cs_end	Cadenza_v2_tgt_chr	Cadenza_v2_tgt_start	Cadenza_v2_tgt_end	n_anchors	mean_identity
Chr1A	55218	161541694	Chr1A	27794	161465831	1198	0.9964098497495827
Chr1A	163678239	179426534	Chr1A	163636723	179379465	31	0.9990967741935485
Chr1A	181647298	184244993	Chr1A	181476199	184050394	6	0.9971666666666666
Chr1A	187212146	195578524	Chr1A	187021700	195424810	11	0.9997272727272727
Chr1A	202719482	204217307	Chr1A	202599865	204089072	5	0.9987999999999999
Chr1A	206439950	211446295	Chr1A	206308056	211291412	8	0.9998750000000001
Chr1A	214015968	411777219	Chr1A	213800583	416887535	917	0.9964427480916032
Chr1A	414061309	422384517	Chr1A	419258563	427963986	23	0.9965652173913043
Chr1A	425019660	549266979	Chr1A	429773258	553353918	1240	0.9954943548387097
Chr1A	559471312	564322974	Chr1A	564812789	569546825	65	0.9940615384615386
Chr1A	575760323	598556974	Chr1A	580014715	602768325	316	0.9950474683544304
Chr1A	549620859	559437140	Chr1A	569576819	579731598	165	0.9953212121212122
