cs_chr	cs_start	cs_end	Cadenza_v2_tgt_chr	Cadenza_v2_tgt_start	Cadenza_v2_tgt_end	n_anchors	mean_identity
Chr6B	138761	109698670	Chr6B	396652	110242184	1023	0.9934760508308894
Chr6B	112200748	114854793	Chr6B	112752243	115414804	7	0.9995714285714286
Chr6B	117450833	159369487	Chr6B	119084743	160472378	305	0.9931934426229507
Chr6B	161614691	246426312	Chr6B	161508713	248514216	459	0.9953747276688452
Chr6B	249274084	256302862	Chr6B	251483371	257955851	22	0.9946363636363637
Chr6B	264286668	264526378	Chr6B	263305059	263523952	3	0.997
Chr6B	312885387	313271828	Chr6B	313070945	313549868	6	0.9988333333333334
Chr6B	315779163	319319827	Chr6B	319608758	323557670	7	0.9984285714285714
Chr6B	325667537	327439454	Chr6B	326948931	328874193	9	0.9976666666666668
Chr6B	348550830	349949438	Chr6B	355063377	356381503	5	0.9960000000000001
Chr6B	378204009	381551074	Chr6B	383249146	386665225	5	0.9986
Chr6B	410641112	432650099	Chr6B	418470313	440279094	56	0.9971071428571429
Chr6B	438515907	449326149	Chr6B	441102988	453648763	51	0.998764705882353
Chr6B	452819490	486984757	Chr6B	457127832	495521529	173	0.9955375722543353
Chr6B	504001619	508155265	Chr6B	511778935	517117179	20	0.9994500000000001
Chr6B	524252260	629148387	Chr6B	534534290	641238765	640	0.9973531250000001
Chr6B	631157333	635284956	Chr6B	643169027	647199665	33	0.9934545454545454
Chr6B	638657051	731065543	Chr6B	649698181	744307207	948	0.99035970464135
