gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Cadenza_v2_tgt_chr	Cadenza_v2_tgt_start	Cadenza_v2_tgt_end	Cadenza_v2_tgt_strand	Cadenza_v2_tgt_midpoint	Cadenza_v2_coverage	Cadenza_v2_identity	segment
gene:TraesCS7B03G0000100	Chr7B	32670	36534	-	34602	Chr7B	35948	39812	-	37880	1.0	1.0	collinear
gene:TraesCS7B03G0000200	Chr7B	43049	50894	-	46971	Chr7B	46327	54178	-	50252	1.0	0.999	collinear
gene:TraesCS7B03G0001000	Chr7B	112378	114411	+	113394	Chr7B	115845	117878	+	116861	1.0	0.999	collinear
gene:TraesCS7B03G0001100	Chr7B	114526	119198	-	116862	Chr7B	117993	122665	-	120329	1.0	1.0	collinear
gene:TraesCS7B03G0001200	Chr7B	120206	121471	+	120838	Chr7B	123675	124940	+	124307	1.0	1.0	collinear
gene:TraesCS7B03G0001400	Chr7B	220254	222718	+	221486	Chr7B	223615	225773	+	224694	1.0	1.0	collinear
gene:TraesCS7B03G0001700	Chr7B	226968	228067	+	227517	Chr7B	230022	231121	+	230571	1.0	1.0	collinear
gene:TraesCS7B03G0001800	Chr7B	228482	229120	+	228801	Chr7B	231536	232174	+	231855	1.0	1.0	collinear
gene:TraesCS7B03G0002000	Chr7B	255136	257184	+	256160	Chr7B	257926	259824	+	258875	0.925	0.914	collinear
gene:TraesCS7B03G0002100	Chr7B	259041	260824	+	259932	Chr7B	261679	263462	+	262570	1.0	1.0	collinear
gene:TraesCS7B03G0002200	Chr7B	261777	263347	+	262562	Chr7B	264415	265985	+	265200	1.0	1.0	collinear
gene:TraesCS7B03G0002400	Chr7B	265308	267721	-	266514	Chr7B	267968	270381	-	269174	1.0	1.0	collinear
gene:TraesCS7B03G0002500	Chr7B	285039	290255	+	287647	Chr7B	287626	292842	+	290234	1.0	1.0	collinear
gene:TraesCS7B03G0002600	Chr7B	419319	423404	+	421361	Chr7B	421571	425656	+	423613	1.0	1.0	collinear
gene:TraesCS7B03G0002900	Chr7B	423793	429194	-	426493	Chr7B	426045	431446	-	428745	1.0	1.0	collinear
gene:TraesCS7B03G0003100	Chr7B	600800	604303	+	602551	Chr7B	602585	606091	+	604338	1.0	0.998	collinear
gene:TraesCS7B03G0003300	Chr7B	637875	639698	+	638786	Chr7B	639659	641482	+	640570	1.0	1.0	collinear
gene:TraesCS7B03G0003400	Chr7B	669783	670485	-	670134	Chr7B	671171	671873	-	671522	1.0	1.0	collinear
