gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Cadenza_v2_tgt_chr	Cadenza_v2_tgt_start	Cadenza_v2_tgt_end	Cadenza_v2_tgt_strand	Cadenza_v2_tgt_midpoint	Cadenza_v2_coverage	Cadenza_v2_identity	segment
gene:TraesCS3B03G0031900	Chr3B	10984123	10991077	+	10987600	Chr3B	3687611	3694576	+	3691093	0.999	0.997	rearrangement:Chr3B_block1
gene:TraesCS3B03G0033000	Chr3B	11047699	11048402	-	11048050	Chr3B	3737338	3738041	-	3737689	1.0	0.998	rearrangement:Chr3B_block1
gene:TraesCS3B03G0033200	Chr3B	11064590	11065892	-	11065241	Chr3B	3760506	3761822	-	3761164	0.996	0.964	rearrangement:Chr3B_block1
gene:TraesCS3B03G0034500	Chr3B	11323937	11324951	+	11324444	Chr3B	4067299	4068315	+	4067807	0.996	0.984	rearrangement:Chr3B_block1
gene:TraesCS3B03G0034700	Chr3B	11336624	11338440	-	11337532	Chr3B	4079390	4081205	-	4080297	1.0	0.998	rearrangement:Chr3B_block1
gene:TraesCS3B03G0034800	Chr3B	11342223	11343646	-	11342934	Chr3B	4084988	4086411	-	4085699	1.0	0.999	rearrangement:Chr3B_block1
gene:TraesCS3B03G0000600	Chr3B	239266	241105	+	240185	Chr3B	138830	140683	+	139756	0.994	0.967	collinear
gene:TraesCS3B03G0000700	Chr3B	244156	244849	+	244502	Chr3B	143733	144426	+	144079	1.0	0.989	collinear
gene:TraesCS3B03G0000900	Chr3B	268852	271443	-	270147	Chr3B	170556	173120	-	171838	0.976	0.948	collinear
gene:TraesCS3B03G0001400	Chr3B	424653	427478	-	426065	Chr3B	264834	267606	+	266220	0.964	0.931	collinear
gene:TraesCS3B03G0002300	Chr3B	613726	615867	+	614796	Chr3B	468649	470788	+	469718	0.986	0.959	collinear
gene:TraesCS3B03G0002800	Chr3B	855999	856555	+	856277	Chr3B	606063	606629	+	606346	0.994	0.947	collinear
gene:TraesCS3B03G0004300	Chr3B	1602640	1607005	+	1604822	Chr3B	1400295	1404682	+	1402488	1.0	0.997	collinear
gene:TraesCS3B03G0004400	Chr3B	1638604	1641896	-	1640250	Chr3B	1435718	1439011	-	1437364	1.0	1.0	collinear
gene:TraesCS3B03G0004600	Chr3B	1708407	1711540	-	1709973	Chr3B	1504541	1507674	-	1506107	1.0	0.999	collinear
gene:TraesCS3B03G0004800	Chr3B	1754066	1758349	-	1756207	Chr3B	1549536	1553819	-	1551677	1.0	1.0	collinear
gene:TraesCS3B03G0004900	Chr3B	1761903	1763502	+	1762702	Chr3B	1557409	1559007	+	1558208	1.0	1.0	collinear
gene:TraesCS3B03G0005100	Chr3B	2229591	2231019	+	2230305	Chr3B	2023330	2024758	+	2024044	1.0	1.0	collinear
