gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Cadenza_v2_tgt_chr	Cadenza_v2_tgt_start	Cadenza_v2_tgt_end	Cadenza_v2_tgt_strand	Cadenza_v2_tgt_midpoint	Cadenza_v2_coverage	Cadenza_v2_identity
gene:TraesCS6B03G0000500	Chr6B	137372	140150	-	138761	Chr6B	395262	398042	-	396652	0.993	0.976
gene:TraesCS6B03G0000700	Chr6B	140235	142046	-	141140	Chr6B	398128	400033	-	399080	0.995	0.942
gene:TraesCS6B03G0001400	Chr6B	303846	304801	+	304323	Chr6B	4343340	4344295	+	4343817	1.0	0.949
gene:TraesCS6B03G0002500	Chr6B	746313	747823	-	747068	Chr6B	685259	686769	-	686014	1.0	0.984
gene:TraesCS6B03G0002600	Chr6B	800270	802828	-	801549	Chr6B	2966058	2968616	-	2967337	1.0	0.988
gene:TraesCS6B03G0002700	Chr6B	858141	859548	+	858844	Chr6B	3028992	3030394	+	3029693	1.0	0.915
gene:TraesCS6B03G0003800	Chr6B	1126724	1127689	-	1127206	Chr6B	3443251	3444214	+	3443732	0.997	0.904
gene:TraesCS6B03G0004500	Chr6B	1356705	1358539	+	1357622	Chr6B	2652802	2654643	+	2653722	1.0	0.989
gene:TraesCS6B03G0004800	Chr6B	1449770	1452891	-	1451330	Chr6B	2739631	2742754	-	2741192	1.0	0.994
gene:TraesCS6B03G0004900	Chr6B	1463243	1464019	+	1463631	Chr6B	2753476	2754252	+	2753864	1.0	0.992
gene:TraesCS6B03G0006600	Chr6B	1918826	1930684	+	1924755	Chr6B	3768457	3780283	+	3774370	1.0	0.992
gene:TraesCS6B03G0006900	Chr6B	1960140	1964803	+	1962471	Chr6B	3809762	3814391	+	3812076	0.999	0.995
gene:TraesCS6B03G0007000	Chr6B	2097695	2158332	-	2128013	Chr6B	3947233	4008080	-	3977656	1.0	0.999
gene:TraesCS6B03G0007100	Chr6B	2163047	2165544	-	2164295	Chr6B	4013015	4015512	-	4014263	1.0	0.999
gene:TraesCS6B03G0007200	Chr6B	2258074	2311692	-	2284883	Chr6B	4154390	4214829	-	4184609	1.0	0.999
gene:TraesCS6B03G0007500	Chr6B	2396042	2397882	+	2396962	Chr6B	4278675	4280515	+	4279595	1.0	0.997
gene:TraesCS6B03G0008900	Chr6B	2844462	2845888	-	2845175	Chr6B	744437	745872	+	745154	0.999	0.908
gene:TraesCS6B03G0009100	Chr6B	2860011	2862961	-	2861486	Chr6B	3063617	3066711	+	3065164	0.973	0.905
gene:TraesCS6B03G0010200	Chr6B	3324499	3325296	+	3324897	Chr6B	2477581	2478377	+	2477979	0.998	0.972
gene:TraesCS6B03G0010600	Chr6B	3668366	3668803	-	3668584	Chr6B	1281418	1281855	-	1281636	1.0	0.984
gene:TraesCS6B03G0011500	Chr6B	4061981	4062939	+	4062460	Chr6B	4379125	4380080	+	4379602	1.0	0.948
gene:TraesCS6B03G0011600	Chr6B	4066472	4067398	+	4066935	Chr6B	4389497	4390423	+	4389960	1.0	0.987
gene:TraesCS6B03G0011900	Chr6B	4074231	4078635	-	4076433	Chr6B	4393983	4398394	-	4396188	1.0	1.0
gene:TraesCS6B03G0012000	Chr6B	4088101	4092324	+	4090212	Chr6B	4407681	4411907	+	4409794	1.0	0.995
gene:TraesCS6B03G0012100	Chr6B	4094308	4095305	-	4094806	Chr6B	4413883	4414872	-	4414377	0.99	0.947
