gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Cadenza_v2_tgt_chr	Cadenza_v2_tgt_start	Cadenza_v2_tgt_end	Cadenza_v2_tgt_strand	Cadenza_v2_tgt_midpoint	Cadenza_v2_coverage	Cadenza_v2_identity	segment
gene:TraesCS7D03G0052000	Chr7D	10866500	10871299	-	10868899	Chr7D	10006569	10012024	-	10009296	0.998	0.966	rearrangement:Chr7D_block1
gene:TraesCS7D03G0052300	Chr7D	10902680	10904162	-	10903421	Chr7D	10040878	10042363	-	10041620	0.995	0.983	rearrangement:Chr7D_block1
gene:TraesCS7D03G0052500	Chr7D	11019985	11021994	+	11020989	Chr7D	10092059	10094068	+	10093063	1.0	1.0	rearrangement:Chr7D_block1
gene:TraesCS7D03G0052600	Chr7D	11022566	11024797	+	11023681	Chr7D	10094640	10096871	+	10095755	1.0	1.0	rearrangement:Chr7D_block1
gene:TraesCS7D03G0052700	Chr7D	11024983	11025588	+	11025285	Chr7D	10097057	10097662	+	10097359	1.0	1.0	rearrangement:Chr7D_block1
gene:TraesCS7D03G0052800	Chr7D	11111603	11112606	+	11112104	Chr7D	10186566	10187569	+	10187067	1.0	1.0	rearrangement:Chr7D_block1
gene:TraesCS7D03G0052900	Chr7D	11117544	11119073	+	11118308	Chr7D	10192507	10194036	+	10193271	1.0	1.0	rearrangement:Chr7D_block1
gene:TraesCS7D03G0053500	Chr7D	11174031	11176281	-	11175156	Chr7D	10249261	10251511	-	10250386	1.0	1.0	rearrangement:Chr7D_block1
gene:TraesCS7D03G0053700	Chr7D	11266157	11267776	-	11266966	Chr7D	10341927	10343546	-	10342736	1.0	1.0	rearrangement:Chr7D_block1
gene:TraesCS7D03G0053800	Chr7D	11277143	11277790	-	11277466	Chr7D	10352913	10353560	-	10353236	1.0	1.0	rearrangement:Chr7D_block1
gene:TraesCS7D03G0053900	Chr7D	11323512	11328407	+	11325959	Chr7D	10398122	10403017	+	10400569	1.0	1.0	rearrangement:Chr7D_block1
gene:TraesCS7D03G0054000	Chr7D	11376382	11377575	+	11376978	Chr7D	10450916	10452109	+	10451512	1.0	1.0	rearrangement:Chr7D_block1
gene:TraesCS7D03G0054100	Chr7D	11379695	11382219	-	11380957	Chr7D	10454229	10456753	-	10455491	1.0	0.999	rearrangement:Chr7D_block1
gene:TraesCS7D03G0054200	Chr7D	11435436	11436531	-	11435983	Chr7D	10509963	10511058	-	10510510	1.0	1.0	rearrangement:Chr7D_block1
gene:TraesCS7D03G0054500	Chr7D	11569127	11570200	+	11569663	Chr7D	10643735	10644808	+	10644271	1.0	1.0	rearrangement:Chr7D_block1
gene:TraesCS7D03G0055000	Chr7D	11627497	11634848	-	11631172	Chr7D	10701903	10709254	-	10705578	1.0	1.0	rearrangement:Chr7D_block1
gene:TraesCS7D03G0055600	Chr7D	11725501	11727900	-	11726700	Chr7D	10799944	10802343	-	10801143	1.0	1.0	rearrangement:Chr7D_block1
gene:TraesCS7D03G0055700	Chr7D	11728834	11730683	-	11729758	Chr7D	10803277	10805126	-	10804201	1.0	1.0	rearrangement:Chr7D_block1
gene:TraesCS7D03G0055800	Chr7D	11731280	11736454	-	11733867	Chr7D	10805723	10810897	-	10808310	1.0	1.0	rearrangement:Chr7D_block1
gene:TraesCS7D03G0055900	Chr7D	11787653	11788291	-	11787972	Chr7D	10862081	10862719	-	10862400	1.0	1.0	rearrangement:Chr7D_block1
gene:TraesCS7D03G0056600	Chr7D	11905937	11909595	-	11907766	Chr7D	10980071	10983729	-	10981900	1.0	1.0	rearrangement:Chr7D_block1
gene:TraesCS7D03G0056700	Chr7D	11934965	11938985	+	11936975	Chr7D	11009100	11013120	+	11011110	1.0	1.0	rearrangement:Chr7D_block1
gene:TraesCS7D03G0056800	Chr7D	11942273	11943273	+	11942773	Chr7D	11016408	11017408	+	11016908	1.0	1.0	rearrangement:Chr7D_block1
gene:TraesCS7D03G0057000	Chr7D	11963187	11972341	+	11967764	Chr7D	11037323	11046477	+	11041900	1.0	1.0	rearrangement:Chr7D_block1
gene:TraesCS7D03G0057100	Chr7D	11973144	11977583	-	11975363	Chr7D	11047280	11051720	-	11049500	1.0	1.0	rearrangement:Chr7D_block1
gene:TraesCS7D03G0057300	Chr7D	12005583	12006702	-	12006142	Chr7D	11079724	11080843	-	11080283	1.0	0.999	rearrangement:Chr7D_block1
gene:TraesCS7D03G0057700	Chr7D	12026251	12027868	-	12027059	Chr7D	11100363	11101980	-	11101171	1.0	0.998	rearrangement:Chr7D_block1
gene:TraesCS7D03G0057900	Chr7D	12331422	12333890	-	12332656	Chr7D	11392008	11394476	-	11393242	1.0	0.999	rearrangement:Chr7D_block1
gene:TraesCS7D03G0000400	Chr7D	207994	212443	-	210218	Chr7D	418807	423256	-	421031	1.0	1.0	collinear
gene:TraesCS7D03G0000500	Chr7D	242065	245782	+	243923	Chr7D	452881	456598	+	454739	1.0	1.0	collinear
gene:TraesCS7D03G0000900	Chr7D	337014	337852	+	337433	Chr7D	547729	548567	+	548148	1.0	1.0	collinear
gene:TraesCS7D03G0001000	Chr7D	365927	369790	-	367858	Chr7D	575969	579833	-	577901	1.0	0.996	collinear
gene:TraesCS7D03G0001100	Chr7D	371892	373182	-	372537	Chr7D	581935	583225	-	582580	1.0	1.0	collinear
gene:TraesCS7D03G0001400	Chr7D	478186	482086	-	480136	Chr7D	688232	692132	-	690182	1.0	1.0	collinear
gene:TraesCS7D03G0001900	Chr7D	706058	709008	-	707533	Chr7D	918610	921561	-	920085	1.0	0.989	collinear
gene:TraesCS7D03G0002100	Chr7D	995282	1001481	-	998381	Chr7D	1207268	1213467	-	1210367	1.0	1.0	collinear
gene:TraesCS7D03G0002300	Chr7D	1028545	1032002	-	1030273	Chr7D	1240569	1244026	-	1242297	1.0	1.0	collinear
gene:TraesCS7D03G0002600	Chr7D	1089491	1090678	-	1090084	Chr7D	1301513	1302700	-	1302106	1.0	1.0	collinear
gene:TraesCS7D03G0002800	Chr7D	1101311	1104311	-	1102811	Chr7D	1313323	1316299	-	1314811	0.992	0.99	collinear
gene:TraesCS7D03G0002900	Chr7D	1138064	1151035	-	1144549	Chr7D	1350081	1363060	-	1356570	1.0	1.0	collinear
gene:TraesCS7D03G0003200	Chr7D	1197663	1199279	-	1198471	Chr7D	1409653	1411269	-	1410461	1.0	1.0	collinear
gene:TraesCS7D03G0003900	Chr7D	1268276	1269780	-	1269028	Chr7D	1480247	1481751	-	1480999	1.0	1.0	collinear
gene:TraesCS7D03G0004000	Chr7D	1270782	1275797	-	1273289	Chr7D	1482753	1487776	-	1485264	1.0	1.0	collinear
gene:TraesCS7D03G0004300	Chr7D	1318295	1332709	+	1325502	Chr7D	1530290	1544723	+	1537506	1.0	1.0	collinear
