gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Cadenza_v2_tgt_chr	Cadenza_v2_tgt_start	Cadenza_v2_tgt_end	Cadenza_v2_tgt_strand	Cadenza_v2_tgt_midpoint	Cadenza_v2_coverage	Cadenza_v2_identity
gene:TraesCS4D03G0000100	Chr4D	409970	411319	-	410644	Chr4D	229087	230436	-	229761	1.0	1.0
gene:TraesCS4D03G0000200	Chr4D	459723	463379	+	461551	Chr4D	278858	282514	+	280686	1.0	1.0
gene:TraesCS4D03G0000300	Chr4D	463559	465496	-	464527	Chr4D	282694	284631	-	283662	1.0	1.0
gene:TraesCS4D03G0000500	Chr4D	465900	467545	-	466722	Chr4D	285035	286683	-	285859	1.0	1.0
gene:TraesCS4D03G0000700	Chr4D	475371	480193	+	477782	Chr4D	294499	298961	+	296730	1.0	1.0
gene:TraesCS4D03G0000800	Chr4D	536039	548069	+	542054	Chr4D	354598	366628	+	360613	1.0	1.0
gene:TraesCS4D03G0000900	Chr4D	603219	607023	-	605121	Chr4D	421807	425611	-	423709	1.0	1.0
gene:TraesCS4D03G0001000	Chr4D	607335	608738	+	608036	Chr4D	425923	427326	+	426624	1.0	1.0
gene:TraesCS4D03G0001200	Chr4D	610012	615059	-	612535	Chr4D	428600	433646	-	431123	0.999	0.999
gene:TraesCS4D03G0001300	Chr4D	624082	627372	+	625727	Chr4D	442684	445974	+	444329	1.0	1.0
gene:TraesCS4D03G0001400	Chr4D	658413	659236	+	658824	Chr4D	476696	477519	+	477107	1.0	1.0
gene:TraesCS4D03G0001700	Chr4D	734129	734515	+	734322	Chr4D	551164	551550	+	551357	1.0	1.0
gene:TraesCS4D03G0001800	Chr4D	757227	759482	-	758354	Chr4D	573287	575542	-	574414	1.0	1.0
gene:TraesCS4D03G0002200	Chr4D	1179628	1183031	+	1181329	Chr4D	984741	988144	+	986442	1.0	0.999
gene:TraesCS4D03G0002300	Chr4D	1192267	1194439	+	1193353	Chr4D	997373	999545	+	998459	1.0	1.0
gene:TraesCS4D03G0002500	Chr4D	1196998	1198699	-	1197848	Chr4D	1002104	1003807	-	1002955	1.0	1.0
gene:TraesCS4D03G0002600	Chr4D	1200365	1201407	+	1200886	Chr4D	1005473	1006515	+	1005994	1.0	1.0
