cs_chr	cs_start	cs_end	Cadenza_v2_tgt_chr	Cadenza_v2_tgt_start	Cadenza_v2_tgt_end	n_anchors	mean_identity
Chr5B	2118778	3617069	Chr5B	2201837	3740079	13	0.9999230769230769
Chr5B	4224347	5592378	Chr5B	5156864	7648696	11	0.999909090909091
Chr5B	6276500	13814490	Chr5B	11984547	20871573	104	0.9971538461538463
Chr5B	18593	1406205	Chr5B	9493412	10677208	11	0.999909090909091
Chr5B	13899711	150623157	Chr5B	21488775	165188542	858	0.9957435897435897
Chr5B	153027140	156551532	Chr5B	167553593	172572513	8	0.9984999999999999
Chr5B	158568371	169148558	Chr5B	174346714	184785247	18	0.9979999999999999
Chr5B	193712534	194129805	Chr5B	210951903	211379895	3	0.9986666666666667
Chr5B	206755345	211468188	Chr5B	222373742	227096035	10	0.9986
Chr5B	222313523	239465934	Chr5B	242675813	260158039	70	0.9941142857142856
Chr5B	241488361	344742710	Chr5B	261966720	365331687	576	0.9977881944444444
Chr5B	346985936	386215007	Chr5B	367554134	406758742	214	0.9974672897196262
Chr5B	389314561	415604247	Chr5B	407046700	435379017	199	0.9971206030150752
Chr5B	417734794	714671459	Chr5B	436672260	737939891	3067	0.994165634170199
