cs_chr	cs_start	cs_end	Cadenza_v2_tgt_chr	Cadenza_v2_tgt_start	Cadenza_v2_tgt_end	n_anchors	mean_identity
Chr6A	119203	165560133	Chr6A	192060	164159323	1514	0.9955204755614264
Chr6A	169123596	174751019	Chr6A	167700748	173351489	30	0.9996333333333336
Chr6A	177010402	237636332	Chr6A	175608866	235761040	204	0.9992598039215684
Chr6A	243810148	244731119	Chr6A	241916076	242832371	3	1.0
Chr6A	251103689	255370132	Chr6A	249250688	253510280	8	1.0
Chr6A	257566273	264313435	Chr6A	255716506	262462207	21	0.999809523809524
Chr6A	266482395	275860435	Chr6A	264631231	274137022	22	0.9998636363636364
Chr6A	278883582	290338890	Chr6A	277844348	289184762	15	0.9997333333333334
Chr6A	293863739	319731587	Chr6A	292597237	319390004	28	0.9997142857142858
Chr6A	323819925	326827584	Chr6A	323463084	326430336	8	0.9995
Chr6A	328915123	332571498	Chr6A	328512105	332160893	6	1.0
Chr6A	334687288	346665213	Chr6A	334284874	346205461	16	0.9996875
Chr6A	349035941	349057392	Chr6A	348579389	348600840	3	1.0
Chr6A	354380382	355885891	Chr6A	353923580	355425729	4	0.99775
Chr6A	357954045	528717530	Chr6A	357477865	527380440	863	0.9988389339513326
Chr6A	531116343	622584375	Chr6A	529776896	622151222	1174	0.995892674616695
