gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Cadenza_v2_tgt_chr	Cadenza_v2_tgt_start	Cadenza_v2_tgt_end	Cadenza_v2_tgt_strand	Cadenza_v2_tgt_midpoint	Cadenza_v2_coverage	Cadenza_v2_identity
gene:TraesCS1D03G0000100	Chr1D	20638	21773	+	21205	Chr1D	99399	100534	+	99966	1.0	1.0
gene:TraesCS1D03G0000300	Chr1D	29025	30863	+	29944	Chr1D	107786	109624	+	108705	1.0	1.0
gene:TraesCS1D03G0000400	Chr1D	31231	35151	-	33191	Chr1D	109992	113912	-	111952	1.0	0.999
gene:TraesCS1D03G0000500	Chr1D	35595	39094	-	37344	Chr1D	114356	117988	-	116172	1.0	1.0
gene:TraesCS1D03G0000600	Chr1D	42073	49239	+	45656	Chr1D	121052	128218	+	124635	1.0	1.0
gene:TraesCS1D03G0000800	Chr1D	55880	57669	+	56774	Chr1D	134861	136650	+	135755	1.0	1.0
gene:TraesCS1D03G0001000	Chr1D	62405	66535	+	64470	Chr1D	141392	145522	+	143457	1.0	1.0
gene:TraesCS1D03G0001100	Chr1D	66949	69971	-	68460	Chr1D	145936	148958	-	147447	1.0	1.0
gene:TraesCS1D03G0001300	Chr1D	73080	76040	-	74560	Chr1D	152047	155006	-	153526	1.0	1.0
gene:TraesCS1D03G0001400	Chr1D	78627	81289	-	79958	Chr1D	157593	160255	-	158924	1.0	1.0
gene:TraesCS1D03G0001500	Chr1D	92853	98829	-	95841	Chr1D	171841	177817	-	174829	1.0	1.0
gene:TraesCS1D03G0001600	Chr1D	117511	120788	+	119149	Chr1D	196505	199782	+	198143	1.0	1.0
gene:TraesCS1D03G0001800	Chr1D	171475	183229	-	177352	Chr1D	250505	262278	-	256391	1.0	1.0
gene:TraesCS1D03G0002300	Chr1D	387049	399494	-	393271	Chr1D	465483	477937	-	471710	1.0	1.0
gene:TraesCS1D03G0002400	Chr1D	409650	411707	-	410678	Chr1D	488092	490149	-	489120	1.0	1.0
gene:TraesCS1D03G0002600	Chr1D	418798	422767	-	420782	Chr1D	497240	501209	-	499224	1.0	1.0
gene:TraesCS1D03G0002800	Chr1D	432621	439371	+	435996	Chr1D	509420	516173	+	512796	1.0	0.988
gene:TraesCS1D03G0002900	Chr1D	444052	448470	-	446261	Chr1D	520662	525151	-	522906	0.999	0.974
gene:TraesCS1D03G0003000	Chr1D	454345	457932	+	456138	Chr1D	565872	567393	+	566632	0.938	0.935
gene:TraesCS1D03G0003200	Chr1D	465036	466154	-	465595	Chr1D	574950	576068	-	575509	1.0	0.997
gene:TraesCS1D03G0003300	Chr1D	588197	590502	-	589349	Chr1D	757373	759616	-	758494	0.993	0.978
gene:TraesCS1D03G0003500	Chr1D	670994	672152	+	671573	Chr1D	829564	830724	+	830144	1.0	0.993
gene:TraesCS1D03G0004700	Chr1D	885654	889258	-	887456	Chr1D	1059401	1062995	-	1061198	0.996	0.986
gene:TraesCS1D03G0008200	Chr1D	2648853	2656401	+	2652627	Chr1D	1948577	1956125	+	1952351	1.0	0.999
gene:TraesCS1D03G0008400	Chr1D	2658914	2664872	-	2661893	Chr1D	1958638	1964596	-	1961617	1.0	1.0
gene:TraesCS1D03G0008500	Chr1D	2679004	2685472	+	2682238	Chr1D	1977963	1984430	+	1981196	1.0	1.0
gene:TraesCS1D03G0008600	Chr1D	2718545	2721537	+	2720041	Chr1D	2017284	2020276	+	2018780	1.0	1.0
