gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Cadenza_v2_tgt_chr	Cadenza_v2_tgt_start	Cadenza_v2_tgt_end	Cadenza_v2_tgt_strand	Cadenza_v2_tgt_midpoint	Cadenza_v2_coverage	Cadenza_v2_identity	segment
gene:TraesCS2A03G0544300	Chr2A	314660540	314700275	-	314680407	Chr2A	310012446	310052195	+	310032320	1.0	1.0	rearrangement:Chr2A_block1
gene:TraesCS2A03G0545200	Chr2A	315419171	315422500	+	315420835	Chr2A	309290746	309294072	-	309292409	1.0	1.0	rearrangement:Chr2A_block1
gene:TraesCS2A03G0546100	Chr2A	316572085	316576382	+	316574233	Chr2A	308140206	308144505	-	308142355	1.0	0.998	rearrangement:Chr2A_block1
gene:TraesCS2A03G0546500	Chr2A	317574748	317584935	+	317579841	Chr2A	306061705	306071895	-	306066800	1.0	0.997	rearrangement:Chr2A_block1
gene:TraesCS2A03G0546700	Chr2A	318131657	318139455	-	318135556	Chr2A	305489719	305497517	+	305493618	1.0	1.0	rearrangement:Chr2A_block1
gene:TraesCS2A03G0547500	Chr2A	319391524	319395864	-	319393694	Chr2A	304227753	304232093	+	304229923	1.0	1.0	rearrangement:Chr2A_block1
gene:TraesCS2A03G0548500	Chr2A	322283033	322298282	-	322290657	Chr2A	301339271	301353922	+	301346596	1.0	1.0	rearrangement:Chr2A_block1
gene:TraesCS2A03G0549100	Chr2A	323358106	323387600	-	323372853	Chr2A	300238339	300267820	+	300253079	1.0	1.0	rearrangement:Chr2A_block1
gene:TraesCS2A03G0549300	Chr2A	323553644	323554036	+	323553840	Chr2A	300075425	300075817	-	300075621	1.0	1.0	rearrangement:Chr2A_block1
gene:TraesCS2A03G0549600	Chr2A	324518646	324533027	+	324525836	Chr2A	299097295	299111678	-	299104486	1.0	0.999	rearrangement:Chr2A_block1
gene:TraesCS2A03G0549800	Chr2A	324642346	324643759	+	324643052	Chr2A	298986498	298987911	-	298987204	1.0	0.998	rearrangement:Chr2A_block1
gene:TraesCS2A03G0550000	Chr2A	325476353	325483372	-	325479862	Chr2A	298146918	298153937	+	298150427	1.0	1.0	rearrangement:Chr2A_block1
gene:TraesCS2A03G0550500	Chr2A	326065828	326066568	+	326066198	Chr2A	297563872	297564612	-	297564242	1.0	1.0	rearrangement:Chr2A_block1
gene:TraesCS2A03G0551900	Chr2A	327323384	327329814	-	327326599	Chr2A	296294440	296300870	+	296297655	1.0	1.0	rearrangement:Chr2A_block1
gene:TraesCS2A03G0552300	Chr2A	327837859	327839927	-	327838893	Chr2A	295788328	295790396	+	295789362	1.0	1.0	rearrangement:Chr2A_block1
gene:TraesCS2A03G0552600	Chr2A	328595752	328597051	+	328596401	Chr2A	295033349	295034648	-	295033998	1.0	1.0	rearrangement:Chr2A_block1
gene:TraesCS2A03G0552800	Chr2A	328599412	328604733	-	328602072	Chr2A	295025904	295030988	+	295028446	1.0	1.0	rearrangement:Chr2A_block1
gene:TraesCS2A03G0553000	Chr2A	328903931	328933481	-	328918706	Chr2A	294697677	294727235	+	294712456	1.0	0.999	rearrangement:Chr2A_block1
gene:TraesCS2A03G0529700	Chr2A	294186288	294203280	-	294194784	Chr2A	330438693	330455677	+	330447185	1.0	1.0	rearrangement:Chr2A_block2
gene:TraesCS2A03G0530300	Chr2A	294718836	294721245	+	294720040	Chr2A	329895468	329897877	-	329896672	1.0	1.0	rearrangement:Chr2A_block2
gene:TraesCS2A03G0531300	Chr2A	296046390	296046933	+	296046661	Chr2A	328573147	328573690	-	328573418	1.0	1.0	rearrangement:Chr2A_block2
gene:TraesCS2A03G0532500	Chr2A	297422212	297422904	+	297422558	Chr2A	327214139	327214831	-	327214485	1.0	0.997	rearrangement:Chr2A_block2
gene:TraesCS2A03G0532900	Chr2A	297512790	297515171	-	297513980	Chr2A	327121843	327124220	+	327123031	0.998	0.998	rearrangement:Chr2A_block2
gene:TraesCS2A03G0534500	Chr2A	298290778	298320111	-	298305444	Chr2A	326317697	326347050	+	326332373	1.0	1.0	rearrangement:Chr2A_block2
gene:TraesCS2A03G0536100	Chr2A	301582557	301593903	-	301588230	Chr2A	323046397	323057745	+	323052071	1.0	1.0	rearrangement:Chr2A_block2
gene:TraesCS2A03G0536500	Chr2A	302689751	302690080	+	302689915	Chr2A	321957211	321957540	-	321957375	1.0	1.0	rearrangement:Chr2A_block2
gene:TraesCS2A03G0537200	Chr2A	304091083	304100362	+	304095722	Chr2A	320555192	320564471	-	320559831	1.0	1.0	rearrangement:Chr2A_block2
gene:TraesCS2A03G0537400	Chr2A	304702189	304717212	+	304709700	Chr2A	319939274	319954297	-	319946785	1.0	1.0	rearrangement:Chr2A_block2
gene:TraesCS2A03G0538000	Chr2A	306339875	306360409	+	306350142	Chr2A	318308363	318328907	-	318318635	1.0	1.0	rearrangement:Chr2A_block2
gene:TraesCS2A03G0539200	Chr2A	308027063	308037723	+	308032393	Chr2A	316623058	316633687	-	316628372	1.0	0.999	rearrangement:Chr2A_block2
gene:TraesCS2A03G0560100	Chr2A	339526696	339529695	+	339528195	Chr2A	335073237	335076236	-	335074736	1.0	1.0	rearrangement:Chr2A_block2
gene:TraesCS2A03G0560500	Chr2A	339929220	339929591	-	339929405	Chr2A	334673535	334673906	+	334673720	1.0	1.0	rearrangement:Chr2A_block2
