gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Cadenza_v2_tgt_chr	Cadenza_v2_tgt_start	Cadenza_v2_tgt_end	Cadenza_v2_tgt_strand	Cadenza_v2_tgt_midpoint	Cadenza_v2_coverage	Cadenza_v2_identity
gene:TraesCS3D03G0095400	Chr3D	21213997	21214317	-	21214157	Chr3D	28232715	28233035	-	28232875	1.0	1.0
gene:TraesCS3D03G0095800	Chr3D	21260500	21261032	-	21260766	Chr3D	28279287	28279819	-	28279553	1.0	1.0
gene:TraesCS3D03G0096000	Chr3D	21336911	21337662	-	21337286	Chr3D	28355199	28355946	-	28355572	1.0	1.0
gene:TraesCS3D03G0096300	Chr3D	21772332	21773589	-	21772960	Chr3D	29302090	29303348	-	29302719	1.0	1.0
gene:TraesCS3D03G0096400	Chr3D	21796592	21798779	+	21797685	Chr3D	29326351	29328538	+	29327444	1.0	1.0
gene:TraesCS3D03G0096600	Chr3D	21891750	21892811	+	21892280	Chr3D	29392334	29393395	+	29392864	1.0	1.0
gene:TraesCS3D03G0096900	Chr3D	21897618	21898567	+	21898092	Chr3D	29398202	29398900	+	29398551	1.0	0.998
gene:TraesCS3D03G0097100	Chr3D	21899382	21899525	-	21899453	Chr3D	29399715	29399858	-	29399786	1.0	1.0
gene:TraesCS3D03G0097200	Chr3D	21899630	21899746	-	21899688	Chr3D	29399963	29400079	-	29400021	1.0	1.0
gene:TraesCS3D03G0097400	Chr3D	21899899	21900150	-	21900024	Chr3D	29400232	29400483	-	29400357	1.0	0.996
gene:TraesCS3D03G0097600	Chr3D	21901302	21901397	+	21901349	Chr3D	29401635	29401730	+	29401682	1.0	1.0
gene:TraesCS3D03G0097900	Chr3D	21903008	21903208	+	21903108	Chr3D	29403341	29403541	+	29403441	1.0	1.0
gene:TraesCS3D03G0098000	Chr3D	21903478	21903990	+	21903734	Chr3D	29403811	29404323	+	29404067	1.0	1.0
