cs_chr	cs_start	cs_end	Landmark_tgt_chr	Landmark_tgt_start	Landmark_tgt_end	n_anchors	mean_identity
Chr3A	28273	3516612	Chr3A	634949	3522362	27	0.9801481481481482
Chr3A	5573755	140281429	Chr3A	1836047	137091707	1330	0.9951330827067668
Chr3A	142385461	178436646	Chr3A	139162698	175664225	147	0.9960340136054424
Chr3A	184301596	188747016	Chr3A	180761883	185091263	19	0.9942105263157892
Chr3A	195861474	198956938	Chr3A	192788639	195974020	14	0.9938571428571428
Chr3A	201054804	263087799	Chr3A	197862368	260164830	186	0.999005376344086
Chr3A	270762150	278734659	Chr3A	267919517	275932358	12	0.9978333333333332
Chr3A	280899243	284859700	Chr3A	278103514	282032807	6	0.9985
Chr3A	286968946	294756278	Chr3A	284172644	291996109	7	0.9998571428571428
Chr3A	302081152	305236714	Chr3A	299374190	302540738	5	0.9996
Chr3A	309773995	328087198	Chr3A	307090534	325658409	24	0.9995416666666668
Chr3A	331805909	349096037	Chr3A	328846268	346819080	30	0.9990666666666664
Chr3A	351562540	354510700	Chr3A	349221854	352181695	8	0.99425
Chr3A	357146906	360275758	Chr3A	354850458	358034296	6	0.9998333333333336
Chr3A	362401176	722647029	Chr3A	360157471	725012042	2693	0.9969428147047902
Chr3A	724779076	725895550	Chr3A	725742047	726849877	28	0.9919285714285716
Chr3A	728217682	754027567	Chr3A	728289014	752728589	278	0.9916007194244604
