cs_chr	cs_start	cs_end	Landmark_tgt_chr	Landmark_tgt_start	Landmark_tgt_end	n_anchors	mean_identity
Chr2B	11909271	12981417	Chr2B	417894	1177957	19	0.9976842105263156
Chr2B	6114834	22684651	Chr2B	22617	18012693	213	0.9899201877934273
Chr2B	25537738	211003478	Chr2B	18093064	201176632	1528	0.9938442408376964
Chr2B	214184446	248272484	Chr2B	201709083	236177641	203	0.9957536945812807
Chr2B	250482935	283157104	Chr2B	238677476	271612867	142	0.9982887323943662
Chr2B	285496966	304609294	Chr2B	273983261	300096306	29	0.9964827586206898
Chr2B	308444889	310240678	Chr2B	301766170	303579768	3	1.0
Chr2B	318431746	331681179	Chr2B	306847319	319947639	15	0.9962666666666667
Chr2B	333809245	346552298	Chr2B	322089313	334850876	21	0.999904761904762
Chr2B	348999066	355740303	Chr2B	337322541	344087207	9	0.9995555555555556
Chr2B	365734406	367503390	Chr2B	353515882	355272403	5	0.9938
Chr2B	370719732	809788606	Chr2B	361222996	796610054	3150	0.9938701587301587
Chr2B	802073901	803421753	Chr2B	781529435	782866424	19	0.9929473684210528
Chr2B	804077438	805317931	Chr2B	795626113	797112414	11	0.9968181818181818
Chr2B	809990857	812715583	Chr2B	788435673	791554583	35	0.9882285714285715
