gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Landmark_tgt_chr	Landmark_tgt_start	Landmark_tgt_end	Landmark_tgt_strand	Landmark_tgt_midpoint	Landmark_coverage	Landmark_identity
gene:TraesCS5D03G0001100	Chr5D	763156	767483	-	765319	Chr5D	6922674	6927174	+	6924924	1.0	1.0
gene:TraesCS5D03G0001300	Chr5D	929486	932500	+	930993	Chr5D	6751501	6754491	-	6752996	0.991	0.991
gene:TraesCS5D03G0001500	Chr5D	932731	938642	-	935686	Chr5D	6745361	6751270	+	6748315	1.0	1.0
gene:TraesCS5D03G0001700	Chr5D	1529495	1530538	+	1530016	Chr5D	6159250	6160293	-	6159771	1.0	1.0
gene:TraesCS5D03G0001900	Chr5D	1537103	1539147	-	1538125	Chr5D	6150641	6152685	+	6151663	1.0	0.992
gene:TraesCS5D03G0002100	Chr5D	1605131	1610309	+	1607720	Chr5D	6077572	6082750	-	6080161	1.0	0.999
gene:TraesCS5D03G0002300	Chr5D	1705168	1712206	-	1708687	Chr5D	5976834	5983872	+	5980353	1.0	1.0
gene:TraesCS5D03G0002500	Chr5D	1803394	1806327	+	1804860	Chr5D	5882957	5885890	-	5884423	1.0	1.0
gene:TraesCS5D03G0002900	Chr5D	1887729	1890428	-	1889078	Chr5D	5799091	5801790	+	5800440	1.0	1.0
gene:TraesCS5D03G0003000	Chr5D	2120086	2120451	-	2120268	Chr5D	5567154	5567519	+	5567336	1.0	1.0
gene:TraesCS5D03G0003100	Chr5D	2121153	2121944	+	2121548	Chr5D	5565661	5566452	-	5566056	1.0	1.0
gene:TraesCS5D03G0003200	Chr5D	2135387	2142134	+	2138760	Chr5D	5544083	5550830	-	5547456	1.0	1.0
gene:TraesCS5D03G0003400	Chr5D	2251213	2252857	-	2252035	Chr5D	5454301	5455945	+	5455123	1.0	1.0
gene:TraesCS5D03G0003500	Chr5D	2286363	2288714	+	2287538	Chr5D	5418259	5420612	-	5419435	1.0	1.0
gene:TraesCS5D03G0003600	Chr5D	2291637	2302490	+	2297063	Chr5D	5404169	5415336	-	5409752	1.0	0.995
gene:TraesCS5D03G0003700	Chr5D	2517220	2518242	-	2517731	Chr5D	5206517	5207539	+	5207028	1.0	0.999
gene:TraesCS5D03G0004200	Chr5D	2615885	2618789	+	2617337	Chr5D	5106158	5109062	-	5107610	1.0	0.997
gene:TraesCS5D03G0004700	Chr5D	2665098	2671307	+	2668202	Chr5D	5053528	5059737	-	5056632	1.0	0.999
gene:TraesCS5D03G0004800	Chr5D	2672766	2677982	-	2675374	Chr5D	5046869	5052069	+	5049469	0.991	0.987
gene:TraesCS5D03G0004900	Chr5D	2679349	2683430	-	2681389	Chr5D	5041421	5045502	+	5043461	1.0	1.0
gene:TraesCS5D03G0005100	Chr5D	2688714	2693084	+	2690899	Chr5D	5032135	5036505	-	5034320	1.0	1.0
gene:TraesCS5D03G0005200	Chr5D	2696120	2701036	+	2698578	Chr5D	5024183	5029099	-	5026641	1.0	0.999
gene:TraesCS5D03G0005300	Chr5D	2814456	2815962	+	2815209	Chr5D	4915096	4916602	-	4915849	1.0	1.0
gene:TraesCS5D03G0005400	Chr5D	3027689	3029129	+	3028409	Chr5D	4700191	4701631	-	4700911	1.0	1.0
gene:TraesCS5D03G0005700	Chr5D	3085495	3086987	+	3086241	Chr5D	4642385	4643877	-	4643131	1.0	1.0
gene:TraesCS5D03G0006000	Chr5D	3150676	3151507	+	3151091	Chr5D	4577348	4578178	-	4577763	0.998	0.998
