cs_chr	cs_start	cs_end	Landmark_tgt_chr	Landmark_tgt_start	Landmark_tgt_end	n_anchors	mean_identity
Chr4A	81328	52597423	Chr4A	86655	52976383	558	0.9961559139784947
Chr4A	56113510	64583830	Chr4A	56605630	65310174	74	0.9946891891891891
Chr4A	68551656	77059713	Chr4A	69406865	77869043	61	0.9938524590163934
Chr4A	81244931	130332624	Chr4A	81988871	131161863	279	0.9945806451612903
Chr4A	132517055	192330869	Chr4A	133218233	193089242	259	0.9984671814671815
Chr4A	194997349	219652885	Chr4A	195764394	220581285	41	0.9983170731707316
Chr4A	221731546	222175913	Chr4A	222675047	223141744	3	1.0
Chr4A	224910983	226677182	Chr4A	225953320	227742739	4	0.99975
Chr4A	229114346	239931452	Chr4A	230178021	241088763	17	0.9997058823529412
Chr4A	242061522	242431315	Chr4A	243181363	243553275	3	1.0
Chr4A	328283933	333487928	Chr4A	331593939	336850366	6	0.9994999999999999
Chr4A	337968373	349413639	Chr4A	341362340	352784273	22	0.999909090909091
Chr4A	351426691	353020297	Chr4A	354917522	356524858	4	0.99975
Chr4A	355676988	358739297	Chr4A	359227448	362294723	6	0.9996666666666667
Chr4A	361169426	364704441	Chr4A	364745568	368283324	5	0.9892
Chr4A	372955440	386206032	Chr4A	376605234	389936242	15	0.9975333333333333
Chr4A	388345576	389986218	Chr4A	392086660	393726619	3	1.0
Chr4A	394095303	397542408	Chr4A	397861035	401317539	6	1.0
Chr4A	399782828	400323386	Chr4A	403545148	404097542	3	0.999
Chr4A	406605144	415179770	Chr4A	410398520	419008962	10	1.0
Chr4A	417224461	419576751	Chr4A	420922272	423219461	4	0.9992500000000001
Chr4A	421807811	507495678	Chr4A	425459904	511250372	412	0.9976771844660194
Chr4A	509609425	641040255	Chr4A	513391962	645153591	1442	0.996140083217753
Chr4A	662507468	670311756	Chr4A	663442988	672966874	81	0.9869135802469133
Chr4A	688562054	754073777	Chr4A	693951393	752674248	567	0.9880194003527337
