cs_chr	cs_start	cs_end	Landmark_tgt_chr	Landmark_tgt_start	Landmark_tgt_end	n_anchors	mean_identity
Chr3B	253582516	254302534	Chr3B	244128224	244831522	10	0.9941000000000001
Chr3B	426065	6805777	Chr3B	412564	6828845	96	0.9850416666666666
Chr3B	10012714	35821190	Chr3B	3195409	35203567	338	0.9912633136094675
Chr3B	38137652	97070979	Chr3B	37017514	93021275	515	0.9919184466019418
Chr3B	99457041	202823600	Chr3B	95383017	199951659	585	0.9964205128205127
Chr3B	205225044	206704475	Chr3B	202431208	203955008	10	0.9982
Chr3B	209383926	219278363	Chr3B	206788159	216752396	75	0.9951733333333334
Chr3B	223825022	226529934	Chr3B	221547482	224020525	11	0.9937272727272728
Chr3B	230843333	241641396	Chr3B	227250976	238312257	50	0.9918200000000001
Chr3B	247259756	253099973	Chr3B	245303154	251256684	50	0.9968799999999999
Chr3B	256032319	288293953	Chr3B	252926031	286159724	126	0.9941269841269843
Chr3B	295003050	296080909	Chr3B	293040359	294173474	4	0.9965
Chr3B	303571170	307711148	Chr3B	297329705	304247663	4	0.9964999999999999
Chr3B	310640808	322569052	Chr3B	307770575	320961888	16	0.9965625
Chr3B	325241568	329207761	Chr3B	323580693	328838340	5	0.9972
Chr3B	333847811	350060262	Chr3B	333540596	355743447	23	0.9937826086956522
Chr3B	352247049	359108557	Chr3B	349173816	366042889	11	0.9906363636363635
Chr3B	362601109	375781155	Chr3B	367680570	382557657	26	0.9956923076923078
Chr3B	378145074	416556469	Chr3B	384910932	423417765	155	0.9957225806451612
Chr3B	418922290	479798592	Chr3B	423651314	485237419	356	0.9962780898876403
Chr3B	482733323	527781257	Chr3B	489207046	532917976	251	0.9928525896414343
Chr3B	534283586	849103100	Chr3B	533001303	845585990	2528	0.9945391613924052
Chr3B	850163603	851872904	Chr3B	839955517	841594070	28	0.9969642857142856
