gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Landmark_tgt_chr	Landmark_tgt_start	Landmark_tgt_end	Landmark_tgt_strand	Landmark_tgt_midpoint	Landmark_coverage	Landmark_identity	segment
gene:TraesCS2D03G0000100	Chr2D	80423	88053	+	84238	Chr2D	77802	85439	+	81620	1.0	0.999	collinear
gene:TraesCS2D03G0000200	Chr2D	89594	93032	-	91313	Chr2D	86980	90418	-	88699	1.0	0.999	collinear
gene:TraesCS2D03G0000300	Chr2D	103714	104259	-	103986	Chr2D	101852	102397	-	102124	1.0	1.0	collinear
gene:TraesCS2D03G0000400	Chr2D	302821	307159	+	304990	Chr2D	302232	306570	+	304401	1.0	1.0	collinear
gene:TraesCS2D03G0000700	Chr2D	324320	325720	+	325020	Chr2D	324063	325463	+	324763	1.0	1.0	collinear
gene:TraesCS2D03G0000800	Chr2D	328026	333944	-	330985	Chr2D	327650	333568	-	330609	1.0	1.0	collinear
gene:TraesCS2D03G0000900	Chr2D	378562	379694	-	379128	Chr2D	373324	374456	-	373890	1.0	1.0	collinear
gene:TraesCS2D03G0001000	Chr2D	392241	395710	+	393975	Chr2D	386768	390237	+	388502	1.0	1.0	collinear
gene:TraesCS2D03G0001300	Chr2D	402281	404837	+	403559	Chr2D	396808	399364	+	398086	1.0	1.0	collinear
gene:TraesCS2D03G0001400	Chr2D	465877	484345	+	475111	Chr2D	461997	480966	+	471481	1.0	1.0	collinear
gene:TraesCS2D03G0001500	Chr2D	512185	513105	+	512645	Chr2D	509046	509966	+	509506	1.0	1.0	collinear
gene:TraesCS2D03G0001600	Chr2D	517999	519840	+	518919	Chr2D	514663	516504	+	515583	1.0	1.0	collinear
gene:TraesCS2D03G0001800	Chr2D	675239	678446	+	676842	Chr2D	673945	677152	+	675548	1.0	1.0	collinear
gene:TraesCS2D03G0001900	Chr2D	679143	683010	-	681076	Chr2D	677849	681716	-	679782	1.0	1.0	collinear
gene:TraesCS2D03G0002000	Chr2D	685135	687301	+	686218	Chr2D	683842	686008	+	684925	1.0	1.0	collinear
