cs_chr	cs_start	cs_end	Landmark_tgt_chr	Landmark_tgt_start	Landmark_tgt_end	n_anchors	mean_identity
Chr7B	34602	183070778	Chr7B	1948	181984886	1339	0.9963091859596714
Chr7B	186156096	293144785	Chr7B	184821882	291209130	406	0.9984852216748769
Chr7B	295582888	308002245	Chr7B	293705082	307048835	19	0.9993157894736842
Chr7B	311571913	321770729	Chr7B	314716075	324733022	19	0.999842105263158
Chr7B	327511061	342648507	Chr7B	326699282	341294451	30	0.9997
Chr7B	362128535	365298778	Chr7B	356225636	362105189	4	1.0
Chr7B	368970531	393308791	Chr7B	366989617	391512214	122	0.9987295081967216
Chr7B	396179589	410599513	Chr7B	394341981	408431152	52	0.9995769230769228
Chr7B	413179671	423778078	Chr7B	411028205	421611446	45	0.9962
Chr7B	425791676	545780843	Chr7B	423603465	545259408	764	0.9971269633507854
Chr7B	547795684	748646317	Chr7B	547379076	745407390	1463	0.9924306220095692
Chr7B	751898715	760862477	Chr7B	745495565	756994262	53	0.9537547169811322
