cs_chr	cs_start	cs_end	Landmark_tgt_chr	Landmark_tgt_start	Landmark_tgt_end	n_anchors	mean_identity
Chr6D	43783	27630303	Chr6D	88791	26275841	525	0.9986780952380954
Chr6D	32741204	35336532	Chr6D	31044761	33471109	52	0.9993846153846154
Chr6D	38272141	38579793	Chr6D	36039531	36347096	10	0.9998
Chr6D	41537060	44821417	Chr6D	36404276	39714198	48	0.9995416666666668
Chr6D	52787044	56759409	Chr6D	44936710	48944655	31	0.9998709677419356
Chr6D	64544097	186375773	Chr6D	51267441	174023235	938	0.9984989339019192
Chr6D	188380630	235958205	Chr6D	176004129	224105044	73	0.9996575342465752
Chr6D	238222872	248745870	Chr6D	227270297	237824120	15	0.9993333333333332
Chr6D	253451229	261093398	Chr6D	242537440	250186084	12	0.9999166666666668
Chr6D	263489417	302615547	Chr6D	252633355	291712206	139	0.9990143884892086
Chr6D	304859324	436495956	Chr6D	293963487	425822542	1026	0.9992456140350878
Chr6D	439160889	495303957	Chr6D	428512539	484480070	940	0.9969053191489362
