cs_chr	cs_start	cs_end	Landmark_tgt_chr	Landmark_tgt_start	Landmark_tgt_end	n_anchors	mean_identity
Chr1B	706647	31339892	Chr1B	22887	28127112	399	0.9910050125313284
Chr1B	34045861	38402288	Chr1B	29319467	33889178	27	0.9948148148148148
Chr1B	40611674	81974218	Chr1B	35098592	75908544	259	0.988849420849421
Chr1B	86636879	91210816	Chr1B	81070077	85630569	15	0.9868
Chr1B	93460686	224268457	Chr1B	87778682	218262957	580	0.9973931034482758
Chr1B	231904555	235383337	Chr1B	228487032	231981187	5	0.9912
Chr1B	243006512	244692138	Chr1B	237027316	238718475	5	1.0
Chr1B	246841035	249142619	Chr1B	241059340	245697706	6	0.9998333333333336
Chr1B	262297743	263592723	Chr1B	260409888	261711368	4	0.99125
Chr1B	272117614	272283175	Chr1B	271033478	271203922	4	0.9995
Chr1B	274419536	296088628	Chr1B	273325934	295051893	78	0.9990897435897438
Chr1B	298738700	298817103	Chr1B	297667243	297757316	5	0.9946
Chr1B	301350787	324212763	Chr1B	300238255	327605859	84	0.9844761904761904
Chr1B	328393948	695664699	Chr1B	328299077	697560098	2743	0.9950083849799488
