cs_chr	cs_start	cs_end	Landmark_tgt_chr	Landmark_tgt_start	Landmark_tgt_end	n_anchors	mean_identity
Chr7D	210218	282517414	Chr7D	125106	283124182	2649	0.9980875802189506
Chr7D	284804194	287605519	Chr7D	285339438	288174614	5	0.9942
Chr7D	289812212	308999203	Chr7D	290408882	312632753	39	0.9997179487179488
Chr7D	311331614	315519045	Chr7D	314974160	319143137	11	0.9974545454545456
Chr7D	320605710	323749465	Chr7D	321322482	324443269	6	1.0
Chr7D	326109003	342132821	Chr7D	326804222	343101696	19	0.9997368421052633
Chr7D	344251962	575200755	Chr7D	345303980	577853904	1545	0.9984828478964402
Chr7D	577268319	642398515	Chr7D	578804145	642295519	888	0.9980247747747748
Chr7D	575439718	577193740	Chr7D	583758211	585666583	23	0.9896086956521739
Chr7D	582273807	583011056	Chr7D	577948492	578696156	13	0.9926153846153846
Chr7D	638584138	638990566	Chr7D	634875628	635284625	7	0.998
Chr7D	642442692	642831662	Chr7D	638807738	639205801	17	0.9964705882352942
