gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Landmark_tgt_chr	Landmark_tgt_start	Landmark_tgt_end	Landmark_tgt_strand	Landmark_tgt_midpoint	Landmark_coverage	Landmark_identity	segment
gene:TraesCS6A03G0000400	Chr6A	117718	120689	-	119203	Chr6A	1527532	1530500	-	1529016	0.998	0.994	collinear
gene:TraesCS6A03G0000500	Chr6A	120701	122577	-	121639	Chr6A	1530512	1532387	-	1531449	0.999	0.996	collinear
gene:TraesCS6A03G0000900	Chr6A	298705	305357	-	302031	Chr6A	1718968	1724909	-	1721938	1.0	0.994	collinear
gene:TraesCS6A03G0001000	Chr6A	350333	351902	-	351117	Chr6A	1768885	1770454	-	1769669	1.0	0.997	collinear
gene:TraesCS6A03G0001100	Chr6A	1025042	1029912	+	1027477	Chr6A	2156061	2161819	+	2158940	0.999	0.989	collinear
gene:TraesCS6A03G0001800	Chr6A	1330327	1332348	+	1331337	Chr6A	987263	989279	+	988271	0.997	0.992	collinear
gene:TraesCS6A03G0002000	Chr6A	1392825	1393762	+	1393293	Chr6A	1051304	1052240	+	1051772	1.0	0.993	collinear
gene:TraesCS6A03G0002100	Chr6A	1401147	1405507	-	1403327	Chr6A	1061667	1066090	-	1063878	0.986	0.965	collinear
gene:TraesCS6A03G0002200	Chr6A	1413772	1418469	+	1416120	Chr6A	1097562	1102074	+	1099818	1.0	0.993	collinear
gene:TraesCS6A03G0002300	Chr6A	1427419	1428465	-	1427942	Chr6A	1111056	1112102	-	1111579	1.0	0.993	collinear
gene:TraesCS6A03G0002400	Chr6A	1434457	1434844	+	1434650	Chr6A	1118106	1118493	+	1118299	1.0	1.0	collinear
gene:TraesCS6A03G0002600	Chr6A	1442347	1442844	-	1442595	Chr6A	1126313	1126810	-	1126561	1.0	0.996	collinear
gene:TraesCS6A03G0002700	Chr6A	1444853	1445827	+	1445340	Chr6A	1128799	1129773	+	1129286	0.987	0.959	collinear
gene:TraesCS6A03G0003000	Chr6A	1535307	1542220	+	1538763	Chr6A	1148103	1155008	+	1151555	1.0	0.994	collinear
gene:TraesCS6A03G0003100	Chr6A	1544392	1548820	-	1546606	Chr6A	1161005	1165454	-	1163229	0.999	0.997	collinear
gene:TraesCS6A03G0003300	Chr6A	1558341	1564627	+	1561484	Chr6A	1174735	1181013	+	1177874	0.997	0.979	collinear
gene:TraesCS6A03G0003500	Chr6A	1571628	1573212	-	1572420	Chr6A	1188185	1189769	-	1188977	1.0	0.998	collinear
gene:TraesCS6A03G0003600	Chr6A	1584804	1587503	+	1586153	Chr6A	1200990	1203922	+	1202456	1.0	0.998	collinear
gene:TraesCS6A03G0004300	Chr6A	1712278	1718977	+	1715627	Chr6A	1368398	1374985	+	1371691	0.995	0.978	collinear
gene:TraesCS6A03G0004400	Chr6A	1717372	1719718	-	1718545	Chr6A	1373373	1375711	-	1374542	0.978	0.949	collinear
gene:TraesCS6A03G0004500	Chr6A	1720510	1722005	-	1721257	Chr6A	1376532	1378069	-	1377300	1.0	0.991	collinear
gene:TraesCS6A03G0004800	Chr6A	1722453	1727315	-	1724884	Chr6A	1378554	1383292	-	1380923	0.966	0.961	collinear
gene:TraesCS6A03G0004900	Chr6A	1735764	1739970	+	1737867	Chr6A	1410920	1415123	+	1413021	1.0	0.996	collinear
gene:TraesCS6A03G0006500	Chr6A	2049229	2059125	-	2054177	Chr6A	849197	859021	+	854109	0.966	0.964	collinear
gene:TraesCS6A03G0006700	Chr6A	2144282	2144913	+	2144597	Chr6A	776748	777312	-	777030	1.0	0.994	collinear
